,end_time,event_date,goes_class,goes_location,noaa_active_region,peak_time,start_time,flux
0,2015-07-01 06:29:00,2015-07-01,B8.8,"(0, 0)",12376,2015-07-01 06:13:00,2015-07-01 05:40:00,8.8e-07 W / m2
1,2015-07-01 23:01:00,2015-07-01,C1.4,"(0, 0)",12376,2015-07-01 22:51:00,2015-07-01 22:42:00,1.4e-06 W / m2
2,2015-07-02 02:05:00,2015-07-02,C1.0,"(0, 0)",12376,2015-07-02 01:43:00,2015-07-02 01:13:00,1e-06 W / m2
3,2015-07-02 06:33:00,2015-07-02,C1.4,"(-31, 16)",12373,2015-07-02 06:18:00,2015-07-02 05:55:00,1.4e-06 W / m2
4,2015-07-02 14:01:00,2015-07-02,C1.1,"(-19, 14)",12373,2015-07-02 13:58:00,2015-07-02 13:52:00,1.1e-06 W / m2
5,2015-07-02 15:39:00,2015-07-02,C3.7,"(-40, 15)",12376,2015-07-02 15:30:00,2015-07-02 15:23:00,3.7e-06 W / m2
6,2015-07-02 20:26:00,2015-07-02,C1.2,"(-30, 9)",12376,2015-07-02 19:26:00,2015-07-02 17:56:00,1.2e-06 W / m2
7,2015-07-03 03:09:00,2015-07-03,C5.6,"(-75, -16)",12378,2015-07-03 03:05:00,2015-07-03 02:54:00,5.6e-06 W / m2
8,2015-07-03 04:02:00,2015-07-03,C1.4,"(-18, 18)",12373,2015-07-03 03:58:00,2015-07-03 03:52:00,1.4e-06 W / m2
9,2015-07-03 05:04:00,2015-07-03,C1.2,"(-11, 15)",12373,2015-07-03 04:59:00,2015-07-03 04:52:00,1.2e-06 W / m2
10,2015-07-03 06:02:00,2015-07-03,C2.0,"(-70, -16)",12378,2015-07-03 05:55:00,2015-07-03 05:49:00,2e-06 W / m2
11,2015-07-03 09:24:00,2015-07-03,C3.4,"(-69, -14)",12378,2015-07-03 09:19:00,2015-07-03 09:10:00,3.4e-06 W / m2
12,2015-07-03 11:32:00,2015-07-03,C1.7,"(-69, -15)",12378,2015-07-03 11:24:00,2015-07-03 11:14:00,1.7e-06 W / m2
13,2015-07-03 12:07:00,2015-07-03,B7.6,"(-70, -13)",12378,2015-07-03 11:59:00,2015-07-03 11:56:00,7.6e-07 W / m2
14,2015-07-03 12:53:00,2015-07-03,M1.5,"(-68, -15)",12378,2015-07-03 12:51:00,2015-07-03 12:47:00,1.5e-05 W / m2
15,2015-07-03 18:27:00,2015-07-03,B8.0,"(0, 0)",12378,2015-07-03 18:20:00,2015-07-03 18:14:00,8e-07 W / m2
16,2015-07-03 20:57:00,2015-07-03,C1.3,"(0, 0)",12378,2015-07-03 20:51:00,2015-07-03 20:44:00,1.3e-06 W / m2
17,2015-07-04 00:17:00,2015-07-04,C1.0,"(0, 0)",12378,2015-07-04 00:08:00,2015-07-04 00:01:00,1e-06 W / m2
18,2015-07-04 15:08:00,2015-07-04,B5.5,"(-9, 14)",12376,2015-07-04 15:05:00,2015-07-04 15:01:00,5.5e-07 W / m2
19,2015-07-04 20:55:00,2015-07-04,B6.4,"(-50, -19)",12378,2015-07-04 20:45:00,2015-07-04 20:33:00,6.4e-07 W / m2
20,2015-07-05 06:44:00,2015-07-05,B5.1,"(-46, -14)",12378,2015-07-05 06:38:00,2015-07-05 06:33:00,5.1e-07 W / m2
21,2015-07-05 07:08:00,2015-07-05,B6.7,"(-45, -17)",12378,2015-07-05 07:00:00,2015-07-05 06:52:00,6.7e-07 W / m2
22,2015-07-05 09:39:00,2015-07-05,B7.4,"(-56, 17)",12381,2015-07-05 09:15:00,2015-07-05 08:52:00,7.4e-07 W / m2
23,2015-07-05 09:38:00,2015-07-05,B7.4,"(-56, 17)",12381,2015-07-05 09:15:00,2015-07-05 09:03:00,7.4e-07 W / m2
24,2015-07-05 13:35:00,2015-07-05,B9.4,"(0, 0)",12377,2015-07-05 13:20:00,2015-07-05 13:06:00,9.4e-07 W / m2
25,2015-07-06 01:35:00,2015-07-06,C1.4,"(-44, 14)",12381,2015-07-06 01:31:00,2015-07-06 01:26:00,1.4e-06 W / m2
26,2015-07-06 04:12:00,2015-07-06,C1.2,"(0, 0)",12381,2015-07-06 04:07:00,2015-07-06 04:00:00,1.2e-06 W / m2
27,2015-07-06 08:02:00,2015-07-06,C2.5,"(-42, 17)",12381,2015-07-06 07:50:00,2015-07-06 07:31:00,2.5e-06 W / m2
28,2015-07-06 08:59:00,2015-07-06,M1.0,"(-42, 17)",12381,2015-07-06 08:44:00,2015-07-06 08:24:00,1e-05 W / m2
29,2015-07-06 10:57:00,2015-07-06,C1.3,"(-40, 17)",12381,2015-07-06 10:52:00,2015-07-06 10:41:00,1.3e-06 W / m2
30,2015-07-06 11:30:00,2015-07-06,C1.9,"(-40, 17)",12381,2015-07-06 11:19:00,2015-07-06 11:12:00,1.9e-06 W / m2
31,2015-07-06 11:46:00,2015-07-06,C5.7,"(-42, 17)",12381,2015-07-06 11:42:00,2015-07-06 11:36:00,5.7e-06 W / m2
32,2015-07-06 15:37:00,2015-07-06,C2.2,"(0, 0)",0,2015-07-06 15:31:00,2015-07-06 15:26:00,2.2e-06 W / m2
33,2015-07-06 16:25:00,2015-07-06,C3.5,"(-39, 16)",12381,2015-07-06 16:22:00,2015-07-06 16:19:00,3.5e-06 W / m2
34,2015-07-06 17:10:00,2015-07-06,C4.9,"(-37, 17)",12381,2015-07-06 17:02:00,2015-07-06 16:57:00,4.9e-06 W / m2
35,2015-07-06 20:50:00,2015-07-06,M1.7,"(-36, 18)",12381,2015-07-06 20:40:00,2015-07-06 20:32:00,1.7e-05 W / m2
36,2015-07-06 23:14:00,2015-07-06,C1.5,"(-33, 18)",12381,2015-07-06 23:09:00,2015-07-06 23:06:00,1.5e-06 W / m2
