,ar_noaanum,event_starttime,event_peaktime,event_endtime,fl_goescls,obs_instrument,obs_title,event_coord1,event_coord2,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r,flux
0,12422,2015-10-01T02:04:00,2015-10-01T02:15:00,2015-10-01T02:21:00,C6.3,GOES,,59,-20,58.5,59.5,"POLYGON((0.897416 243.097756,0.904156 243.432854,0.901795 244.486458,0.894919 244.156472,0.897416 243.097756))",,POINT(0.899593616548282 243.794060698856),"POLYGON((104.506062 -20.5,105.506062 -20.5,105.506062 -19.5,104.506062 -19.5,104.506062 -20.5))",,POINT(105.006062 -20),105.006062,-20,"POLYGON((58.5 -20.5,59.5 -20.5,59.5 -19.5,58.5 -19.5,58.5 -20.5))",,POINT(59 -20),59,-20,"POLYGON((766.446 -388.878,774.48 -387.2754,779.43 -371.9952,771.348 -373.6074,766.446 -388.878))",,POINT(772.986 -380.4558),01030000000100000005000000D9CEF753E3E1864045D8F0F44A537AC0D9CEF753E3E1864045D8F0F44A3B75C0D9CEF753E36D894045D8F0F44A3B75C0D9CEF753E36D894045D8F0F44A537AC0D9CEF753E3E1864045D8F0F44A537AC0,861.541625198481029,772.986,-380.4558,243.794060699,"POLYGON((0.897416 243.097756,0.904156 243.432854,0.901795 244.486458,0.894919 244.156472,0.897416 243.097756))",,POINT(0.899593616548282 243.794060698856),0.899593616548,6.3e-06 W / m2
1,12423,2015-10-01T05:39:00,2015-10-01T05:53:00,2015-10-01T06:16:00,C1.6,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.992568 179.899303,0.992568 180.100697,0.993646 359.899306,0.993646 0.100694,0.992568 179.899303))",,POINT(0.117757697823194 180),"POLYGON((-45.864147 -89.9,133.935853 -89.9,133.935853 89.9,-45.864147 89.9,-45.864147 -89.9))",,POINT(44.035853 0),44.035853,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.670718 -950.622,1.670718 -950.622,1.67247 951.654,-1.67247 951.654,-1.670718 -950.622))",,POINT(0 -112.7814),,112.781400000000005,0.0,-112.7814,180.0,"POLYGON((0.992568 179.899303,0.992568 180.100697,0.993646 359.899306,0.993646 0.100694,0.992568 179.899303))",,POINT(0.117757697823194 180),0.117757697823,1.6e-06 W / m2
2,12422,2015-10-01T08:15:00,2015-10-01T09:34:00,2015-10-01T09:56:00,C7.6,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.992575 179.899304,0.992575 180.100696,0.993659 359.899308,0.993659 0.100692,0.992575 179.899304))",,POINT(0.117670784267775 180),"POLYGON((-47.293689 -89.9,132.506311 -89.9,132.506311 89.9,-47.293689 89.9,-47.293689 -89.9))",,POINT(42.606311 0),42.606311,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.670766 -950.658,1.670766 -950.658,1.672518 951.696,-1.672518 951.696,-1.670766 -950.658))",,POINT(0 -112.7016),,112.701599999999999,0.0,-112.7016,180.0,"POLYGON((0.992575 179.899304,0.992575 180.100696,0.993659 359.899308,0.993659 0.100692,0.992575 179.899304))",,POINT(0.117670784267775 180),0.117670784268,7.6e-06 W / m2
3,12422,2015-10-01T08:32:00,2015-10-01T08:35:00,2015-10-01T08:38:00,C3.5,GOES,,65,-23,64.5,65.5,"POLYGON((0.939969 241.884779,0.945093 242.169403,0.943453 243.186068,0.938207 242.90449,0.939969 241.884779))",,POINT(0.941704207986777 242.536883312099),"POLYGON((106.950528 -23.5,107.950528 -23.5,107.950528 -22.5,106.950528 -22.5,106.950528 -23.5))",,POINT(107.450528 -23),107.450528,-23,"POLYGON((64.5 -23.5,65.5 -23.5,65.5 -22.5,64.5 -22.5,64.5 -23.5))",,POINT(65 -23),65,-23,"POLYGON((794.046 -424.2522,800.484 -422.5938,806.454 -407.6154,799.968 -409.2852,794.046 -424.2522))",,POINT(800.298 -415.9542),01030000000100000005000000AAF1D24D62F487407E1D3867441B7CC0AAF1D24D62F487407E1D386744E377C0AAF1D24D62108A407E1D386744E377C0AAF1D24D62108A407E1D3867441B7CC0AAF1D24D62F487407E1D3867441B7CC0,901.939457669770604,800.298,-415.9542,242.536883312,"POLYGON((0.939969 241.884779,0.945093 242.169403,0.943453 243.186068,0.938207 242.90449,0.939969 241.884779))",,POINT(0.941704207986777 242.536883312099),0.941704207987,3.5e-06 W / m2
4,12422,2015-10-01T09:19:00,2015-10-01T09:34:00,2015-10-01T09:52:00,C7.7,GOES,,62,-24,61.5,62.5,"POLYGON((0.925538 239.947207,0.931134 240.264992,0.929104 241.286761,0.923374 240.972161,0.925538 239.947207))",,POINT(0.927312653761438 240.618593724506),"POLYGON((103.519834 -24.5,104.519834 -24.5,104.519834 -23.5,103.519834 -23.5,103.519834 -24.5))",,POINT(104.019834 -24),104.019834,-24,"POLYGON((61.5 -24.5,62.5 -24.5,62.5 -23.5,61.5 -23.5,61.5 -24.5))",,POINT(62 -24),62,-24,"POLYGON((767.292 -443.9394,774.396 -442.335,780.456 -427.5216,773.298 -429.1374,767.292 -443.9394))",,POINT(773.922 -435.7518),010300000001000000050000004C37894160CD864020D26F5F07007EC04C37894160CD864020D26F5F077878C04C3789416091894020D26F5F077878C04C3789416091894020D26F5F07007EC04C37894160CD864020D26F5F07007EC0,888.16377616250486,773.922,-435.7518,240.618593725,"POLYGON((0.925538 239.947207,0.931134 240.264992,0.929104 241.286761,0.923374 240.972161,0.925538 239.947207))",,POINT(0.927312653761438 240.618593724506),0.927312653761,7.7e-06 W / m2
5,12422,2015-10-01T13:03:00,2015-10-01T13:10:00,2015-10-01T13:14:00,M4.5,GOES,,64,-23,63.5,64.5,"POLYGON((0.934614 241.593514,0.939944 241.887622,0.938187 242.907587,0.932729 242.61651,0.934614 241.593514))",,POINT(0.936396359905672 242.252150738379),"POLYGON((103.467169 -23.5,104.467169 -23.5,104.467169 -22.5,103.467169 -22.5,103.467169 -23.5))",,POINT(103.967169 -23),103.967169,-23,"POLYGON((63.5 -23.5,64.5 -23.5,64.5 -22.5,63.5 -22.5,63.5 -23.5))",,POINT(64 -23),64,-23,"POLYGON((787.41 -425.8662,794.088 -424.224,800.016 -409.2552,793.284 -410.9094,787.41 -425.8662))",,POINT(793.764 -417.5814),01030000000100000005000000273108AC1CAE8640501E166A4D597EC0273108AC1CAE8640501E166A4DD975C0273108AC1CEE8A40501E166A4DD975C0273108AC1CEE8A40501E166A4D597EC0273108AC1CAE8640501E166A4D597EC0,896.903290952798329,793.764,-417.5814,242.252150738,"POLYGON((0.934614 241.593514,0.939944 241.887622,0.938187 242.907587,0.932729 242.61651,0.934614 241.593514))",,POINT(0.936396359905672 242.252150738379),0.936396359906,4.5e-05 W / m2
6,0,2015-10-01T17:20:00,2015-10-01T17:32:00,2015-10-01T17:50:00,C1.6,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.992614 179.899307,0.992614 180.100693,0.993691 359.899312,0.993691 0.100688,0.992614 179.899307))",,POINT(0.117361961331515 180),"POLYGON((-52.287886 -89.9,127.512114 -89.9,127.512114 89.9,-52.287886 89.9,-52.287886 -89.9))",,POINT(37.612114 0),37.612114,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.670946 -950.796,1.670946 -950.796,1.672692 951.828,-1.672692 951.828,-1.670946 -950.796))",,POINT(0 -112.4178),,112.4178,0.0,-112.4178,180.0,"POLYGON((0.992614 179.899307,0.992614 180.100693,0.993691 359.899312,0.993691 0.100688,0.992614 179.899307))",,POINT(0.117361961331515 180),0.117361961332,1.6e-06 W / m2
7,12422,2015-10-01T21:10:00,2015-10-01T21:24:00,2015-10-01T21:47:00,C3.7,GOES,,65,-19,64.5,65.5,"POLYGON((0.932942 245.995762,0.938544 246.265982,0.936956 247.29696,0.931244 247.031078,0.932942 245.995762))",,POINT(0.934947486066467 246.648087249954),"POLYGON((100.004487 -19.5,101.004487 -19.5,101.004487 -18.5,100.004487 -18.5,100.004487 -19.5))",,POINT(100.504487 -19),100.504487,-19,"POLYGON((64.5 -19.5,65.5 -19.5,65.5 -18.5,64.5 -18.5,64.5 -19.5))",,POINT(65 -19),65,-19,"POLYGON((816.39 -363.5526,823.008 -361.8582,827.982 -346.404,821.328 -348.1074,816.39 -363.5526))",,POINT(822.24 -354.996),0103000000010000000500000052B81E85EB9F88400E2DB29DEF5378C052B81E85EB9F88400E2DB29DEF0B74C052B81E85EBC38A400E2DB29DEF0B74C052B81E85EBC38A400E2DB29DEF5378C052B81E85EB9F88400E2DB29DEF5378C0,895.600791433326094,822.24,-354.996,246.64808725,"POLYGON((0.932942 245.995762,0.938544 246.265982,0.936956 247.29696,0.931244 247.031078,0.932942 245.995762))",,POINT(0.934947486066467 246.648087249954),0.934947486066,3.7e-06 W / m2
8,12422,2015-10-02T00:06:00,2015-10-02T00:13:00,2015-10-02T00:17:00,M5.5,GOES,,67,-19,66.5,67.5,"POLYGON((0.943902 246.52919,0.949045 246.781877,0.947675 247.805152,0.942427 247.556276,0.943902 246.52919))",,POINT(0.945788793723249 247.168736671457),"POLYGON((100.391701 -19.5,101.391701 -19.5,101.391701 -18.5,100.391701 -18.5,100.391701 -19.5))",,POINT(100.891701 -19),100.891701,-19,"POLYGON((66.5 -19.5,67.5 -19.5,67.5 -18.5,66.5 -18.5,66.5 -19.5))",,POINT(67 -19),67,-19,"POLYGON((829.398 -360.1302,835.506 -358.4112,840.558 -342.9372,834.414 -344.6658,829.398 -360.1302))",,POINT(835.032 -351.5514),01030000000100000005000000C64B378941D887403B70CE88D2787AC0C64B378941D887403B70CE88D27871C0C64B378941588C403B70CE88D27871C0C64B378941588C403B70CE88D2787AC0C64B378941D887403B70CE88D2787AC0,906.017013011323002,835.032,-351.5514,247.168736671,"POLYGON((0.943902 246.52919,0.949045 246.781877,0.947675 247.805152,0.942427 247.556276,0.943902 246.52919))",,POINT(0.945788793723249 247.168736671457),0.945788793723,5.5e-05 W / m2
9,12422,2015-10-02T01:26:00,2015-10-02T01:29:00,2015-10-02T01:31:00,C1.9,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.992651 179.899311,0.992651 180.100689,0.993722 359.899315,0.993722 0.100685,0.992651 179.899311))",,POINT(0.117082118982129 180),"POLYGON((-56.741382 -89.9,123.058618 -89.9,123.058618 89.9,-56.741382 89.9,-56.741382 -89.9))",,POINT(33.158618 0),33.158618,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.671108 -950.922,1.671108 -950.922,1.672848 951.948,-1.672848 951.948,-1.671108 -950.922))",,POINT(0 -112.1604),,112.160399999999996,0.0,-112.1604,180.0,"POLYGON((0.992651 179.899311,0.992651 180.100689,0.993722 359.899315,0.993722 0.100685,0.992651 179.899311))",,POINT(0.117082118982129 180),0.117082118982,1.9e-06 W / m2
