,end_time,event_date,goes_class,goes_location,noaa_active_region,peak_time,start_time,flux
0,2015-09-02 08:00:00,2015-09-02,B5.0,"(0, 0)",12407,2015-09-02 07:55:00,2015-09-02 07:50:00,5e-07 W / m2
1,2015-09-03 02:17:00,2015-09-03,B2.9,"(0, 0)",0,2015-09-03 02:13:00,2015-09-03 02:09:00,2.9e-07 W / m2
2,2015-09-03 03:12:00,2015-09-03,B3.0,"(0, 0)",0,2015-09-03 03:08:00,2015-09-03 03:02:00,3e-07 W / m2
3,2015-09-03 07:08:00,2015-09-03,B3.1,"(0, 0)",12407,2015-09-03 07:03:00,2015-09-03 07:00:00,3.1e-07 W / m2
4,2015-09-03 09:51:00,2015-09-03,B3.0,"(0, 0)",12407,2015-09-03 09:43:00,2015-09-03 09:38:00,3e-07 W / m2
5,2015-09-03 11:48:00,2015-09-03,C1.7,"(0, 0)",12407,2015-09-03 11:37:00,2015-09-03 11:28:00,1.7e-06 W / m2
6,2015-09-03 22:58:00,2015-09-03,B2.8,"(0, 0)",0,2015-09-03 22:53:00,2015-09-03 22:48:00,2.8e-07 W / m2
7,2015-09-04 05:26:00,2015-09-04,B4.4,"(-28, 6)",12409,2015-09-04 05:18:00,2015-09-04 05:13:00,4.4e-07 W / m2
8,2015-09-05 02:20:00,2015-09-05,B3.0,"(0, 0)",12410,2015-09-05 02:15:00,2015-09-05 02:11:00,3e-07 W / m2
9,2015-09-05 10:13:00,2015-09-05,B2.2,"(0, 0)",12409,2015-09-05 10:10:00,2015-09-05 10:06:00,2.2e-07 W / m2
10,2015-09-11 03:08:00,2015-09-11,B4.2,"(0, 0)",12415,2015-09-11 02:45:00,2015-09-11 02:39:00,4.2e-07 W / m2
11,2015-09-11 12:32:00,2015-09-11,B3.6,"(0, 0)",12415,2015-09-11 12:29:00,2015-09-11 12:25:00,3.6e-07 W / m2
12,2015-09-11 13:17:00,2015-09-11,B6.7,"(0, 0)",12415,2015-09-11 13:12:00,2015-09-11 12:52:00,6.7e-07 W / m2
13,2015-09-11 16:33:00,2015-09-11,B3.3,"(0, 0)",12415,2015-09-11 16:27:00,2015-09-11 16:23:00,3.3e-07 W / m2
14,2015-09-11 16:49:00,2015-09-11,B4.3,"(17, -9)",12414,2015-09-11 16:46:00,2015-09-11 16:43:00,4.3e-07 W / m2
15,2015-09-11 21:10:00,2015-09-11,B3.6,"(0, 0)",12415,2015-09-11 21:07:00,2015-09-11 21:03:00,3.6e-07 W / m2
16,2015-09-11 21:43:00,2015-09-11,C1.3,"(18, -8)",12414,2015-09-11 21:37:00,2015-09-11 21:30:00,1.3e-06 W / m2
17,2015-09-13 04:29:00,2015-09-13,B6.4,"(0, 0)",12414,2015-09-13 04:20:00,2015-09-13 04:15:00,6.4e-07 W / m2
18,2015-09-13 05:33:00,2015-09-13,B6.1,"(35, -11)",12414,2015-09-13 05:24:00,2015-09-13 05:20:00,6.1e-07 W / m2
19,2015-09-13 12:43:00,2015-09-13,B4.5,"(-49, -19)",12415,2015-09-13 12:39:00,2015-09-13 12:35:00,4.5e-07 W / m2
20,2015-09-14 00:45:00,2015-09-14,B5.7,"(0, 0)",12415,2015-09-14 00:42:00,2015-09-14 00:37:00,5.7e-07 W / m2
21,2015-09-14 02:56:00,2015-09-14,B3.5,"(0, 0)",12415,2015-09-14 02:54:00,2015-09-14 02:51:00,3.5e-07 W / m2
