,ar_noaanum,event_starttime,event_peaktime,event_endtime,fl_goescls,obs_instrument,obs_title,event_coord1,event_coord2,event_coord3,event_coordsys,event_coordunit,event_description,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r,fl_efoldtime,fl_efoldtimeunit,fl_fluence,fl_fluenceunit,fl_halphaclass,fl_peakem,fl_peakemunit,fl_peakflux,fl_peakfluxunit,fl_peaktemp,fl_peaktempunit,flux
0,10944,2007-03-02T05:03:00,2007-03-02T05:29:00,2007-03-02T05:50:00,B2.5,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.992644 180.000005,0.992644 179.999995,0.991473 0,0.991473 0,0.992644 180.000005))",,POINT(0.126377091361864 0),"POLYGON((-64.006426 -89.9,115.793574 -89.9,115.793574 89.9,-64.006426 89.9,-64.006426 -89.9))",,POINT(25.893574 0),25.893574,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -960.6,-8.5e-05 -960.6,0 959.466,-0 959.466,8.5e-05 -960.6))",,POINT(0 122.2974),,122.297399999999996,0.0,122.2974,0.0,"POLYGON((0.992644 180.000005,0.992644 179.999995,0.991473 0,0.991473 0,0.992644 180.000005))",,POINT(0.126377091361864 0),0.126377091362,,,,,,,,,,,,2.5e-07 W / m2
1,0,2007-03-10T22:09:00,2007-03-10T22:13:00,2007-03-10T22:15:00,B2.0,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.992631 180.000005,0.992631 179.999995,0.991463 0,0.991463 0,0.992631 180.000005))",,POINT(0.126466998561434 0),"POLYGON((-178.79448 -89.9,1.00552 -89.9,1.00552 89.9,-178.79448 89.9,-178.79448 -89.9))",,POINT(-88.89448 0),-88.89448,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.4e-05 -958.416,-8.4e-05 -958.416,0 957.288,-0 957.288,8.4e-05 -958.416))",,POINT(0 122.1078),,122.107800000000012,0.0,122.1078,0.0,"POLYGON((0.992631 180.000005,0.992631 179.999995,0.991463 0,0.991463 0,0.992631 180.000005))",,POINT(0.126466998561434 0),0.126466998561,,,,,,,,,,,,2e-07 W / m2
2,0,2007-03-28T13:16:00,2007-03-28T13:44:00,2007-03-28T13:57:00,B1.1,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.993636 180.000005,0.993636 179.999995,0.992549 0,0.992549 0,0.993636 180.000005))",,POINT(0.117866668626122 0),"POLYGON((-51.211413 -89.9,128.588587 -89.9,128.588587 89.9,-51.211413 89.9,-51.211413 -89.9))",,POINT(38.688586 0),38.688586,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.4e-05 -954.696,-8.4e-05 -954.696,0 953.652,-0 953.652,8.4e-05 -954.696))",,POINT(0 113.2476),,113.247599999999991,0.0,113.2476,0.0,"POLYGON((0.993636 180.000005,0.993636 179.999995,0.992549 0,0.992549 0,0.993636 180.000005))",,POINT(0.117866668626122 0),0.117866668626,,,,,,,,,,,,1.1e-07 W / m2
3,10949,2007-03-28T19:25:00,2007-03-28T19:28:00,2007-03-28T19:32:00,B1.0,GOES,,-64,9,,UTC-HGS-TOPO,degrees,,-64.5,-63.5,"POLYGON((0.915805 77.575967,0.908869 77.361109,0.910351 76.282717,0.917204 76.504813,0.915805 77.575967))",,POINT(0.913085970315867 76.9315546324138),"POLYGON((-29.191219 8.5,-28.191219 8.5,-28.191219 9.5,-29.191219 9.5,-29.191219 8.5))",,POINT(-28.691219 9),-28.691219,9,"POLYGON((-64.5 8.5,-63.5 8.5,-63.5 9.5,-64.5 9.5,-64.5 8.5))",,POINT(-64 9),-64,9,"POLYGON((-859.248 189.2958,-852.03 191.0586,-849.666 207.3978,-856.866 205.6392,-859.248 189.2958))",,POINT(-854.52 198.357),010300000001000000050000005D8FC2F5287C8BC08195438B6CAB65405D8FC2F5287C8BC08195438B6CEB6B405D8FC2F528EC89C08195438B6CEB6B405D8FC2F528EC89C08195438B6CAB65405D8FC2F5287C8BC08195438B6CAB6540,877.239949984609552,-854.52,198.357,76.9315546324,"POLYGON((0.915805 77.575967,0.908869 77.361109,0.910351 76.282717,0.917204 76.504813,0.915805 77.575967))",,POINT(0.913085970315867 76.9315546324138),0.913085970316,,,,,,,,,,,,1e-07 W / m2
4,10949,2007-03-31T01:28:00,2007-03-31T01:43:00,2007-03-31T01:48:00,B2.2,GOES,,-33,6,,UTC-HGS-TOPO,degrees,,-33.5,-32.5,"POLYGON((0.583808 70.845641,0.570406 70.259785,0.575492 68.621213,0.588696 69.238172,0.583808 70.845641))",,POINT(0.579577204592222 69.7415217517082),"POLYGON((-27.897196 5.5,-26.897196 5.5,-26.897196 6.5,-27.897196 6.5,-27.897196 5.5))",,POINT(-27.3971962 6),-27.3971962,6,"POLYGON((-33.5 5.5,-32.5 5.5,-32.5 6.5,-33.5 6.5,-33.5 5.5))",,POINT(-33 6),-33,6,"POLYGON((-529.5 183.9186,-515.4804 184.977,-514.527 201.4212,-528.5208 200.3634,-529.5 183.9186))",,POINT(-522.0468 192.681),010300000001000000050000009FABADD85F1881C06E1283C0CAF564409FABADD85F1881C06E1283C0CA356B403E575BB1BF107FC06E1283C0CA356B403E575BB1BF107FC06E1283C0CAF564409FABADD85F1881C06E1283C0CAF56440,556.469971473070586,-522.0468,192.681,69.7415217517,"POLYGON((0.583808 70.845641,0.570406 70.259785,0.575492 68.621213,0.588696 69.238172,0.583808 70.845641))",,POINT(0.579577204592222 69.7415217517082),0.579577204592,,,,,,,,,,,,2.2e-07 W / m2
