,ar_noaanum,ar_mcintoshcls,search_frm_name,search_instrument,search_observatory,sharp_noaa_ars,obs_instrument,obs_lastprocessingdate,obs_levelnum,obs_meanwavel,obs_observatory,obs_title,obs_wavelunit,event_coord1,event_coord2,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r
0,12333.0,,HMI SHARP,HMI,SDO,12333,HMI,,,4.99999987369e-05,SDO,,cm,35.3888397217,20.2215766907,29.6949043274,40.5440139771,"POLYGON((0.57259 302.685147,0.700181 295.483117,0.753579 307.974906,0.653607 316.136534,0.57259 302.685147))",,POINT(0.677794608454984 306.438047312034),"POLYGON((-57.865396 14.272546,-47.016284 14.272546,-47.016284 24.347454,-57.865396 24.347454,-57.865396 14.272546))",,POINT(-52.17146 20.221577),-52.17146,20.221577,"POLYGON((29.694904 14.272546,40.544016 14.272546,40.544016 24.347454,29.694904 24.347454,29.694904 14.272546))",,POINT(35.38884 20.221577),35.38884,20.221577,"POLYGON((458.7828 294.3654,601.716 286.7862,565.5114 441.4272,431.1672 448.6212,458.7828 294.3654))",,POINT(519.1056 383.25),01030000000100000005000000F1F44A5986AC7C40569FABADD86572407D3F355EBACD8240D881734694EC71406519E25817AC81409FCDAACFD5967B40423EE8D9ACF27A406744696FF0097C40F1F44A5986AC7C40569FABADD8657240,645.252808170069102,519.1056,383.25,306.438047312,"POLYGON((0.57259 302.685147,0.700181 295.483117,0.753579 307.974906,0.653607 316.136534,0.57259 302.685147))",,POINT(0.677794608454984 306.438047312034),0.677794608455
1,12334.0,,HMI SHARP,HMI,SDO,12334,HMI,,,4.99999987369e-05,SDO,,cm,-13.1957836151,-19.5940494537,-18.086555481,-8.14338207245,"POLYGON((0.422564 136.798374,0.332685 156.621669,0.265651 149.250021,0.376788 127.821381,0.422564 136.798374))",,POINT(0.344099337342698 141.117867303021),"POLYGON((-105.646856 -21.894376,-95.703682 -21.894376,-95.703682 -17.330852,-105.646856 -17.330852,-105.646856 -21.894376))",,POINT(-100.756084 -19.59405),-100.756084,-19.59405,"POLYGON((-18.086556 -21.894376,-8.143382 -21.894376,-8.143382 -17.330852,-18.086556 -17.330852,-18.086556 -21.894376))",,POINT(-13.195784 -19.59405),-13.195784,-19.59405,"POLYGON((-275.3856 -293.2392,-125.6718 -290.712,-129.3042 -217.341,-283.3446 -219.954,-275.3856 -293.2392))",,POINT(-205.6278 -255),0103000000010000000500000067D5E76A2B3671C0401361C3D35372C0FB5C6DC5FE6A5FC008AC1C5A642B72C02F6EA301BC2960C0F4FDD478E92A6BC03A234A7B83B571C04A0C022B877E6BC067D5E76A2B3671C0401361C3D35372C0,327.578680827736378,-205.6278,-255.0,141.117867303,"POLYGON((0.422564 136.798374,0.332685 156.621669,0.265651 149.250021,0.376788 127.821381,0.422564 136.798374))",,POINT(0.344099337342698 141.117867303021),0.344099337343
2,12335.0,,HMI SHARP,HMI,SDO,12335,HMI,,,4.99999987369e-05,SDO,,cm,-79.4821929932,-15.0942649841,-88.0075912476,-74.4431991577,"POLYGON((0.998718 107.512343,0.962027 107.194259,0.96209 101.517662,0.999 102.061432,0.998718 107.512343))",,POINT(0.981691718444407 104.566818302),"POLYGON((-175.567891 -17.681324,-162.003499 -17.681324,-162.003499 -12.22728,-175.567891 -12.22728,-175.567891 -17.681324))",,POINT(-167.04249 -15.094265),-167.04249,-15.094265,"POLYGON((-88.007591 -17.681324,-74.443199 -17.681324,-74.443199 -12.22728,-88.007591 -12.22728,-88.007591 -17.681324))",,POINT(-79.48219 -15.094265),-79.48219,-15.094265,"POLYGON((-906.702 -286.0968,-874.908 -270.7332,-897.456 -182.8776,-930.042 -198.729,-906.702 -286.0968))",,POINT(-904.518 -235.05),01030000000100000005000000560E2DB29D558CC00B24287E8CE171C02506819543578BC0D656EC2FBBEB70C0CFF753E3A50B8CC0075F984C15DC66C07593180456108DC017D9CEF753D768C0560E2DB29D558CC00B24287E8CE171C0,934.559422842656886,-904.518,-235.05,104.566818302,"POLYGON((0.998718 107.512343,0.962027 107.194259,0.96209 101.517662,0.999 102.061432,0.998718 107.512343))",,POINT(0.981691718444407 104.566818302),0.981691718444
3,12333.0,,HMI SHARP,HMI,SDO,12333,HMI,,,4.99999987369e-05,SDO,,cm,37.528011322,20.3246650696,31.9162101746,42.374622345,"POLYGON((0.601482 301.387027,0.721966 295.011515,0.769657 306.825379,0.673546 314.124347,0.601482 301.387027))",,POINT(0.700303373628169 305.076198693715),"POLYGON((-57.84673 14.617393,-47.388318 14.617393,-47.388318 24.301065,-57.84673 24.301065,-57.84673 14.617393))",,POINT(-52.23493 20.324665),-52.23493,20.324665,"POLYGON((31.91621 14.617393,42.374622 14.617393,42.374622 24.301065,31.91621 24.301065,31.91621 14.617393))",,POINT(37.52801 20.324665),37.52801,20.324665,"POLYGON((488.7936 298.209,622.824 290.58,586.4808 439.149,460.2594 446.4018,488.7936 298.209))",,POINT(545.5812 383.1024),01030000000100000005000000B1E1E995B28C7E40D34D621058A372403BDF4F8D97768340E17A14AE47297240569FABADD8538240AAF1D24D62727B4052499D8026C47C408638D6C56DE67B40B1E1E995B28C7E40D34D621058A37240,666.65305420375887,545.5812,383.1024,305.076198694,"POLYGON((0.601482 301.387027,0.721966 295.011515,0.769657 306.825379,0.673546 314.124347,0.601482 301.387027))",,POINT(0.700303373628169 305.076198693715),0.700303373628
4,12335.0,,HMI SHARP,HMI,SDO,12335,HMI,,,4.99999987369e-05,SDO,,cm,-77.0874023438,-15.1436080933,-86.1761856079,-71.8795776367,"POLYGON((0.996715 107.389934,0.949525 107.21741,0.949241 101.710517,0.997105 102.15879,0.996715 107.389934))",,POINT(0.973211713622439 104.576449970862),"POLYGON((-175.939124 -17.653988,-161.642516 -17.653988,-161.642516 -12.433494,-175.939124 -12.433494,-175.939124 -17.653988))",,POINT(-166.85034 -15.143608),-166.85034,-15.143608,"POLYGON((-86.176184 -17.653988,-71.879576 -17.653988,-71.879576 -12.433494,-86.176184 -12.433494,-86.176184 -17.653988))",,POINT(-77.0874 -15.143608),-77.0874,-15.143608,"POLYGON((-905.454 -283.5774,-863.394 -267.5526,-884.82 -183.4068,-927.9 -199.9206,-905.454 -283.5774))",,POINT(-896.628 -233.1606),010300000001000000050000001283C0CAA14B8CC05E4BC8073DB971C0FED478E926FB8AC050FC1873D7B870C0C3F5285C8FA68BC069006F8104ED66C03333333333FF8CC05396218E75FD68C01283C0CAA14B8CC05E4BC8073DB971C0,926.447859178464455,-896.628,-233.1606,104.576449971,"POLYGON((0.996715 107.389934,0.949525 107.21741,0.949241 101.710517,0.997105 102.15879,0.996715 107.389934))",,POINT(0.973211713622439 104.576449970862),0.973211713622
5,12334.0,,HMI SHARP,HMI,SDO,12334,HMI,,,4.99999987369e-05,SDO,,cm,-10.8735609055,-19.6195926666,-15.8434228897,-5.81138896942,"POLYGON((0.399058 140.393199,0.319495 162.820568,0.248384 156.99289,0.34902 131.421662,0.399058 140.393199))",,POINT(0.321976895292246 146.337493639735),"POLYGON((-105.606363 -21.889879,-95.574329 -21.889879,-95.574329 -17.353561,-105.606363 -17.353561,-105.606363 -21.889879))",,POINT(-100.636501 -19.619593),-100.636501,-19.619593,"POLYGON((-15.843423 -21.889879,-5.811389 -21.889879,-5.811389 -17.353561,-15.843423 -17.353561,-15.843423 -21.889879))",,POINT(-10.873561 -19.619593),-10.873561,-19.619593,"POLYGON((-242.181 -292.6758,-89.8332 -290.5734,-92.415 -217.641,-249.141 -219.8148,-242.181 -292.6758))",,POINT(-169.896 -255.1098),010300000001000000050000006F1283C0CA456EC0302AA913D04A72C0BEC11726537556C06C787AA52C2972C0C3F5285C8F1A57C08D976E1283346BC08D976E1283246FC0FC1873D7127A6BC06F1283C0CA456EC0302AA913D04A72C0,306.505564177944393,-169.896,-255.1098,146.33749364,"POLYGON((0.399058 140.393199,0.319495 162.820568,0.248384 156.99289,0.34902 131.421662,0.399058 140.393199))",,POINT(0.321976895292246 146.337493639735),0.321976895292
6,12335.0,HSX,SWPC,nil,nil,,various,,,4.99999987369e-05,various,,cm,-76.0,-15.0,-77.0,-75.0,"POLYGON((0.972867 104.586797,0.964511 104.570426,0.964514 104.249281,0.972888 104.268388,0.972867 104.586797))",,POINT(0.968832632347228 104.416503006105),"POLYGON((-166.76294 -15.154698,-164.76294 -15.154698,-164.76294 -14.845302,-166.76294 -14.845302,-166.76294 -15.154698))",,POINT(-165.76294 -15),-165.76294,-15.0,"POLYGON((-77 -15.154698,-75 -15.154698,-75 -14.845302,-77 -14.845302,-77 -15.154698))",,POINT(-76 -15),-76.0,-15.0,"POLYGON((-896.268 -233.2398,-888.636 -230.9826,-889.92 -225.999,-897.57 -228.2604,-896.268 -233.2398))",,POINT(-893.238 -229.6188),01030000000100000005000000A01A2FDD24028CC096B20C71AC276DC00C022B8716C58BC096218E7571DF6CC08FC2F5285CCF8BC08716D9CEF73F6CC0C3F5285C8F0C8CC01C7C613255886CC0A01A2FDD24028CC096B20C71AC276DC0,922.279197400353269,-893.238,-229.6188,104.416503006,"POLYGON((0.972867 104.586797,0.964511 104.570426,0.964514 104.249281,0.972888 104.268388,0.972867 104.586797))",,POINT(0.968832632347228 104.416503006105),0.968832632347
7,12334.0,CRO,SWPC,nil,nil,,various,,,4.99999987369e-05,various,,cm,-11.0,-19.0,-12.5,-9.5,"POLYGON((0.33065 141.582895,0.302175 148.767462,0.300254 148.515842,0.328935 141.307666,0.33065 141.582895))",,POINT(0.314899812466116 144.86884978005),"POLYGON((-102.26294 -19.068754,-99.26294 -19.068754,-99.26294 -18.931246,-102.26294 -18.931246,-102.26294 -19.068754))",,POINT(-100.76294 -19),-100.76294,-19.0,"POLYGON((-12.5 -19.068754,-9.5 -19.068754,-9.5 -18.931246,-12.5 -18.931246,-12.5 -19.068754))",,POINT(-11 -19),-11.0,-19.0,"POLYGON((-195.5874 -246.6186,-149.1528 -245.9652,-149.2764 -243.7482,-195.7494 -244.4022,-195.5874 -246.6186))",,POINT(-172.5018 -245.1618),0103000000010000000500000074B515FBCB7268C0C7293A92CBD36EC0865AD3BCE3A462C02D431CEBE2BE6EC0A913D044D8A862C0C05B2041F1776EC0EB73B515FB7768C070CE88D2DE8C6EC074B515FBCB7268C0C7293A92CBD36EC0,299.768542683317605,-172.5018,-245.1618,144.86884978,"POLYGON((0.33065 141.582895,0.302175 148.767462,0.300254 148.515842,0.328935 141.307666,0.33065 141.582895))",,POINT(0.314899812466116 144.86884978005),0.314899812466
8,12333.0,,HMI SHARP,HMI,SDO,12333,HMI,,,4.99999987369e-05,SDO,,cm,39.4428672791,21.0020599365,34.2691802979,43.9197731018,"POLYGON((0.629743 299.77014,0.738943 294.376937,0.782693 305.832462,0.694467 312.092369,0.629743 299.77014))",,POINT(0.723489646542541 304.672764012289),"POLYGON((-57.696411 14.694357,-48.045819 14.694357,-48.045819 24.194357,-57.696411 24.194357,-57.696411 14.694357))",,POINT(-52.522723 21.00206),-52.522723,21.00206,"POLYGON((34.269179 14.694357,43.919771 14.694357,43.919771 24.194357,34.269179 24.194357,34.269179 14.694357))",,POINT(39.442867 21.00206),39.442867,21.00206,"POLYGON((520.344 297.6438,640.698 290.3226,604.038 436.1664,490.557 443.1336,520.344 297.6438))",,POINT(566.394 391.7916),01030000000100000005000000986E1283C0428040A3923A014D9A7240DD24068195058440091B9E5E29257240FCA9F1D24DE08240DFE00B93A9427B40F4FDD478E9A87E40EEEBC03923B27B40986E1283C0428040A3923A014D9A7240,688.696465118385845,566.394,391.7916,304.672764012,"POLYGON((0.629743 299.77014,0.738943 294.376937,0.782693 305.832462,0.694467 312.092369,0.629743 299.77014))",,POINT(0.723489646542541 304.672764012289),0.723489646543
9,12335.0,,HMI SHARP,HMI,SDO,12335,HMI,,,4.99999987369e-05,SDO,,cm,-75.0213394165,-15.1773843765,-83.7978820801,-69.466758728,"POLYGON((0.992748 107.244524,0.936181 107.251126,0.935505 101.845011,0.993193 102.15871,0.992748 107.244524))",,POINT(0.964622163312337 104.598572724462),"POLYGON((-175.763476 -17.607077,-161.432352 -17.607077,-161.432352 -12.555183,-175.763476 -12.555183,-175.763476 -17.607077))",,POINT(-166.98693 -15.177384),-166.98693,-15.177384,"POLYGON((-83.797886 -17.607077,-69.466762 -17.607077,-69.466762 -12.555183,-83.797886 -12.555183,-83.797886 -17.607077))",,POINT(-75.02134 -15.177384),-75.02134,-15.177384,"POLYGON((-902.526 -280.1472,-851.07 -264.2826,-871.554 -182.7918,-924.222 -199.1268,-902.526 -280.1472))",,POINT(-888.588 -231.4362),0103000000010000000500000091ED7C3F35348CC08A1F63EE5A8271C0C3F5285C8F988AC098DD9387858470C0DF4F8D976E3C8BC0211FF46C56D966C0B29DEFA7C6E18CC040A4DFBE0EE468C091ED7C3F35348CC08A1F63EE5A8271C0,918.232731073359218,-888.588,-231.4362,104.598572724,"POLYGON((0.992748 107.244524,0.936181 107.251126,0.935505 101.845011,0.993193 102.15871,0.992748 107.244524))",,POINT(0.964622163312337 104.598572724462),0.964622163312
