,ar_noaanum,event_starttime,event_peaktime,event_endtime,fl_goescls,obs_instrument,obs_title,event_coord1,event_coord2,event_coord3,event_coordsys,event_coordunit,event_description,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r,fl_efoldtime,fl_efoldtimeunit,fl_fluence,fl_fluenceunit,fl_halphaclass,fl_peakem,fl_peakemunit,fl_peakflux,fl_peakfluxunit,fl_peaktemp,fl_peaktempunit,flux
0,0,2006-03-07T15:15:00,2006-03-07T16:14:00,2006-03-07T19:02:00,B2.1,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.992597 180.000005,0.992597 179.999995,0.991424 0,0.991424 0,0.992597 180.000005))",,POINT(0.126768429589848 0),"POLYGON((2.08695 -89.9,-178.11305 -89.9,-178.11305 89.9,2.08695 89.9,2.08695 -89.9))",,POINT(91.986949 0),91.986949,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -959.13,-8.5e-05 -959.13,0 957.996,-0 957.996,8.5e-05 -959.13))",,POINT(0 122.4942),,122.494200000000006,0.0,122.4942,0.0,"POLYGON((0.992597 180.000005,0.992597 179.999995,0.991424 0,0.991424 0,0.992597 180.000005))",,POINT(0.126768429589848 0),0.12676842959,,,,,,,,,,,,2.1e-07 W / m2
1,10856,2006-03-11T13:22:00,2006-03-11T14:00:00,2006-03-11T14:51:00,B3.4,GOES,,90,-10,,UTC-HGS-TOPO,degrees,,89.5,90.5,"POLYGON((0.999656 259.641873,0.999964 259.520209,0.999983 260.512432,0.99971 260.634801,0.999656 259.641873))",,POINT(0.999861847636786 260.077648901044),"POLYGON((129.813616 -10.5,130.813616 -10.5,130.813616 -9.5,129.813616 -9.5,129.813616 -10.5))",,POINT(130.313616 -10),130.313616,-10,"POLYGON((89.5 -10.5,90.5 -10.5,90.5 -9.5,89.5 -9.5,89.5 -10.5))",,POINT(90 -10),90,-10,"POLYGON((949.248 -173.5026,949.17 -175.572,952.086 -159.1122,952.164 -157.0356,949.248 -173.5026))",,POINT(950.736 -166.3122),,965.172880661718523,950.736,-166.3122,260.077648901,"POLYGON((0.999656 259.641873,0.999964 259.520209,0.999983 260.512432,0.99971 260.634801,0.999656 259.641873))",,POINT(0.999861847636786 260.077648901044),0.999861847637,,,,,,,,,,,,3.4e-07 W / m2
2,0,2006-03-14T07:00:00,2006-03-14T07:05:00,2006-03-14T07:10:00,B3.6,GOES,,-67,-9,,UTC-HGS-TOPO,degrees,,-67.5,-66.5,"POLYGON((0.920331 97.289025,0.913467 97.219101,0.913944 96.125072,0.920811 96.203359,0.920331 97.289025))",,POINT(0.917164958217241 96.7087812108539),"POLYGON((-63.226679 -9.5,-62.226679 -9.5,-62.226679 -8.5,-63.226679 -8.5,-63.226679 -9.5))",,POINT(-62.7266794 -9),-62.7266794,-9,"POLYGON((-67.5 -9.5,-66.5 -9.5,-66.5 -8.5,-67.5 -8.5,-67.5 -9.5))",,POINT(-67 -9),-67,-9,"POLYGON((-880.578 -112.6332,-874.146 -110.7264,-876.558 -94.065,-883.014 -95.9784,-880.578 -112.6332))",,POINT(-878.64 -103.353),0103000000010000000500000085EB51B81E3D8CC09EEFA7C64B0B60C085EB51B81E3D8CC03CDF4F8D979653C085EB51B81EAD8AC03CDF4F8D979653C085EB51B81EAD8AC09EEFA7C64B0B60C085EB51B81E3D8CC09EEFA7C64B0B60C0,884.697740592231867,-878.64,-103.353,96.7087812109,"POLYGON((0.920331 97.289025,0.913467 97.219101,0.913944 96.125072,0.920811 96.203359,0.920331 97.289025))",,POINT(0.917164958217241 96.7087812108539),0.917164958217,,,,,,,,,,,,3.6e-07 W / m2
3,0,2006-03-14T13:59:00,2006-03-14T14:05:00,2006-03-14T14:13:00,B1.7,GOES,,-63,-9,,UTC-HGS-TOPO,degrees,,-63.5,-62.5,"POLYGON((0.891246 97.024263,0.883301 96.962707,0.883778 95.830378,0.891728 95.902211,0.891246 97.024263))",,POINT(0.8875384667266 96.4295115761596),"POLYGON((-63.061607 -9.5,-62.061607 -9.5,-62.061607 -8.5,-63.061607 -8.5,-63.061607 -9.5))",,POINT(-62.56160721 -9),-62.56160721,-9,"POLYGON((-63.5 -9.5,-62.5 -9.5,-62.5 -8.5,-63.5 -8.5,-63.5 -9.5))",,POINT(-63 -9),-63,-9,"POLYGON((-853.176 -105.1236,-845.682 -103.278,-848.016 -86.5926,-855.534 -88.4442,-853.176 -105.1236))",,POINT(-850.668 -95.8614),01030000000100000005000000D34D6210585D8BC09031772D21375EC0D34D6210585D8BC09031772D21B751C0D34D621058CD89C09031772D21B751C0D34D621058CD89C09031772D21375EC0D34D6210585D8BC09031772D21375EC0,856.052249710238243,-850.668,-95.8614,96.4295115762,"POLYGON((0.891246 97.024263,0.883301 96.962707,0.883778 95.830378,0.891728 95.902211,0.891246 97.024263))",,POINT(0.8875384667266 96.4295115761596),0.887538466727,,,,,,,,,,,,1.7e-07 W / m2
4,10860,2006-03-14T15:53:00,2006-03-14T15:57:00,2006-03-14T16:07:00,B1.5,GOES,,-61,-8,,UTC-HGS-TOPO,degrees,,-61.5,-60.5,"POLYGON((0.875573 95.76082,0.867097 95.692187,0.867658 94.538984,0.87613 94.619024,0.875573 95.76082))",,POINT(0.871637229416241 95.1524168606045),"POLYGON((-62.10501 -8.5,-61.10501 -8.5,-61.10501 -7.5,-62.10501 -7.5,-62.10501 -8.5))",,POINT(-61.60501 -8),-61.60501,-8,"POLYGON((-61.5 -8.5,-60.5 -8.5,-60.5 -7.5,-61.5 -7.5,-61.5 -8.5))",,POINT(-61 -8),-61,-8,"POLYGON((-840.228 -84.7668,-832.194 -82.9494,-834.234 -66.2268,-842.286 -68.0502,-840.228 -84.7668))",,POINT(-837.3 -75.4992),010300000001000000050000006666666666F28AC0728A8EE4F21F59C06666666666F28AC0E4141DC9E53F49C066666666666289C0E4141DC9E53F49C066666666666289C0728A8EE4F21F59C06666666666F28AC0728A8EE4F21F59C0,840.696984174821409,-837.3,-75.4992,95.1524168606,"POLYGON((0.875573 95.76082,0.867097 95.692187,0.867658 94.538984,0.87613 94.619024,0.875573 95.76082))",,POINT(0.871637229416241 95.1524168606045),0.871637229416,,,,,,,,,,,,1.5e-07 W / m2
5,10859,2006-03-15T03:40:00,2006-03-15T03:44:00,2006-03-15T03:46:00,B1.2,GOES,,90,-4,,UTC-HGS-TOPO,degrees,,89.5,90.5,"POLYGON((0.999915 265.596862,1.000003 265.47282,0.999993 266.46496,0.999942 266.589297,0.999915 265.596862))",,POINT(1.00000304209529 266.031131352225),"POLYGON((82.42398 -4.5,83.42398 -4.5,83.42398 -3.5,82.42398 -3.5,82.42398 -4.5))",,POINT(82.92398 -4),82.92398,-4,"POLYGON((89.5 -4.5,90.5 -4.5,90.5 -3.5,89.5 -3.5,89.5 -4.5))",,POINT(90 -4),90,-4,"POLYGON((961.446 -74.0322,961.368 -76.1202,962.532 -59.46186,962.61 -57.37002,961.446 -74.0322))",,POINT(962.064 -66.7488),,964.376763717085964,962.064,-66.7488,266.031131352,"POLYGON((0.999915 265.596862,1.000003 265.47282,0.999993 266.46496,0.999942 266.589297,0.999915 265.596862))",,POINT(1.00000304209529 266.031131352225),1.0000030421,,,,,,,,,,,,1.2e-07 W / m2
6,10859,2006-03-15T10:43:00,2006-03-15T10:47:00,2006-03-15T10:53:00,B1.5,GOES,,90,-6,,UTC-HGS-TOPO,degrees,,89.5,90.5,"POLYGON((0.99985 263.61157,1.000011 263.488436,1.000013 264.480642,0.999882 264.604201,0.99985 263.61157))",,POINT(0.999974024120764 264.046442508463),"POLYGON((78.55228 -6.5,79.55228 -6.5,79.55228 -5.5,78.55228 -5.5,78.55228 -6.5))",,POINT(79.05228 -6),79.05228,-6,"POLYGON((89.5 -6.5,90.5 -6.5,90.5 -5.5,89.5 -5.5,89.5 -6.5))",,POINT(90 -6),90,-6,"POLYGON((958.164 -107.2794,958.086 -109.356,959.838 -92.7492,959.91 -90.6672,958.164 -107.2794))",,POINT(959.07 -100.0164),,964.270991562517224,959.07,-100.0164,264.046442508,"POLYGON((0.99985 263.61157,1.000011 263.488436,1.000013 264.480642,0.999882 264.604201,0.99985 263.61157))",,POINT(0.999974024120764 264.046442508463),0.999974024121,,,,,,,,,,,,1.5e-07 W / m2
7,10859,2006-03-15T11:15:00,2006-03-15T11:21:00,2006-03-15T11:35:00,B1.1,GOES,,90,-6,,UTC-HGS-TOPO,degrees,,89.5,90.5,"POLYGON((0.999849 263.611566,1.000011 263.488466,1.000013 264.480643,0.999882 264.604167,0.999849 263.611566))",,POINT(0.999973878911197 264.046440989117),"POLYGON((78.25938 -6.5,79.25938 -6.5,79.25938 -5.5,78.25938 -5.5,78.25938 -6.5))",,POINT(78.75938 -6),78.75938,-6,"POLYGON((89.5 -6.5,90.5 -6.5,90.5 -5.5,89.5 -5.5,89.5 -6.5))",,POINT(90 -6),90,-6,"POLYGON((958.158 -107.2788,958.08 -109.3548,959.832 -92.7486,959.904 -90.6672,958.158 -107.2788))",,POINT(959.064 -100.0158),,964.264961691360099,959.064,-100.0158,264.046440989,"POLYGON((0.999849 263.611566,1.000011 263.488466,1.000013 264.480643,0.999882 264.604167,0.999849 263.611566))",,POINT(0.999973878911197 264.046440989117),0.999973878911,,,,,,,,,,,,1.1e-07 W / m2
8,10862,2006-03-19T23:02:00,2006-03-19T23:38:00,2006-03-19T23:48:00,B2.2,GOES,,12,-6,,UTC-HGS-TOPO,degrees,,11.5,12.5,"POLYGON((0.19913 272.082966,0.216142 271.800979,0.217793 276.410727,0.200896 277.080644,0.19913 272.082966))",,POINT(0.208321634189368 274.345099904928),"POLYGON((-58.93983 -6.5,-57.93983 -6.5,-57.93983 -5.5,-58.93983 -5.5,-58.93983 -6.5))",,POINT(-58.43983 -6),-58.43983,-6,"POLYGON((11.5 -6.5,12.5 -6.5,12.5 -5.5,11.5 -5.5,11.5 -6.5))",,POINT(12 -6),12,-6,"POLYGON((191.6502 6.97044,208.0578 6.54204,208.4394 23.41974,192.0018 23.84922,191.6502 6.97044))",,POINT(200.0526 15.2004),01030000000100000005000000A1F831E6AEE1654061C3D32B659923C0A1F831E6AEE16540280F0BB5A6194440A1F831E6AE216C40280F0BB5A6194440A1F831E6AE216C4061C3D32B659923C0A1F831E6AEE1654061C3D32B659923C0,200.629247436459281,200.0526,15.2004,274.345099905,"POLYGON((0.19913 272.082966,0.216142 271.800979,0.217793 276.410727,0.200896 277.080644,0.19913 272.082966))",,POINT(0.208321634189368 274.345099904928),0.208321634189,,,,,,,,,,,,2.2e-07 W / m2
9,10862,2006-03-20T04:26:00,2006-03-20T04:37:00,2006-03-20T04:54:00,B7.1,GOES,,13,-8,,UTC-HGS-TOPO,degrees,,12.5,13.5,"POLYGON((0.216907 262.484329,0.233723 262.909789,0.232782 267.210936,0.215845 267.119342,0.216907 262.484329))",,POINT(0.224659709159056 264.932306605794),"POLYGON((-60.90609 -8.5,-59.90609 -8.5,-59.90609 -7.5,-60.90609 -7.5,-60.90609 -8.5))",,POINT(-60.40609 -8),-60.40609,-8,"POLYGON((12.5 -8.5,13.5 -8.5,13.5 -7.5,12.5 -7.5,12.5 -8.5))",,POINT(13 -8),13,-8,"POLYGON((207.09 -27.32154,223.3572 -27.78186,223.9062 -10.908,207.5988 -10.44624,207.09 -27.32154))",,POINT(215.5044 -19.11078),010300000001000000050000004703780B24D067408386FE092E0E46C04703780B24D06740E8CB0BB08F8E17404703780B24106E40E8CB0BB08F8E17404703780B24106E408386FE092E0E46C04703780B24D067408386FE092E0E46C0,216.350105919938017,215.5044,-19.11078,264.932306606,"POLYGON((0.216907 262.484329,0.233723 262.909789,0.232782 267.210936,0.215845 267.119342,0.216907 262.484329))",,POINT(0.224659709159056 264.932306605794),0.224659709159,,,,,,,,,,,,7.1e-07 W / m2
