,end_time,event_date,goes_class,goes_location,noaa_active_region,peak_time,start_time,flux
0,2016-04-01 02:56:00,2016-04-01,B1.1,"(0, 0)",12526,2016-04-01 02:54:00,2016-04-01 02:50:00,1.1e-07 W / m2
1,2016-04-01 03:07:00,2016-04-01,B1.3,"(0, 0)",12526,2016-04-01 03:04:00,2016-04-01 03:00:00,1.3e-07 W / m2
2,2016-04-01 03:44:00,2016-04-01,B1.0,"(0, 0)",12526,2016-04-01 03:41:00,2016-04-01 03:38:00,1e-07 W / m2
3,2016-04-02 12:22:00,2016-04-02,B2.1,"(0, 0)",12524,2016-04-02 12:17:00,2016-04-02 12:11:00,2.1e-07 W / m2
4,2016-04-03 13:41:00,2016-04-03,B2.2,"(0, 0)",12528,2016-04-03 13:38:00,2016-04-03 13:35:00,2.2e-07 W / m2
5,2016-04-04 00:17:00,2016-04-03,B3.1,"(0, 0)",12528,2016-04-04 00:06:00,2016-04-03 23:52:00,3.1e-07 W / m2
6,2016-04-04 09:48:00,2016-04-04,B1.3,"(0, 0)",0,2016-04-04 09:43:00,2016-04-04 09:40:00,1.3e-07 W / m2
7,2016-04-04 12:56:00,2016-04-04,B2.0,"(0, 0)",0,2016-04-04 12:48:00,2016-04-04 12:43:00,2e-07 W / m2
8,2016-04-04 19:49:00,2016-04-04,B4.1,"(0, 0)",12528,2016-04-04 19:39:00,2016-04-04 19:25:00,4.1e-07 W / m2
9,2016-04-05 04:33:00,2016-04-05,B1.5,"(0, 0)",0,2016-04-05 04:30:00,2016-04-05 04:27:00,1.5e-07 W / m2
10,2016-04-05 07:42:00,2016-04-05,B4.6,"(0, 0)",12528,2016-04-05 07:37:00,2016-04-05 07:31:00,4.6e-07 W / m2
11,2016-04-05 15:54:00,2016-04-05,B2.5,"(0, 0)",12528,2016-04-05 15:49:00,2016-04-05 15:46:00,2.5e-07 W / m2
12,2016-04-05 17:51:00,2016-04-05,B2.8,"(0, 0)",12528,2016-04-05 17:48:00,2016-04-05 17:45:00,2.8e-07 W / m2
13,2016-04-06 10:30:00,2016-04-06,C1.1,"(0, 0)",0,2016-04-06 10:11:00,2016-04-06 09:57:00,1.1e-06 W / m2
14,2016-04-06 17:13:00,2016-04-06,C1.4,"(0, 0)",12529,2016-04-06 16:52:00,2016-04-06 16:39:00,1.4e-06 W / m2
15,2016-04-07 01:26:00,2016-04-07,C1.4,"(0, 0)",12529,2016-04-07 01:17:00,2016-04-07 01:10:00,1.4e-06 W / m2
16,2016-04-07 05:55:00,2016-04-07,C1.4,"(0, 0)",12529,2016-04-07 05:53:00,2016-04-07 05:50:00,1.4e-06 W / m2
17,2016-04-07 09:50:00,2016-04-07,B8.6,"(0, 0)",12529,2016-04-07 09:48:00,2016-04-07 09:45:00,8.6e-07 W / m2
18,2016-04-07 11:21:00,2016-04-07,C1.9,"(0, 0)",12529,2016-04-07 11:13:00,2016-04-07 11:06:00,1.9e-06 W / m2
19,2016-04-07 13:44:00,2016-04-07,B7.7,"(0, 0)",12529,2016-04-07 13:37:00,2016-04-07 13:32:00,7.7e-07 W / m2
20,2016-04-08 05:09:00,2016-04-08,B7.2,"(0, 0)",12529,2016-04-08 05:05:00,2016-04-08 05:01:00,7.2e-07 W / m2
21,2016-04-08 16:18:00,2016-04-08,B6.1,"(0, 0)",12529,2016-04-08 16:14:00,2016-04-08 16:10:00,6.1e-07 W / m2
22,2016-04-08 16:45:00,2016-04-08,C1.1,"(0, 0)",12529,2016-04-08 16:38:00,2016-04-08 16:31:00,1.1e-06 W / m2
