,ar_noaanum,event_starttime,event_peaktime,event_endtime,fl_goescls,obs_instrument,obs_title,event_coord1,event_coord2,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r,flux
0,0,2016-07-02T04:00:00,2016-07-02T04:05:00,2016-07-02T04:10:00,B1.6,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.998366 179.899871,0.998366 180.100129,0.998848 359.899861,0.998848 0.100139,0.998366 179.899871))",,POINT(0.0530075799314734 180),"POLYGON((-72.964321 -89.9,106.835679 -89.9,106.835679 89.9,-72.964321 89.9,-72.964321 -89.9))",,POINT(16.935679 0),16.935679,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.645585 -941.63898,1.645585 -941.63898,1.646542 942.09318,-1.646542 942.09318,-1.645585 -941.63898))",,POINT(0 -49.9957608),,49.9957607999999993,0.0,-49.9957608,180.0,"POLYGON((0.998366 179.899871,0.998366 180.100129,0.998848 359.899861,0.998848 0.100139,0.998366 179.899871))",,POINT(0.0530075799314734 180),0.0530075799315,1.6e-07 W / m2
1,0,2016-07-03T09:52:00,2016-07-03T09:58:00,2016-07-03T10:03:00,B1.6,GOES,,4,15,3.5,4.5,"POLYGON((0.206338 343.277759,0.211891 338.893789,0.227859 340.531096,0.222748 344.615996,0.206338 343.277759))",,POINT(0.217049845025082 341.83056890134),"POLYGON((3.964363 14.5,4.964363 14.5,4.964363 15.5,3.964363 15.5,3.964363 14.5))",,POINT(4.46436289 15),4.46436289,15,"POLYGON((3.5 14.5,4.5 14.5,4.5 15.5,3.5 15.5,3.5 14.5))",,POINT(4 15),4,15,"POLYGON((55.99597 186.381402,71.965182 186.441954,71.628234 202.621308,55.733789 202.561122,55.99597 186.381402))",,POINT(63.835698 194.50707),0103000000010000000500000092AAED26F86A43400C59DDEA3930654092AAED26F86A43400C59DDEA39706B4049D576137C3556400C59DDEA39706B4049D576137C3556400C59DDEA3930654092AAED26F86A43400C59DDEA39306540,204.71442699314602,63.835698,194.50707,341.830568901,"POLYGON((0.206338 343.277759,0.211891 338.893789,0.227859 340.531096,0.222748 344.615996,0.206338 343.277759))",,POINT(0.217049845025082 341.83056890134),0.217049845025,1.6e-07 W / m2
2,0,2016-07-04T01:57:00,2016-07-04T02:01:00,2016-07-04T02:04:00,B1.7,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.998152 179.899852,0.998152 180.100148,0.998666 359.899842,0.998666 0.100158,0.998152 179.899852))",,POINT(0.0566501684780958 180),"POLYGON((-98.3054 -89.9,81.4946 -89.9,81.4946 89.9,-98.3054 89.9,-98.3054 -89.9))",,POINT(-8.40539999999999 0),-8.4054,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.645528 -941.41938,1.645528 -941.41938,1.64654 941.90466,-1.64654 941.90466,-1.645528 -941.41938))",,POINT(0 -53.430408),,53.4304079999999999,0.0,-53.430408,180.0,"POLYGON((0.998152 179.899852,0.998152 180.100148,0.998666 359.899842,0.998666 0.100158,0.998152 179.899852))",,POINT(0.0566501684780958 180),0.0566501684781,1.7e-07 W / m2
3,0,2016-07-04T08:31:00,2016-07-04T08:45:00,2016-07-04T09:20:00,B1.6,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.99812 179.899849,0.99812 180.100151,0.998639 359.899839,0.998639 0.100161,0.99812 179.899849))",,POINT(0.0571661215560964 180),"POLYGON((-101.92681 -89.9,77.87319 -89.9,77.87319 89.9,-101.92681 89.9,-101.92681 -89.9))",,POINT(-12.02681 0),-12.02681,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.645523 -941.3889,1.645523 -941.3889,1.646542 941.87862,-1.646542 941.87862,-1.645523 -941.3889))",,POINT(0 -53.916993),,53.9169929999999979,0.0,-53.916993,180.0,"POLYGON((0.99812 179.899849,0.99812 180.100151,0.998639 359.899839,0.998639 0.100161,0.99812 179.899849))",,POINT(0.0571661215560964 180),0.0571661215561,1.6e-07 W / m2
4,12561,2016-07-07T03:03:00,2016-07-07T03:08:00,2016-07-07T03:14:00,B3.9,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.997791 179.899818,0.997791 180.100182,0.998357 359.899808,0.998357 0.100192,0.997791 179.899818))",,POINT(0.0623250393201755 180),"POLYGON((-138.61798 -89.9,41.18202 -89.9,41.18202 89.9,-138.61798 89.9,-138.61798 -89.9))",,POINT(-48.71798 0),-48.71798,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.645513 -941.09484,1.645513 -941.09484,1.64661 941.6286,-1.64661 941.6286,-1.645513 -941.09484))",,POINT(0 -58.7837256),,58.7837255999999968,0.0,-58.7837256,180.0,"POLYGON((0.997791 179.899818,0.997791 180.100182,0.998357 359.899808,0.998357 0.100192,0.997791 179.899818))",,POINT(0.0623250393201755 180),0.0623250393202,3.9e-07 W / m2
5,12561,2016-07-07T04:11:00,2016-07-07T04:16:00,2016-07-07T04:20:00,B4.4,GOES,,33,-17,32.5,33.5,"POLYGON((0.622844 235.65882,0.634123 236.415089,0.627577 237.809301,0.616038 237.066637,0.622844 235.65882))",,POINT(0.625127255827546 236.737994705844),"POLYGON((-16.84296 -17.5,-15.84296 -17.5,-15.84296 -16.5,-16.84296 -16.5,-16.84296 -17.5))",,POINT(-16.34296 -17),-16.34296,-17,"POLYGON((32.5 -17.5,33.5 -17.5,33.5 -16.5,32.5 -16.5,32.5 -17.5))",,POINT(33 -17),33,-17,"POLYGON((485.057352 -331.39479,498.250782 -330.84792,500.928768 -315.33813,487.664538 -315.887292,485.057352 -331.39479))",,POINT(493.013166 -323.381322),01030000000100000005000000B5368DED35407D40EDF318E519C675C0B5368DED35407D40EDF318E519A672C05A9BC6F61A308040EDF318E519A672C05A9BC6F61A308040EDF318E519C675C0B5368DED35407D40EDF318E519C675C0,589.60788772523324,493.013166,-323.381322,236.737994706,"POLYGON((0.622844 235.65882,0.634123 236.415089,0.627577 237.809301,0.616038 237.066637,0.622844 235.65882))",,POINT(0.625127255827546 236.737994705844),0.625127255828,4.4e-07 W / m2
6,12564,2016-07-08T00:48:00,2016-07-08T00:56:00,2016-07-08T01:05:00,C2.7,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.997679 179.899807,0.997679 180.100193,0.99826 359.899798,0.99826 0.100202,0.997679 179.899807))",,POINT(0.0639832200928434 180),"POLYGON((-150.61208 -89.9,29.18792 -89.9,29.18792 89.9,-150.61208 89.9,-150.61208 -89.9))",,POINT(-60.71208 0),-60.71208,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.645527 -941.00448,1.645527 -941.00448,1.646648 941.5524,-1.646648 941.5524,-1.645527 -941.00448))",,POINT(0 -60.348636),,60.3486359999999991,0.0,-60.348636,180.0,"POLYGON((0.997679 179.899807,0.997679 180.100193,0.99826 359.899798,0.99826 0.100202,0.997679 179.899807))",,POINT(0.0639832200928434 180),0.0639832200928,2.7e-06 W / m2
7,12564,2016-07-08T02:34:00,2016-07-08T03:16:00,2016-07-08T03:24:00,B9.1,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.99767 179.899807,0.99767 180.100193,0.998252 359.899797,0.998252 0.100203,0.99767 179.899807))",,POINT(0.0641172725749281 180),"POLYGON((-151.5863 -89.9,28.2137 -89.9,28.2137 89.9,-151.5863 89.9,-151.5863 -89.9))",,POINT(-61.6863 0),-61.6863,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.645528 -940.99728,1.645528 -940.99728,1.646652 941.54634,-1.646652 941.54634,-1.645528 -940.99728))",,POINT(0 -60.475164),,60.4751639999999995,0.0,-60.475164,180.0,"POLYGON((0.99767 179.899807,0.99767 180.100193,0.998252 359.899797,0.998252 0.100203,0.99767 179.899807))",,POINT(0.0641172725749281 180),0.0641172725749,9.1e-07 W / m2
8,12564,2016-07-08T05:16:00,2016-07-08T05:20:00,2016-07-08T05:31:00,B4.3,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.997656 179.899805,0.997656 180.100195,0.99824 359.899795,0.99824 0.100205,0.997656 179.899805))",,POINT(0.0643219586701346 180),"POLYGON((-153.07521 -89.9,26.72479 -89.9,26.72479 89.9,-153.07521 89.9,-153.07521 -89.9))",,POINT(-63.17521 0),-63.17521,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.64553 -940.9863,1.64553 -940.9863,1.646657 941.5371,-1.646657 941.5371,-1.64553 -940.9863))",,POINT(0 -60.668364),,60.668364000000004,0.0,-60.668364,180.0,"POLYGON((0.997656 179.899805,0.997656 180.100195,0.99824 359.899795,0.99824 0.100205,0.997656 179.899805))",,POINT(0.0643219586701346 180),0.0643219586701,4.3e-07 W / m2
9,12562,2016-07-08T06:09:00,2016-07-08T06:24:00,2016-07-08T06:31:00,B6.3,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.997652 179.899805,0.997652 180.100195,0.998236 359.899795,0.998236 0.100205,0.997652 179.899805))",,POINT(0.0643888739203273 180),"POLYGON((-153.56232 -89.9,26.23768 -89.9,26.23768 89.9,-153.56232 89.9,-153.56232 -89.9))",,POINT(-63.66232 0),-63.66232,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.645531 -940.9827,1.645531 -940.9827,1.646659 941.53404,-1.646659 941.53404,-1.645531 -940.9827))",,POINT(0 -60.731526),,60.7315260000000023,0.0,-60.731526,180.0,"POLYGON((0.997652 179.899805,0.997652 180.100195,0.998236 359.899795,0.998236 0.100205,0.997652 179.899805))",,POINT(0.0643888739203273 180),0.0643888739203,6.3e-07 W / m2
