,end_time,event_date,goes_class,goes_location,noaa_active_region,peak_time,start_time,flux
0,2016-06-01 14:41:00,2016-06-01,B1.8,"(0, 0)",12551,2016-06-01 14:37:00,2016-06-01 14:33:00,1.8e-07 W / m2
1,2016-06-01 16:23:00,2016-06-01,B2.3,"(0, 0)",12551,2016-06-01 16:19:00,2016-06-01 16:15:00,2.3e-07 W / m2
2,2016-06-01 22:57:00,2016-06-01,B7.9,"(0, 0)",0,2016-06-01 22:35:00,2016-06-01 22:20:00,7.9e-07 W / m2
3,2016-06-07 06:15:00,2016-06-07,B1.9,"(0, 0)",0,2016-06-07 06:06:00,2016-06-07 05:49:00,1.9e-07 W / m2
4,2016-06-08 04:28:00,2016-06-08,B2.3,"(0, 0)",12552,2016-06-08 04:16:00,2016-06-08 04:04:00,2.3e-07 W / m2
5,2016-06-09 05:05:00,2016-06-09,B2.8,"(37, 14)",12552,2016-06-09 05:01:00,2016-06-09 04:56:00,2.8e-07 W / m2
6,2016-06-09 06:30:00,2016-06-09,B3.5,"(0, 0)",0,2016-06-09 06:27:00,2016-06-09 06:24:00,3.5e-07 W / m2
7,2016-06-09 06:43:00,2016-06-09,B2.6,"(0, 0)",0,2016-06-09 06:39:00,2016-06-09 06:36:00,2.6e-07 W / m2
8,2016-06-09 07:44:00,2016-06-09,B2.1,"(0, 0)",0,2016-06-09 07:37:00,2016-06-09 07:33:00,2.1e-07 W / m2
9,2016-06-09 10:29:00,2016-06-09,B2.7,"(0, 0)",0,2016-06-09 10:25:00,2016-06-09 10:17:00,2.7e-07 W / m2
10,2016-06-09 10:51:00,2016-06-09,B2.4,"(0, 0)",0,2016-06-09 10:47:00,2016-06-09 10:43:00,2.4e-07 W / m2
11,2016-06-09 12:23:00,2016-06-09,B9.9,"(42, 14)",12552,2016-06-09 12:18:00,2016-06-09 12:09:00,9.9e-07 W / m2
12,2016-06-09 12:37:00,2016-06-09,C1.5,"(0, 0)",0,2016-06-09 12:34:00,2016-06-09 12:28:00,1.5e-06 W / m2
13,2016-06-09 13:10:00,2016-06-09,B5.7,"(43, 14)",12552,2016-06-09 13:06:00,2016-06-09 12:56:00,5.7e-07 W / m2
14,2016-06-09 13:32:00,2016-06-09,B3.0,"(0, 0)",0,2016-06-09 13:26:00,2016-06-09 13:23:00,3e-07 W / m2
15,2016-06-09 15:17:00,2016-06-09,C1.1,"(45, 14)",12552,2016-06-09 15:14:00,2016-06-09 15:03:00,1.1e-06 W / m2
16,2016-06-10 00:55:00,2016-06-10,B3.2,"(0, 0)",0,2016-06-10 00:52:00,2016-06-10 00:47:00,3.2e-07 W / m2
17,2016-06-10 05:56:00,2016-06-10,B2.1,"(0, 0)",12552,2016-06-10 05:54:00,2016-06-10 05:51:00,2.1e-07 W / m2
