,ar_noaanum,event_starttime,event_peaktime,event_endtime,fl_goescls,obs_instrument,obs_title,event_coord1,event_coord2,event_coord3,event_coordsys,event_coordunit,event_description,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r,fl_efoldtime,fl_efoldtimeunit,fl_fluence,fl_fluenceunit,fl_halphaclass,fl_peakem,fl_peakemunit,fl_peakflux,fl_peakfluxunit,fl_peaktemp,fl_peaktempunit,flux
0,10786,2005-07-01T04:57:00,2005-07-01T05:02:00,2005-07-01T05:07:00,C5.3,GOES,,-83,14,,UTC-HGS-TOPO,degrees,,-83.5,-82.5,"POLYGON((0.993118 76.744976,0.990982 76.765501,0.990943 75.755928,0.993071 75.73768,0.993118 76.744976))",,POINT(0.992063100290829 76.2515265423063),"POLYGON((58.88371 13.5,59.88371 13.5,59.88371 14.5,58.88371 14.5,58.88371 13.5))",,POINT(59.38371 14),59.38371,14,"POLYGON((-83.5 13.5,-82.5 13.5,-82.5 14.5,-83.5 14.5,-83.5 13.5))",,POINT(-83 14),-83,14,"POLYGON((-911.778 214.7796,-909.894 213.9918,-905.946 229.9812,-907.818 230.7642,-911.778 214.7796))",,POINT(-908.928 222.3876),010300000001000000050000008195438B6C998DC0BF7D1D38670467408195438B6C998DC0E0BE0E9C334A70408195438B6C358BC0E0BE0E9C334A70408195438B6C358BC0BF7D1D38670467408195438B6C998DC0BF7D1D3867046740,935.738400311625469,-908.928,222.3876,76.2515265423,"POLYGON((0.993118 76.744976,0.990982 76.765501,0.990943 75.755928,0.993071 75.73768,0.993118 76.744976))",,POINT(0.992063100290829 76.2515265423063),0.992063100291,,,,,,,,,,,,5.3e-06 W / m2
1,10783,2005-07-01T07:18:00,2005-07-01T07:23:00,2005-07-01T07:29:00,B3.4,GOES,,-43,-2,,UTC-HGS-TOPO,degrees,,-43.5,-42.5,"POLYGON((0.694671 96.664387,0.682077 96.839622,0.680631 95.376348,0.693287 95.227346,0.694671 96.664387))",,POINT(0.687664853159316 96.0268107188944),"POLYGON((97.58767 -2.5,98.58767 -2.5,98.58767 -1.5,97.58767 -1.5,97.58767 -2.5))",,POINT(98.08767 -2),98.08767,-2,"POLYGON((-43.5 -2.5,-42.5 -2.5,-42.5 -1.5,-43.5 -1.5,-43.5 -2.5))",,POINT(-43 -2),-43,-2,"POLYGON((-650.802 -76.0416,-638.772 -76.617,-639.162 -60.1524,-651.204 -59.5776,-650.802 -76.0416))",,POINT(-645.036 -68.1012),0103000000010000000500000040355EBA49F084C0BB96900F7A4657C040355EBA49F084C0762D211FF48C45C040355EBA496083C0762D211FF48C45C040355EBA496083C0BB96900F7A4657C040355EBA49F084C0BB96900F7A4657C0,648.621010095602855,-645.036,-68.1012,96.0268107189,"POLYGON((0.694671 96.664387,0.682077 96.839622,0.680631 95.376348,0.693287 95.227346,0.694671 96.664387))",,POINT(0.687664853159316 96.0268107188944),0.687664853159,,,,,,,,,,,,3.4e-07 W / m2
2,10783,2005-07-01T09:58:00,2005-07-01T10:04:00,2005-07-01T10:09:00,B3.9,GOES,,-41,-2,,UTC-HGS-TOPO,degrees,,-41.5,-40.5,"POLYGON((0.669295 97.036304,0.656302 97.228159,0.654734 95.708156,0.667787 95.545443,0.669295 97.036304))",,POINT(0.662024071286817 96.3793691476465),"POLYGON((98.11698 -2.5,99.11698 -2.5,99.11698 -1.5,98.11698 -1.5,98.11698 -2.5))",,POINT(98.61698 -2),98.61698,-2,"POLYGON((-41.5 -2.5,-40.5 -2.5,-40.5 -1.5,-41.5 -1.5,-41.5 -2.5))",,POINT(-41 -2),-41,-2,"POLYGON((-626.538 -77.3322,-614.118 -77.8878,-614.496 -61.4232,-626.922 -60.8676,-626.538 -77.3322))",,POINT(-620.568 -69.3816),01030000000100000005000000068195438B2C84C0D50968226C9857C0068195438B2C84C0AA13D044D83046C0068195438B9C82C0AA13D044D83046C0068195438B9C82C0D50968226C9857C0068195438B2C84C0D50968226C9857C0,624.434503404928705,-620.568,-69.3816,96.3793691476,"POLYGON((0.669295 97.036304,0.656302 97.228159,0.654734 95.708156,0.667787 95.545443,0.669295 97.036304))",,POINT(0.662024071286817 96.3793691476465),0.662024071287,,,,,,,,,,,,3.9e-07 W / m2
3,10782,2005-07-01T12:48:00,2005-07-01T12:56:00,2005-07-01T13:05:00,C1.2,GOES,,14,-10,,UTC-HGS-TOPO,degrees,,13.5,14.5,"POLYGON((0.327033 224.823634,0.338877 226.855054,0.32801 229.12459,0.315669 227.102271,0.327033 224.823634))",,POINT(0.327301924486452 226.976621856295),"POLYGON((151.55438 -10.5,152.55438 -10.5,152.55438 -9.5,151.55438 -9.5,151.55438 -10.5))",,POINT(152.05438 -10),152.05438,-10,"POLYGON((13.5 -10.5,14.5 -10.5,14.5 -9.5,13.5 -9.5,13.5 -10.5))",,POINT(14 -10),14,-10,"POLYGON((217.4442 -218.787,233.214 -218.5812,233.9364 -202.4664,218.1186 -202.6722,217.4442 -218.787))",,POINT(225.6954 -210.6366),010300000001000000050000006E3480B740B668404694F6065FD46DC06E3480B740B668404694F6065FD466C06E3480B740B66F404694F6065FD466C06E3480B740B66F404694F6065FD46DC06E3480B740B668404694F6065FD46DC0,308.717007695915584,225.6954,-210.6366,226.976621856,"POLYGON((0.327033 224.823634,0.338877 226.855054,0.32801 229.12459,0.315669 227.102271,0.327033 224.823634))",,POINT(0.327301924486452 226.976621856295),0.327301924486,,,,,,,,,,,,1.2e-06 W / m2
4,10783,2005-07-01T14:25:00,2005-07-01T14:29:00,2005-07-01T14:31:00,B4.5,GOES,,-39,-2,,UTC-HGS-TOPO,degrees,,-39.5,-38.5,"POLYGON((0.643146 97.453443,0.629774 97.664889,0.628067 96.081759,0.641507 95.902748,0.643146 97.453443))",,POINT(0.635612611556599 96.7755558176949),"POLYGON((97.66278 -2.5,98.66278 -2.5,98.66278 -1.5,97.66278 -1.5,97.66278 -2.5))",,POINT(98.16278 -2),98.16278,-2,"POLYGON((-39.5 -2.5,-38.5 -2.5,-38.5 -1.5,-39.5 -1.5,-39.5 -2.5))",,POINT(-39 -2),-39,-2,"POLYGON((-601.5 -78.6918,-588.7056 -79.2288,-589.0686 -62.7636,-601.872 -62.2266,-601.5 -78.6918))",,POINT(-595.3332 -70.7316),0103000000010000000500000037F8C264AA6283C03B70CE88D2EE57C037F8C264AA6283C076E09C11A5DD46C037F8C264AAD281C076E09C11A5DD46C037F8C264AAD281C03B70CE88D2EE57C037F8C264AA6283C03B70CE88D2EE57C0,599.520290116022579,-595.3332,-70.7316,96.7755558177,"POLYGON((0.643146 97.453443,0.629774 97.664889,0.628067 96.081759,0.641507 95.902748,0.643146 97.453443))",,POINT(0.635612611556599 96.7755558176949),0.635612611557,,,,,,,,,,,,4.5e-07 W / m2
5,0,2005-07-01T14:36:00,2005-07-01T14:54:00,2005-07-01T15:14:00,B5.7,GOES,,-80,14,,UTC-HGS-TOPO,degrees,,-80.5,-79.5,"POLYGON((0.98583 76.802395,0.982838 76.811892,0.982814 75.793476,0.985801 75.787231,0.98583 76.802395))",,POINT(0.984353502052837 76.2992595025491),"POLYGON((56.56167 13.5,57.56167 13.5,57.56167 14.5,56.56167 14.5,56.56167 13.5))",,POINT(57.06167 14),57.06167,14,"POLYGON((-80.5 13.5,-79.5 13.5,-79.5 14.5,-80.5 14.5,-80.5 13.5))",,POINT(-80 14),-80,14,"POLYGON((-905.292 212.2944,-902.58 211.5006,-898.656 227.5038,-901.362 228.2934,-905.292 212.2944))",,POINT(-902.04 219.906),01030000000100000005000000B91E85EB51F88CC0A145B6F3FD5C6840B91E85EB51F88CC0A145B6F3FD9C6E40B91E85EB51688BC0A145B6F3FD9C6E40B91E85EB51688BC0A145B6F3FD5C6840B91E85EB51F88CC0A145B6F3FD5C6840,928.458297628924242,-902.04,219.906,76.2992595025,"POLYGON((0.98583 76.802395,0.982838 76.811892,0.982814 75.793476,0.985801 75.787231,0.98583 76.802395))",,POINT(0.984353502052837 76.2992595025491),0.984353502053,,,,,,,,,,,,5.7e-07 W / m2
6,10783,2005-07-01T16:11:00,2005-07-01T16:16:00,2005-07-01T16:18:00,B3.3,GOES,,-38,-2,,UTC-HGS-TOPO,degrees,,-38.5,-37.5,"POLYGON((0.629789 97.67482,0.616232 97.897195,0.614451 96.279777,0.628078 96.091754,0.629789 97.67482))",,POINT(0.622123168190084 96.9857521875676),"POLYGON((97.68846 -2.5,98.68846 -2.5,98.68846 -1.5,97.68846 -1.5,97.68846 -2.5))",,POINT(98.18846 -2),98.18846,-2,"POLYGON((-38.5 -2.5,-37.5 -2.5,-37.5 -1.5,-38.5 -1.5,-38.5 -2.5))",,POINT(-38 -2),-38,-2,"POLYGON((-588.705 -79.3326,-575.727 -79.86,-576.0816 -63.3942,-589.0674 -62.8674,-588.705 -79.3326))",,POINT(-582.4398 -71.3676),010300000001000000050000003FC6DCB584FB82C09D8026C2861758C03FC6DCB584FB82C03A014D840D2F47C03FC6DCB5846B81C03A014D840D2F47C03FC6DCB5846B81C09D8026C2861758C03FC6DCB584FB82C09D8026C2861758C0,586.795922748104999,-582.4398,-71.3676,96.9857521876,"POLYGON((0.629789 97.67482,0.616232 97.897195,0.614451 96.279777,0.628078 96.091754,0.629789 97.67482))",,POINT(0.622123168190084 96.9857521875676),0.62212316819,,,,,,,,,,,,3.3e-07 W / m2
7,10783,2005-07-01T18:54:00,2005-07-01T18:58:00,2005-07-01T19:02:00,B9.6,GOES,,-35,-2,,UTC-HGS-TOPO,degrees,,-35.5,-34.5,"POLYGON((0.588615 98.393868,0.574541 98.653777,0.572522 96.920963,0.586678 96.70182,0.588615 98.393868))",,POINT(0.580567177725491 97.6674790814145),"POLYGON((99.1902 -2.5,100.1902 -2.5,100.1902 -1.5,99.1902 -1.5,99.1902 -2.5))",,POINT(99.6902 -2),99.6902,-2,"POLYGON((-35.5 -2.5,-34.5 -2.5,-34.5 -1.5,-35.5 -1.5,-35.5 -2.5))",,POINT(-35 -2),-35,-2,"POLYGON((-549.2424 -81.045,-535.7448 -81.5382,-536.0748 -65.0712,-549.5808 -64.5786,-549.2424 -81.045))",,POINT(-542.7024 -73.0626),01030000000100000005000000AF25E4839EBD81C0B22E6EA3018458C0AF25E4839EBD81C0645DDC46030848C0AF25E4839E2D80C0645DDC46030848C0AF25E4839E2D80C0B22E6EA3018458C0AF25E4839EBD81C0B22E6EA3018458C0,547.598428124588395,-542.7024,-73.0626,97.6674790814,"POLYGON((0.588615 98.393868,0.574541 98.653777,0.572522 96.920963,0.586678 96.70182,0.588615 98.393868))",,POINT(0.580567177725491 97.6674790814145),0.580567177725,,,,,,,,,,,,9.6e-07 W / m2
8,10785,2005-07-02T03:08:00,2005-07-02T03:16:00,2005-07-02T03:21:00,C3.5,GOES,,-5,-18,,UTC-HGS-TOPO,degrees,,-5.5,-4.5,"POLYGON((0.379002 166.0637,0.375435 168.519858,0.359512 167.934458,0.363282 165.362618,0.379002 166.0637))",,POINT(0.369229538135424 166.970416534741),"POLYGON((124.6495 -18.5,125.6495 -18.5,125.6495 -17.5,124.6495 -17.5,124.6495 -18.5))",,POINT(125.1495 -18),125.1495,-18,"POLYGON((-5.5 -18.5,-4.5 -18.5,-4.5 -17.5,-5.5 -17.5,-5.5 -18.5))",,POINT(-5 -18),-5,-18,"POLYGON((-86.0958 -346.9542,-70.4784 -347.028,-70.881 -331.6032,-86.5878 -331.5288,-86.0958 -346.9542))",,POINT(-78.5166 -339.2934),01030000000100000005000000454772F90F115CC058CA32C4B15077C0454772F90F115CC058CA32C4B11873C08A8EE4F21F6246C058CA32C4B11873C08A8EE4F21F6246C058CA32C4B15077C0454772F90F115CC058CA32C4B15077C0,348.25977051494192,-78.5166,-339.2934,166.970416535,"POLYGON((0.379002 166.0637,0.375435 168.519858,0.359512 167.934458,0.363282 165.362618,0.379002 166.0637))",,POINT(0.369229538135424 166.970416534741),0.369229538135,,,,,,,,,,,,3.5e-06 W / m2
9,10785,2005-07-02T06:24:00,2005-07-02T06:37:00,2005-07-02T06:46:00,C2.7,GOES,,-4,-18,,UTC-HGS-TOPO,degrees,,-4.5,-3.5,"POLYGON((0.375672 168.527196,0.372791 171.02743,0.356702 170.565049,0.35975 167.942548,0.375672 168.527196))",,POINT(0.366149954669653 169.515794995407),"POLYGON((123.84793 -18.5,124.84793 -18.5,124.84793 -17.5,123.84793 -17.5,123.84793 -18.5))",,POINT(124.34793 -18),124.34793,-18,"POLYGON((-4.5 -18.5,-3.5 -18.5,-3.5 -17.5,-4.5 -17.5,-4.5 -18.5))",,POINT(-4 -18),-4,-18,"POLYGON((-70.4784 -347.256,-54.83892 -347.3154,-55.15236 -331.8918,-70.881 -331.8324,-70.4784 -347.256))",,POINT(-62.8422 -339.5886),010300000001000000050000003C2CD49AE6A557C0D066D5E76A3577C03C2CD49AE6A557C0D066D5E76A3D73C0F0B0506B9A173FC0D066D5E76A3D73C0F0B0506B9A173FC0D066D5E76A3577C03C2CD49AE6A557C0D066D5E76A3577C0,345.354251965717083,-62.8422,-339.5886,169.515794995,"POLYGON((0.375672 168.527196,0.372791 171.02743,0.356702 170.565049,0.35975 167.942548,0.375672 168.527196))",,POINT(0.366149954669653 169.515794995407),0.36614995467,,,,,,,,,,,,2.7e-06 W / m2
