,ar_noaanum,ar_mcintoshcls,search_frm_name,search_instrument,search_observatory,sharp_noaa_ars,obs_instrument,obs_lastprocessingdate,obs_levelnum,obs_meanwavel,obs_observatory,obs_title,obs_wavelunit,event_coord1,event_coord2,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r
0,11967.0,,HMI SHARP,HMI,SDO,"11967,11972,11975",HMI,,,4.99999987369e-05,SDO,,cm,-32.9012145996,-12.7215871811,-60.288848877,-15.2739429474,"POLYGON((0.870502 112.259772,0.375635 139.319068,0.265337 84.07814,0.868492 91.430931,0.870502 112.259772))",,POINT(0.548566774583697 104.132929101215),"POLYGON((83.162103 -22.270998,128.177007 -22.270998,128.177007 -4.226382,83.162103 -4.226382,83.162103 -22.270998))",,POINT(110.549735 -12.721587),110.549735,-12.721587,"POLYGON((-60.288847 -22.270998,-15.273943 -22.270998,-15.273943 -4.226382,-60.288847 -4.226382,-60.288847 -22.270998))",,POINT(-32.901215 -12.721587),-32.901215,-12.721587,"POLYGON((-784.068 -320.9268,-238.3032 -277.2396,-256.8576 26.6427,-844.986 -21.10746,-784.068 -320.9268))",,POINT(-517.7262 -130.3602),01030000000100000005000000068195438B8088C0ED9E3C2CD40E74C0B6847CD0B3C96DC0F241CF66D55371C0CB10C7BAB80D70C0A323B9FC87A43A40D9CEF753E3678AC0CFA0A17F821B35C0068195438B8088C0ED9E3C2CD40E74C0,533.885942791604066,-517.7262,-130.3602,104.132929101,"POLYGON((0.870502 112.259772,0.375635 139.319068,0.265337 84.07814,0.868492 91.430931,0.870502 112.259772))",,POINT(0.548566774583697 104.132929101215),0.548566774584
1,11968.0,,HMI SHARP,HMI,SDO,11968,HMI,,,4.99999987369e-05,SDO,,cm,-31.0070724487,10.0106372833,-43.8655662537,-20.5880851746,"POLYGON((0.706352 79.382329,0.384351 66.569522,0.567444 35.259593,0.781841 55.576383,0.706352 79.382329))",,POINT(0.572769110088221 62.7665660311135),"POLYGON((99.585383 3.140018,122.862865 3.140018,122.862865 21.888172,99.585383 21.888172,99.585383 3.140018))",,POINT(112.443878 10.010637),112.443878,10.010637,"POLYGON((-43.865567 3.140018,-20.588085 3.140018,-20.588085 21.888172,-43.865567 21.888172,-43.865567 3.140018))",,POINT(-31.007072 10.010637),-31.007072,10.010637,"POLYGON((-675.678 126.6654,-343.221 148.7418,-318.8088 450.9438,-627.666 430.152,-675.678 126.6654))",,POINT(-495.648 255.0942),010300000001000000050000008195438B6C1D85C08AB0E1E995AA5F40A8C64B37897375C088855AD3BC97624014D044D8F0EC73C0705F07CE192F7C4017D9CEF7539D83C0DF4F8D976EE27A408195438B6C1D85C08AB0E1E995AA5F40,557.440571520982871,-495.648,255.0942,62.7665660311,"POLYGON((0.706352 79.382329,0.384351 66.569522,0.567444 35.259593,0.781841 55.576383,0.706352 79.382329))",,POINT(0.572769110088221 62.7665660311135),0.572769110088
2,11969.0,,HMI SHARP,HMI,SDO,11969,HMI,,,4.99999987369e-05,SDO,,cm,16.972694397,-10.1976327896,13.2538547516,20.35820961,"POLYGON((0.248982 244.851136,0.359033 252.247217,0.34932 261.580134,0.232654 258.234887,0.248982 244.851136))",,POINT(0.298973488829521 254.867527986173),"POLYGON((156.704805 -11.887944,163.809159 -11.887944,163.809159 -8.547568,156.704805 -8.547568,156.704805 -11.887944))",,POINT(160.423644 -10.197633),160.423644,-10.197633,"POLYGON((13.253855 -11.887944,20.358209 -11.887944,20.358209 -8.547568,13.253855 -8.547568,13.253855 -11.887944))",,POINT(16.972694 -10.197633),16.972694,-10.197633,"POLYGON((219.3486 -102.9786,332.7852 -106.5432,336.3072 -49.78068,221.6712 -46.16868,219.3486 -102.9786))",,POINT(280.8828 -75.9588),0103000000010000000500000057EC2FBB276B6B4066F7E461A1BE59C01B0DE02D90CC7440FBCBEEC9C3A25AC04D158C4AEA04754015527E52EDE348C068226C787AB56B40A1BE654E971547C057EC2FBB276B6B4066F7E461A1BE59C0,290.972312485707107,280.8828,-75.9588,254.867527986,"POLYGON((0.248982 244.851136,0.359033 252.247217,0.34932 261.580134,0.232654 258.234887,0.248982 244.851136))",,POINT(0.298973488829521 254.867527986173),0.29897348883
3,11960.0,,HMI SHARP,HMI,SDO,"11958,11959,11960,11963,11964",HMI,,,4.99999987369e-05,SDO,,cm,66.2272491455,-9.90806007385,64.0811767578,68.7621078491,"POLYGON((0.896593 260.650464,0.929232 260.504232,0.929956 263.191817,0.897224 263.438329,0.896593 260.650464))",,POINT(0.912553073721845 261.817598203341),"POLYGON((-152.46787 -11.024872,-147.786938 -11.024872,-147.786938 -8.5284,-152.46787 -8.5284,-152.46787 -11.024872))",,POINT(-150.3218 -9.90806),-150.3218,-9.90806,"POLYGON((64.08118 -11.024872,68.762112 -11.024872,68.762112 -8.5284,64.08118 -8.5284,64.08118 -11.024872))",,POINT(66.22725 -9.90806),66.22725,-9.90806,"POLYGON((861.006 -141.7596,891.972 -149.1972,898.686 -107.292,867.492 -99.7842,861.006 -141.7596))",,POINT(879.09 -126.4032),01030000000100000005000000355EBA490CE88A4055C1A8A44EB861C0B29DEFA7C6DF8B40AED85F764FA662C0736891ED7C158C40A69BC420B0D25AC00E2DB29DEF1B8B407C61325530F258C0355EBA490CE88A4055C1A8A44EB861C0,888.131182354408793,879.09,-126.4032,261.817598203,"POLYGON((0.896593 260.650464,0.929232 260.504232,0.929956 263.191817,0.897224 263.438329,0.896593 260.650464))",,POINT(0.912553073721845 261.817598203341),0.912553073722
4,11965.0,,HMI SHARP,HMI,SDO,"11965,11966",HMI,,,4.99999987369e-05,SDO,,cm,51.4434127808,-15.6585702896,44.9733161926,59.4871406555,"POLYGON((0.717496 249.040818,0.86146 251.300315,0.858895 259.508415,0.706709 258.899543,0.717496 249.040818))",,POINT(0.78287325728368 254.720132752988),"POLYGON((-171.575732 -19.114282,-157.061908 -19.114282,-157.061908 -12.066752,-171.575732 -12.066752,-171.575732 -19.114282))",,POINT(-165.105637 -15.65857),-165.105637,-15.65857,"POLYGON((44.973318 -19.114282,59.487142 -19.114282,59.487142 -12.066752,44.973318 -12.066752,44.973318 -19.114282))",,POINT(51.443413 -15.65857),51.443413,-15.65857,"POLYGON((652.092 -249.7818,794.148 -268.7994,821.934 -152.2116,674.928 -132.4212,652.092 -249.7818))",,POINT(734.988 -200.7924),01030000000100000005000000DBF97E6ABC60844069006F8104396FC077BE9F1A2FD18840C286A757CACC70C0B6F3FDD478AF8940ADFA5C6DC50663C08195438B6C17854068226C787A8D60C0DBF97E6ABC60844069006F8104396FC0,761.921877912532409,734.988,-200.7924,254.720132753,"POLYGON((0.717496 249.040818,0.86146 251.300315,0.858895 259.508415,0.706709 258.899543,0.717496 249.040818))",,POINT(0.78287325728368 254.720132752988),0.782873257284
5,11967.0,,HMI SHARP,HMI,SDO,"11967,11972,11975",HMI,,,4.99999987369e-05,SDO,,cm,-30.7219543457,-12.6516723633,-57.9215774536,-13.0716428757,"POLYGON((0.851392 112.849722,0.356498 143.943895,0.228529 82.574995,0.847387 91.143754,0.851392 112.849722))",,POINT(0.517231774531369 104.615251269936),"POLYGON((83.334993 -22.53562,128.184927 -22.53562,128.184927 -4.171278,83.334993 -4.171278,83.334993 -22.53562))",,POINT(110.534616 -12.651672),110.534616,-12.651672,"POLYGON((-57.921577 -22.53562,-13.071643 -22.53562,-13.071643 -4.171278,-57.921577 -4.171278,-57.921577 -22.53562))",,POINT(-30.721954 -12.651672),-30.721954,-12.651672,"POLYGON((-763.566 -321.7536,-204.2064 -280.488,-220.5432 28.74144,-824.526 -16.4616,-763.566 -321.7536))",,POINT(-487.0896 -127.0158),010300000001000000050000004A0C022B87DC87C040A4DFBE0E1C74C09F3C2CD49A8669C02B8716D9CE8771C0FE65F7E461916BC03DF20703CFBD3C4091ED7C3F35C489C067D5E76A2B7630C04A0C022B87DC87C040A4DFBE0E1C74C0,503.377881792396579,-487.0896,-127.0158,104.61525127,"POLYGON((0.851392 112.849722,0.356498 143.943895,0.228529 82.574995,0.847387 91.143754,0.851392 112.849722))",,POINT(0.517231774531369 104.615251269936),0.517231774531
6,11960.0,,HMI SHARP,HMI,SDO,"11958,11959,11960,11963,11964",HMI,,,4.99999987369e-05,SDO,,cm,68.3387527466,-9.91599845886,66.5336990356,70.5347442627,"POLYGON((0.914442 260.70683,0.94005 260.551627,0.940679 262.831872,0.915027 263.05278,0.914442 260.70683))",,POINT(0.926797336637935 261.722958527385),"POLYGON((-152.209728 -10.916065,-148.208682 -10.916065,-148.208682 -8.772659,-152.209728 -8.772659,-152.209728 -10.916065))",,POINT(-150.40468 -9.915998),-150.40468,-9.915998,"POLYGON((66.533702 -10.916065,70.534748 -10.916065,70.534748 -8.772659,66.533702 -8.772659,66.533702 -10.916065))",,POINT(68.33875 -9.915998),68.33875,-9.915998,"POLYGON((878.268 -143.7144,902.46 -150.1842,908.328 -114.2352,883.98 -107.7126,878.268 -143.7144))",,POINT(892.578 -129.8478),01030000000100000005000000A01A2FDD24728B406688635DDCF661C048E17A14AE338C408BFD65F7E4C562C0B4C876BE9F628C403B014D840D8F5CC0A4703D0AD79F8B404BC8073D9BED5AC0A01A2FDD24728B406688635DDCF661C0,901.973357283262544,892.578,-129.8478,261.722958527,"POLYGON((0.914442 260.70683,0.94005 260.551627,0.940679 262.831872,0.915027 263.05278,0.914442 260.70683))",,POINT(0.926797336637935 261.722958527385),0.926797336638
7,11968.0,,HMI SHARP,HMI,SDO,11968,HMI,,,4.99999987369e-05,SDO,,cm,-28.8989162445,9.90884876251,-41.7460021973,-18.2565460205,"POLYGON((0.680406 78.657181,0.350478 63.692544,0.54828 32.173094,0.762446 54.400963,0.680406 78.657181))",,POINT(0.545287967232056 61.2247727127227),"POLYGON((99.510569 3.190291,123.000023 3.190291,123.000023 21.838083,99.510569 21.838083,99.510569 3.190291))",,POINT(112.357654 9.908849),112.357654,9.908849,"POLYGON((-41.746001 3.190291,-18.256547 3.190291,-18.256547 21.838083,-41.746001 21.838083,-41.746001 3.190291))",,POINT(-28.898916 9.908849),-28.898916,9.908849,"POLYGON((-649.248 130.2372,-305.763 151.167,-284.1276 451.6572,-603.348 431.9394,-649.248 130.2372))",,POINT(-465.1512 255.4572),01030000000100000005000000448B6CE7FB4984C08F5374249747604091ED7C3F351C73C0D34D621058E56240832F4CA60AC271C0E6AE25E4833A7C40105839B4C8DA82C0CC5D4BC807FF7A40448B6CE7FB4984C08F53742497476040,530.682598069015285,-465.1512,255.4572,61.2247727127,"POLYGON((0.680406 78.657181,0.350478 63.692544,0.54828 32.173094,0.762446 54.400963,0.680406 78.657181))",,POINT(0.545287967232056 61.2247727127227),0.545287967232
8,11965.0,,HMI SHARP,HMI,SDO,"11965,11966",HMI,,,4.99999987369e-05,SDO,,cm,53.7407112122,-15.796831131,47.3098754883,61.0156669617,"POLYGON((0.7436 249.466606,0.874002 251.33073,0.871972 259.458499,0.734403 259.026681,0.7436 249.466606))",,POINT(0.806376107957377 254.777376804651),"POLYGON((-171.433553 -19.199218,-157.727761 -19.199218,-157.727761 -12.117638,-171.433553 -12.117638,-171.433553 -19.199218))",,POINT(-165.00272 -15.796831),-165.00272,-15.796831,"POLYGON((47.309877 -19.199218,61.015669 -19.199218,61.015669 -12.117638,47.309877 -12.117638,47.309877 -19.199218))",,POINT(53.74071 -15.796831),53.74071,-15.796831,"POLYGON((677.706 -253.8342,805.836 -272.2788,834.294 -155.2524,701.664 -136.0506,677.706 -253.8342))",,POINT(757.242 -206.0592),01030000000100000005000000CFF753E3A52D854058CA32C4B1BA6FC0A69BC420B02E8940FF21FDF6750471C03108AC1C5A128A4055302AA9136863C05A643BDF4FED8540AF25E4839E0161C0CFF753E3A52D854058CA32C4B1BA6FC0,784.777573882332604,757.242,-206.0592,254.777376805,"POLYGON((0.7436 249.466606,0.874002 251.33073,0.871972 259.458499,0.734403 259.026681,0.7436 249.466606))",,POINT(0.806376107957377 254.777376804651),0.806376107957
9,11969.0,,HMI SHARP,HMI,SDO,11969,HMI,,,4.99999987369e-05,SDO,,cm,19.25664711,-10.1968326569,15.5142860413,22.6864204407,"POLYGON((0.283652 247.972705,0.394879 253.738199,0.386626 262.250115,0.270012 259.784354,0.283652 247.972705))",,POINT(0.335504035637836 256.361371506525),"POLYGON((156.770856 -11.874929,163.94299 -11.874929,163.94299 -8.526823,156.770856 -8.526823,156.770856 -11.874929))",,POINT(160.513217 -10.196833),160.513217,-10.196833,"POLYGON((15.514286 -11.874929,22.68642 -11.874929,22.68642 -8.526823,15.514286 -8.526823,15.514286 -11.874929))",,POINT(19.256647 -10.196833),19.256647,-10.196833,"POLYGON((255.9036 -103.5336,368.9268 -107.6148,372.834 -50.73972,258.6138 -46.60488,255.9036 -103.5336))",,POINT(317.3106 -76.992),010300000001000000050000004D158C4AEAFC6F4052499D8026E259C0ED9E3C2CD40E77402C6519E258E75AC0D34D6210584D77403B191C25AF5E49C08FE4F21FD2297040930035B56C4D47C04D158C4AEAFC6F4052499D8026E259C0,326.517664049527298,317.3106,-76.992,256.361371507,"POLYGON((0.283652 247.972705,0.394879 253.738199,0.386626 262.250115,0.270012 259.784354,0.283652 247.972705))",,POINT(0.335504035637836 256.361371506525),0.335504035638
