,ar_noaanum,ar_mcintoshcls,search_frm_name,search_instrument,search_observatory,sharp_noaa_ars,obs_instrument,obs_lastprocessingdate,obs_levelnum,obs_meanwavel,obs_observatory,obs_title,obs_wavelunit,event_coord1,event_coord2,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r
0,12373.0,,HMI SHARP,HMI,SDO,"12373,12376,12380",HMI,,,4.99999987369e-05,SDO,,cm,-45.6147155762,14.5490760803,-72.2221069336,-23.5874652863,"POLYGON((0.952492 82.908214,0.407954 77.507083,0.495666 48.957327,0.954738 68.339719,0.952492 82.908214))",,POINT(0.727535483811623 72.5165473515002),"POLYGON((113.145875 7.605261,161.780515 7.605261,161.780515 21.481631,113.145875 21.481631,113.145875 7.605261))",,POINT(139.753264 14.549076),139.753264,14.549076,"POLYGON((-72.222105 7.605261,-23.587465 7.605261,-23.587465 21.481631,-72.222105 21.481631,-72.222105 7.605261))",,POINT(-45.614716 14.549076),-45.614716,14.549076,"POLYGON((-891.606 110.9256,-375.7092 83.244,-352.6422 307.0086,-837.006 332.4132,-891.606 110.9256))",,POINT(-654.576 206.1792),01030000000100000005000000022B8716D9DC8BC05E4BC8073DBB5B402C6519E2587B77C0560E2DB29DCF5440DCD78173460A76C0EEEBC03923307340355EBA490C288AC0516B9A779CC67440022B8716D9DC8BC05E4BC8073DBB5B40,686.279536550988723,-654.576,206.1792,72.5165473515,"POLYGON((0.952492 82.908214,0.407954 77.507083,0.495666 48.957327,0.954738 68.339719,0.952492 82.908214))",,POINT(0.727535483811623 72.5165473515002),0.727535483812
1,12375.0,,HMI SHARP,HMI,SDO,12375,HMI,,,4.99999987369e-05,SDO,,cm,-59.6966209412,-10.430644989,-64.0016555786,-55.4550323486,"POLYGON((0.913557 107.724094,0.847072 109.614771,0.833897 100.965422,0.905708 99.680106,0.913557 107.724094))",,POINT(0.875456486457314 103.575639211906),"POLYGON((121.366324 -14.906152,129.912948 -14.906152,129.912948 -7.524538,121.366324 -7.524538,121.366324 -14.906152))",,POINT(125.67136 -10.430645),125.67136,-10.430645,"POLYGON((-64.001656 -14.906152,-55.455032 -14.906152,-55.455032 -7.524538,-64.001656 -7.524538,-64.001656 -14.906152))",,POINT(-59.69662 -10.430645),-59.69662,-10.430645,"POLYGON((-820.848 -262.3464,-752.67 -268.2324,-772.248 -149.6262,-842.184 -143.6562,-820.848 -262.3464))",,POINT(-802.74 -193.842),01030000000100000005000000105839B4C8A689C05AF5B9DA8A6570C08FC2F5285C8587C072F90FE9B7C370C0448B6CE7FB2188C02B1895D409B462C0B6F3FDD478518AC054742497FFF461C0105839B4C8A689C05AF5B9DA8A6570C0,825.812465735411365,-802.74,-193.842,103.575639212,"POLYGON((0.913557 107.724094,0.847072 109.614771,0.833897 100.965422,0.905708 99.680106,0.913557 107.724094))",,POINT(0.875456486457314 103.575639211906),0.875456486457
2,12373.0,,HMI SHARP,HMI,SDO,"12373,12376,12380",HMI,,,4.99999987369e-05,SDO,,cm,-43.6335830688,14.5480060577,-70.149597168,-21.3948040009,"POLYGON((0.940934 83.088459,0.372978 76.888181,0.47079 46.375034,0.944173 68.172142,0.940934 83.088459))",,POINT(0.704422171521521 72.0410805532607),"POLYGON((113.012334 7.454547,161.767126 7.454547,161.767126 21.498669,113.012334 21.498669,113.012334 7.454547))",,POINT(139.528347 14.548006),139.528347,14.548006,"POLYGON((-70.149596 7.454547,-21.394804 7.454547,-21.394804 21.498669,-70.149596 21.498669,-70.149596 7.454547))",,POINT(-43.633583 14.548006),-43.633583,14.548006,"POLYGON((-881.124 106.8078,-342.654 79.8126,-321.465 306.3942,-826.776 331.1532,-881.124 106.8078))",,POINT(-632.1 204.8808),01030000000100000005000000A245B6F3FD888BC05D6DC5FEB2B35A405839B4C8766A75C0B22E6EA301F453403D0AD7A3701774C055C1A8A44E26734091ED7C3F35D689C0F5DBD78173B27440A245B6F3FD888BC05D6DC5FEB2B35A40,664.474643766517261,-632.1,204.8808,72.0410805533,"POLYGON((0.940934 83.088459,0.372978 76.888181,0.47079 46.375034,0.944173 68.172142,0.940934 83.088459))",,POINT(0.704422171521521 72.0410805532607),0.704422171522
3,12375.0,,HMI SHARP,HMI,SDO,12375,HMI,,,4.99999987369e-05,SDO,,cm,-57.4904403687,-10.5009336472,-61.7468605042,-52.9933700562,"POLYGON((0.897945 108.333441,0.825318 110.47664,0.809781 101.340692,0.888529 99.907165,0.897945 108.333441))",,POINT(0.856901134582146 104.080763430215),"POLYGON((121.415068 -15.054535,130.168558 -15.054535,130.168558 -7.449833,121.415068 -7.449833,121.415068 -15.054535))",,POINT(125.67149 -10.500934),125.67149,-10.500934,"POLYGON((-61.746862 -15.054535,-52.993372 -15.054535,-52.993372 -7.449833,-61.746862 -7.449833,-61.746862 -15.054535))",,POINT(-57.49044 -10.500934),-57.49044,-10.500934,"POLYGON((-804.03 -266.4282,-729.324 -272.3442,-748.944 -150.207,-825.642 -144.204,-804.03 -266.4282))",,POINT(-784.02 -196.6524),010300000001000000050000000AD7A3703D2089C05B423EE8D9A670C03BDF4F8D97CA86C088F4DBD7810571C0643BDF4F8D6787C0B4C876BE9FC662C04260E5D022CD89C04A0C022B870662C00AD7A3703D2089C05B423EE8D9A670C0,808.306579724401331,-784.02,-196.6524,104.08076343,"POLYGON((0.897945 108.333441,0.825318 110.47664,0.809781 101.340692,0.888529 99.907165,0.897945 108.333441))",,POINT(0.856901134582146 104.080763430215),0.856901134582
4,12373.0,CAO,SWPC,nil,nil,,various,,,4.99999987369e-05,various,,cm,-41.0,15.0,-46.0,-36.0,"POLYGON((0.732594 72.154058,0.610782 68.970564,0.611541 68.643993,0.733038 71.876344,0.732594 72.154058))",,POINT(0.673987240552005 70.6362310688225),"POLYGON((137.16193 14.896868,147.16193 14.896868,147.16193 15.103132,137.16193 15.103132,137.16193 14.896868))",,POINT(142.16193 15),142.16193,15.0,"POLYGON((-46 14.896868,-36 14.896868,-36 15.103132,-46 15.103132,-46 14.896868))",,POINT(-41 15),-41.0,15.0,"POLYGON((-657.798 211.7778,-537.771 206.748,-537.2514 210.0708,-657.162 215.094,-657.798 211.7778))",,POINT(-599.802 210.7974),01030000000100000005000000AAF1D24D628E84C0865AD3BCE3786A40BA490C022BCE80C00E2DB29DEFD76940B7D100DE02CA80C0D1915CFE43426A409EEFA7C64B8984C05EBA490C02E36A40AAF1D24D628E84C0865AD3BCE3786A40,635.765666775707587,-599.802,210.7974,70.6362310688,"POLYGON((0.732594 72.154058,0.610782 68.970564,0.611541 68.643993,0.733038 71.876344,0.732594 72.154058))",,POINT(0.673987240552005 70.6362310688225),0.673987240552
5,12376.0,EAO,SWPC,nil,nil,,various,,,4.99999987369e-05,various,,cm,-57.0,13.0,-63.0,-51.0,"POLYGON((0.893389 76.937948,0.783955 75.69866,0.784177 75.480352,0.89347 76.745499,0.893389 76.937948))",,POINT(0.8430542067956 76.3385388338599),"POLYGON((120.16193 12.914057,132.16193 12.914057,132.16193 13.085943,120.16193 13.085943,120.16193 12.914057))",,POINT(126.16193 13),126.16193,13.0,"POLYGON((-63 12.914057,-51 12.914057,-51 13.085943,-63 13.085943,-63 12.914057))",,POINT(-57 13),-57.0,13.0,"POLYGON((-820.92 190.461,-716.58 182.6718,-716.082 185.4534,-820.35 193.2348,-820.92 190.461))",,POINT(-772.746 187.8246),010300000001000000050000008FC2F5285CA789C0986E1283C0CE6740713D0AD7A36486C07DAEB6627FD566402DB29DEFA76086C03480B740822E6740CDCCCCCCCCA289C03A234A7B832768408FC2F5285CA789C0986E1283C0CE6740,795.244906227735555,-772.746,187.8246,76.3385388339,"POLYGON((0.893389 76.937948,0.783955 75.69866,0.784177 75.480352,0.89347 76.745499,0.893389 76.937948))",,POINT(0.8430542067956 76.3385388338599),0.843054206796
6,12375.0,HAX,SWPC,nil,nil,,various,,,4.99999987369e-05,various,,cm,-56.0,-10.0,-57.0,-55.0,"POLYGON((0.852365 104.016022,0.834163 104.429623,0.832918 103.575185,0.851251 103.178592,0.852365 104.016022))",,POINT(0.842785473898027 103.796196569103),"POLYGON((126.16193 -10.360964,128.16193 -10.360964,128.16193 -9.639036,126.16193 -9.639036,126.16193 -10.360964))",,POINT(127.16193 -10),127.16193,-10.0,"POLYGON((-57 -10.360964,-55 -10.360964,-55 -9.639036,-57 -9.639036,-57 -10.360964))",,POINT(-56 -10),-56.0,-10.0,"POLYGON((-780.09 -194.73,-762.036 -196.0776,-763.734 -184.4166,-781.83 -183.0684,-780.09 -194.73))",,POINT(-772.056 -189.5808),010300000001000000050000001F85EB51B86088C08FC2F5285C5768C03F355EBA49D087C06DC5FEB27B8268C01D5A643BDFDD87C06FF085C9540D67C0713D0AD7A36E88C07C61325530E266C01F85EB51B86088C08FC2F5285C5768C0,794.991413076040658,-772.056,-189.5808,103.796196569,"POLYGON((0.852365 104.016022,0.834163 104.429623,0.832918 103.575185,0.851251 103.178592,0.852365 104.016022))",,POINT(0.842785473898027 103.796196569103),0.842785473898
7,12373.0,,HMI SHARP,HMI,SDO,"12373,12376,12380",HMI,,,4.99999987369e-05,SDO,,cm,-41.8382606506,14.5835037231,-67.9412002563,-18.7286605835,"POLYGON((0.927277 83.385244,0.329541 76.138719,0.447754 41.853436,0.932112 67.352501,0.927277 83.385244))",,POINT(0.68296213732892 71.5117612066512),"POLYGON((113.01469 7.192262,162.22723 7.192262,162.22723 22.084658,113.01469 22.084658,113.01469 7.192262))",,POINT(139.11763 14.583504),139.11763,14.583504,"POLYGON((-67.9412 7.192262,-18.72866 7.192262,-18.72866 22.084658,-67.9412 22.084658,-67.9412 7.192262))",,POINT(-41.83826 14.583504),-41.83826,14.583504,"POLYGON((-868.866 100.758,-301.7994 74.4714,-281.8104 314.5968,-811.452 338.5644,-868.866 100.758))",,POINT(-610.98 204.2916),01030000000100000005000000B0726891ED268BC08D976E1283305940C286A757CADC72C067D5E76A2B9E5240DB8AFD65F79C71C00B24287E8CA97340560E2DB29D5B89C0CC5D4BC807297540B0726891ED268BC08D976E1283305940,644.22947637511902,-610.98,204.2916,71.5117612067,"POLYGON((0.927277 83.385244,0.329541 76.138719,0.447754 41.853436,0.932112 67.352501,0.927277 83.385244))",,POINT(0.68296213732892 71.5117612066512),0.682962137329
8,12375.0,,HMI SHARP,HMI,SDO,12375,HMI,,,4.99999987369e-05,SDO,,cm,-55.2370147705,-10.5002317429,-59.4756393433,-50.7172317505,"POLYGON((0.880746 108.788133,0.803721 111.136405,0.786235 101.739784,0.869891 100.178921,0.880746 108.788133))",,POINT(0.836654488596357 104.554831971985),"POLYGON((121.48025 -15.017373,130.238658 -15.017373,130.238658 -7.391153,121.48025 -7.391153,121.48025 -15.017373))",,POINT(125.718875 -10.500232),125.718875,-10.500232,"POLYGON((-59.47564 -15.017373,-50.717232 -15.017373,-50.717232 -7.391153,-59.47564 -7.391153,-59.47564 -15.017373))",,POINT(-55.237015 -10.500232),-55.237015,-10.500232,"POLYGON((-786.528 -267.5742,-707.136 -273.3774,-726.132 -150.9006,-807.642 -145.011,-786.528 -267.5742))",,POINT(-763.878 -198.3324),010300000001000000050000004E621058399488C0D0D556EC2FB970C00C022B87161986C02B1895D4091671C0931804560EB186C0E25817B7D1DC62C04260E5D0223D89C03108AC1C5A2062C04E621058399488C0D0D556EC2FB970C0,789.205511748213667,-763.878,-198.3324,104.554831972,"POLYGON((0.880746 108.788133,0.803721 111.136405,0.786235 101.739784,0.869891 100.178921,0.880746 108.788133))",,POINT(0.836654488596357 104.554831971985),0.836654488596
9,12373.0,,HMI SHARP,HMI,SDO,"12373,12376,12380",HMI,,,4.99999987369e-05,SDO,,cm,-39.9262084961,14.5385360718,-65.6114959717,-15.8292179108,"POLYGON((0.911374 83.654346,0.281781 74.828358,0.422675 36.794866,0.918127 66.712235,0.911374 83.654346))",,POINT(0.659282831723934 71.0098545326274),"POLYGON((113.138356 6.954353,162.920632 6.954353,162.920632 22.443531,113.138356 22.443531,113.138356 6.954353))",,POINT(138.82364 14.538536),138.82364,14.538536,"POLYGON((-65.611494 6.954353,-15.829218 6.954353,-15.829218 22.443531,-65.611494 22.443531,-65.611494 6.954353))",,POINT(-39.92621 14.538536),-39.92621,14.538536,"POLYGON((-854.418 95.0178,-256.5354 69.5628,-238.8036 319.275,-795.498 342.3942,-854.418 95.0178))",,POINT(-588.0444 202.3668),01030000000100000005000000D34D621058B38AC09A779CA223C15740742497FF900870C0158C4AEA0464514019E25817B7D96DC06666666666F47340448B6CE7FBDB88C055C1A8A44E667540D34D621058B38AC09A779CA223C15740,621.891098274931096,-588.0444,202.3668,71.0098545326,"POLYGON((0.911374 83.654346,0.281781 74.828358,0.422675 36.794866,0.918127 66.712235,0.911374 83.654346))",,POINT(0.659282831723934 71.0098545326274),0.659282831724
