,end_time,event_date,goes_class,goes_location,noaa_active_region,peak_time,start_time,flux
41,2015-11-04 10:35:00,2015-11-04,C1.1,"(0, 0)",12443,2015-11-04 10:32:00,2015-11-04 10:28:00,1.1e-06 W / m2
42,2015-11-04 12:06:00,2015-11-04,M2.5,"(0, 0)",12445,2015-11-04 12:03:00,2015-11-04 11:55:00,2.5e-05 W / m2
43,2015-11-04 14:13:00,2015-11-04,M3.7,"(0, 0)",12443,2015-11-04 13:52:00,2015-11-04 13:31:00,3.7e-05 W / m2
44,2015-11-04 22:58:00,2015-11-04,C1.0,"(0, 0)",12448,2015-11-04 22:53:00,2015-11-04 22:48:00,1e-06 W / m2
45,2015-11-05 20:26:00,2015-11-05,B7.5,"(0, 0)",12443,2015-11-05 20:09:00,2015-11-05 19:57:00,7.5e-07 W / m2
46,2015-11-06 09:25:00,2015-11-06,C1.0,"(0, 0)",12448,2015-11-06 09:19:00,2015-11-06 09:00:00,1e-06 W / m2
47,2015-11-06 09:46:00,2015-11-06,C1.1,"(0, 0)",0,2015-11-06 09:42:00,2015-11-06 09:40:00,1.1e-06 W / m2
48,2015-11-06 14:54:00,2015-11-06,C1.8,"(-88, -14)",12449,2015-11-06 14:46:00,2015-11-06 14:35:00,1.8e-06 W / m2
49,2015-11-06 18:21:00,2015-11-06,C4.4,"(-77, -13)",12449,2015-11-06 18:11:00,2015-11-06 18:04:00,4.4e-06 W / m2
50,2015-11-06 22:00:00,2015-11-06,C1.4,"(-75, -12)",12449,2015-11-06 21:49:00,2015-11-06 21:42:00,1.4e-06 W / m2
51,2015-11-06 23:22:00,2015-11-06,C1.6,"(65, 16)",12446,2015-11-06 23:13:00,2015-11-06 22:52:00,1.6e-06 W / m2
52,2015-11-07 00:03:00,2015-11-06,B8.5,"(0, 0)",0,2015-11-06 23:57:00,2015-11-06 23:53:00,8.5e-07 W / m2
53,2015-11-07 00:29:00,2015-11-07,C3.0,"(-51, 5)",12448,2015-11-07 00:21:00,2015-11-07 00:15:00,3e-06 W / m2
54,2015-11-07 04:44:00,2015-11-07,C1.5,"(-72, -13)",12449,2015-11-07 04:40:00,2015-11-07 04:35:00,1.5e-06 W / m2
55,2015-11-07 05:42:00,2015-11-07,C2.4,"(0, 0)",12450,2015-11-07 05:32:00,2015-11-07 05:23:00,2.4e-06 W / m2
56,2015-11-07 23:47:00,2015-11-07,C2.5,"(-66, -18)",12449,2015-11-07 23:21:00,2015-11-07 22:59:00,2.5e-06 W / m2
57,2015-11-08 02:38:00,2015-11-08,B5.6,"(0, 0)",12449,2015-11-08 02:35:00,2015-11-08 02:32:00,5.6e-07 W / m2
58,2015-11-09 13:28:00,2015-11-09,M3.9,"(-41, -11)",12449,2015-11-09 13:12:00,2015-11-09 12:49:00,3.9e-05 W / m2
59,2015-11-09 16:35:00,2015-11-09,C1.3,"(0, 0)",12443,2015-11-09 16:33:00,2015-11-09 16:30:00,1.3e-06 W / m2
60,2015-11-10 01:45:00,2015-11-10,B6.8,"(0, 0)",0,2015-11-10 01:25:00,2015-11-10 01:19:00,6.8e-07 W / m2
61,2015-11-10 02:02:00,2015-11-10,C1.1,"(0, 0)",12443,2015-11-10 01:59:00,2015-11-10 01:54:00,1.1e-06 W / m2
62,2015-11-10 03:54:00,2015-11-10,B6.7,"(-32, -14)",12449,2015-11-10 03:28:00,2015-11-10 03:23:00,6.7e-07 W / m2
63,2015-11-10 07:42:00,2015-11-10,B8.6,"(0, 0)",12443,2015-11-10 07:39:00,2015-11-10 07:33:00,8.6e-07 W / m2
64,2015-11-10 14:24:00,2015-11-10,C3.7,"(0, 0)",12443,2015-11-10 14:11:00,2015-11-10 14:00:00,3.7e-06 W / m2
65,2015-11-10 16:16:00,2015-11-10,B6.0,"(0, 0)",0,2015-11-10 16:12:00,2015-11-10 16:08:00,6e-07 W / m2
66,2015-11-10 17:05:00,2015-11-10,C2.7,"(0, 0)",0,2015-11-10 16:54:00,2015-11-10 16:45:00,2.7e-06 W / m2
