,ar_noaanum,ar_mcintoshcls,search_frm_name,search_instrument,search_observatory,sharp_noaa_ars,obs_instrument,obs_lastprocessingdate,obs_levelnum,obs_meanwavel,obs_observatory,obs_title,obs_wavelunit,event_coord1,event_coord2,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r
0,11621.0,,HMI SHARP,HMI,SDO,11621,HMI,,,4.99999987369e-05,SDO,,cm,-0.701893985271,15.4908752441,-12.4500999451,6.18028831482,"POLYGON((0.291537 46.524096,0.226501 332.195559,0.339106 342.520788,0.382568 32.215825,0.291537 46.524096))",,POINT(0.254201841477753 2.67397961082556),"POLYGON((2.983566 12.348396,21.613954 12.348396,21.613954 19.629372,2.983566 19.629372,2.983566 12.348396))",,POINT(14.731772 15.490875),14.731772,15.490875,"POLYGON((-12.4501 12.348396,6.180288 12.348396,6.180288 19.629372,-12.4501 19.629372,-12.4501 12.348396))",,POINT(-0.701894 15.490875),-0.701894,15.490875,"POLYGON((-205.7514 195.0864,102.753 194.8518,99.0582 314.5704,-198.3534 314.787,-205.7514 195.0864))",,POINT(-11.53374 246.9558),01030000000100000005000000DC4603780BB869C0FBCBEEC9C3626840D578E92631B0594073D712F2415B684024287E8CB9C35840371AC05B20A97340014D840D4FCB68C03BDF4F8D97AC7340DC4603780BB869C0FBCBEEC9C3626840,247.224987232333746,-11.53374,246.9558,2.67397961083,"POLYGON((0.291537 46.524096,0.226501 332.195559,0.339106 342.520788,0.382568 32.215825,0.291537 46.524096))",,POINT(0.254201841477753 2.67397961082556),0.254201841478
1,11622.0,,HMI SHARP,HMI,SDO,11622,HMI,,,4.99999987369e-05,SDO,,cm,34.5717468262,-29.0135478973,32.5532035828,36.1084480286,"POLYGON((0.692364 222.575429,0.722863 225.203418,0.710562 227.261826,0.678364 224.631397,0.692364 222.575429))",,POINT(0.703726880378924 225.033777042171),"POLYGON((47.98687 -29.822492,51.542114 -29.822492,51.542114 -28.040178,47.98687 -28.040178,47.98687 -29.822492))",,POINT(50.005413 -29.013548),50.005413,-29.013548,"POLYGON((32.553204 -29.822492,36.108448 -29.822492,36.108448 -28.040178,32.553204 -28.040178,32.553204 -29.822492))",,POINT(34.571747 -29.013548),34.571747,-29.013548,"POLYGON((455.5692 -495.8544,498.8742 -495.3444,507.5574 -468.987,463.5 -469.5024,455.5692 -495.8544))",,POINT(484.2378 -483.6672),01030000000100000005000000228E75711B797C403D9B559FABFD7EC09CA223B9FC2D7F40E10B93A982F57EC0A52C431CEBB87F406F1283C0CA4F7DC00000000000F87C402B1895D409587DC0228E75711B797C403D9B559FABFD7EC0,684.412307972818439,484.2378,-483.6672,225.033777042,"POLYGON((0.692364 222.575429,0.722863 225.203418,0.710562 227.261826,0.678364 224.631397,0.692364 222.575429))",,POINT(0.703726880378924 225.033777042171),0.703726880379
2,11623.0,,HMI SHARP,HMI,SDO,"11623,11625",HMI,,,4.99999987369e-05,SDO,,cm,-35.1696090698,10.0379858017,-43.3576431274,-28.3452777863,"POLYGON((0.690319 84.027418,0.480214 81.665221,0.533249 58.913911,0.715805 67.205666,0.690319 84.027418))",,POINT(0.592215894558446 74.0272780057021),"POLYGON((-27.923977 4.723016,-12.911611 4.723016,-12.911611 16.66432,-27.923977 16.66432,-27.923977 4.723016))",,POINT(-19.735944 10.037986),-19.735944,10.037986,"POLYGON((-43.357643 4.723016,-28.345277 4.723016,-28.345277 16.66432,-43.357643 16.66432,-43.357643 4.723016))",,POINT(-35.16961 10.037986),-35.16961,10.037986,"POLYGON((-667.728 69.858,-462.1014 67.6998,-444.1368 267.7734,-641.79 269.709,-667.728 69.858))",,POINT(-553.7256 158.493),01030000000100000005000000E7FBA9F1D2DD84C0F4FDD478E9765140083D9B559FE17CC0696FF085C9EC50407C61325530C27BC09FABADD85FBC7040B81E85EB510E84C0D34D621058DB7040E7FBA9F1D2DD84C0F4FDD478E9765140,575.961866050487743,-553.7256,158.493,74.0272780057,"POLYGON((0.690319 84.027418,0.480214 81.665221,0.533249 58.913911,0.715805 67.205666,0.690319 84.027418))",,POINT(0.592215894558446 74.0272780057021),0.592215894558
3,11620.0,,HMI SHARP,HMI,SDO,11620,HMI,,,4.99999987369e-05,SDO,,cm,80.2375717163,-13.9964532852,73.3608627319,89.7525177002,"POLYGON((0.964325 251.88486,1.000001 252.814972,1.000006 259.630601,0.961565 258.946865,0.964325 251.88486))",,POINT(0.9877161845885 255.670208560046),"POLYGON((88.794529 -17.183211,105.186183 -17.183211,105.186183 -10.366793,88.794529 -10.366793,88.794529 -17.183211))",,POINT(95.671236 -13.996453),95.671236,-13.996453,"POLYGON((73.360863 -17.183211,89.752517 -17.183211,89.752517 -10.366793,73.360863 -10.366793,73.360863 -17.183211))",,POINT(80.23757 -13.996453),80.23757,-13.996453,"POLYGON((891.372 -291.606,929.136 -287.3496,956.676 -175.0548,917.826 -179.2908,891.372 -291.606))",,POINT(930.72 -237.753),01030000000100000005000000E5D022DBF9DA8B4004560E2DB23972C00C022B8716098D40E86A2BF697F571C0C520B07268E58D4044FAEDEBC0E165C0F853E3A59BAE8C40A835CD3B4E6966C0E5D022DBF9DA8B4004560E2DB23972C0,960.607207660342283,930.72,-237.753,255.67020856,"POLYGON((0.964325 251.88486,1.000001 252.814972,1.000006 259.630601,0.961565 258.946865,0.964325 251.88486))",,POINT(0.9877161845885 255.670208560046),0.987716184588
4,11621.0,CSO,SWPC,nil,nil,,various,,,5e-05,various,,cm,2.0,15.0,0.5,3.5,"POLYGON((0.238724 357.963292,0.245868 346.030865,0.259446 346.827638,0.252737 358.083709,0.238724 357.963292))",,POINT(0.24792154595215 352.149024928062),"POLYGON((15.933666 14.58747,18.933666 14.58747,18.933666 15.41253,15.933666 15.41253,15.933666 14.58747))",,POINT(17.433666 15),17.433666,15.0,"POLYGON((0.5 14.58747,3.5 14.58747,3.5 15.41253,0.5 15.41253,0.5 14.58747))",,POINT(2 15),2.0,15.0,"POLYGON((8.25132 232.0248,57.72336 232.0482,57.50016 245.6862,8.2194 245.6628,8.25132 232.0248))",,POINT(32.93586 238.857),0103000000010000000500000054A9D903AD8020401B9E5E29CB006D40069E7B0F97DC4C405AF5B9DA8A016D4039622D3E05C04C407DD0B359F5B56E401C7C6132557020403E7958A835B56E4054A9D903AD8020401B9E5E29CB006D40,241.117061451361394,32.93586,238.857,352.149024928,"POLYGON((0.238724 357.963292,0.245868 346.030865,0.259446 346.827638,0.252737 358.083709,0.238724 357.963292))",,POINT(0.24792154595215 352.149024928062),0.247921545952
5,11620.0,EAI,SWPC,nil,nil,,various,,,5e-05,various,,cm,81.0,-13.0,73.5,88.5,"POLYGON((0.963197 256.097213,0.999859 256.852103,0.99986 257.099663,0.963105 256.353733,0.963197 256.097213))",,POINT(0.989521344235377 256.717307356281),"POLYGON((88.933666 -13.12376,103.933666 -13.12376,103.933666 -12.87624,88.933666 -12.87624,88.933666 -13.12376))",,POINT(96.433666 -13),96.433666,-13.0,"POLYGON((73.5 -13.12376,88.5 -13.12376,88.5 -12.87624,73.5 -12.87624,73.5 -13.12376))",,POINT(81 -13),81.0,-13.0,"POLYGON((909.318 -225.0804,946.926 -221.1912,947.874 -217.098,910.23 -220.986,909.318 -225.0804))",,POINT(936.618 -221.1084),01030000000100000005000000068195438B6A8C40265305A392226CC0C520B07268978D40D95F764F1EA66BC0A245B6F3FD9E8D404260E5D022236BC0A4703D0AD7718C40643BDF4F8D9F6BC0068195438B6A8C40265305A392226CC0,962.362822678931252,936.618,-221.1084,256.717307356,"POLYGON((0.963197 256.097213,0.999859 256.852103,0.99986 257.099663,0.963105 256.353733,0.963197 256.097213))",,POINT(0.989521344235377 256.717307356281),0.989521344235
6,11623.0,DAO,SWPC,nil,nil,,various,,,5e-05,various,,cm,-35.0,8.0,-39.0,-31.0,"POLYGON((0.637954 78.83709,0.526828 76.56852,0.528433 75.558764,0.639027 77.995228,0.637954 78.83709))",,POINT(0.584290891691031 77.3840321400463),"POLYGON((-23.566334 7.729278,-15.566334 7.729278,-15.566334 8.270722,-23.566334 8.270722,-23.566334 7.729278))",,POINT(-19.566334 8),-19.566334,8.0,"POLYGON((-39 7.729278,-31 7.729278,-31 8.270722,-39 8.270722,-39 7.729278))",,POINT(-35 8),-35.0,8.0,"POLYGON((-608.706 120.1176,-498.3546 119.0142,-497.691 128.1672,-607.896 129.2652,-608.706 120.1176))",,POINT(-554.5344 124.1154),01030000000100000005000000CFF753E3A50583C09D8026C286075E4096B20C71AC257FC09BE61DA7E8C05D40931804560E1B7FC0857CD0B359056040BA490C022BFF82C0C6DCB5847C286040CFF753E3A50583C09D8026C286075E40,568.25437376277182,-554.5344,124.1154,77.38403214,"POLYGON((0.637954 78.83709,0.526828 76.56852,0.528433 75.558764,0.639027 77.995228,0.637954 78.83709))",,POINT(0.584290891691031 77.3840321400463),0.584290891691
7,11625.0,DAO,SWPC,nil,nil,,various,,,5e-05,various,,cm,-36.0,14.0,-40.0,-32.0,"POLYGON((0.666764 69.968304,0.564415 66.252477,0.566308 65.606313,0.668056 69.406166,0.666764 69.968304))",,POINT(0.61734950700649 68.0148734666137),"POLYGON((-24.566334 13.806626,-16.566334 13.806626,-16.566334 14.193374,-24.566334 14.193374,-24.566334 13.806626))",,POINT(-20.566334 14),-20.566334,14.0,"POLYGON((-40 13.806626,-32 13.806626,-32 14.193374,-40 14.193374,-40 13.806626))",,POINT(-36 14),-36.0,14.0,"POLYGON((-609.234 222.1248,-502.446 221.0556,-501.5982 227.4684,-608.202 228.5334,-609.234 222.1248))",,POINT(-556.7448 224.7714),010300000001000000050000001D5A643BDF0983C04ED1915CFEC36B404260E5D022677FC00BB5A679C7A16B407AC7293A92597FC0492EFF21FD6E6C40560E2DB29D0183C0F775E09C11916C401D5A643BDF0983C04ED1915CFEC36B40,600.405658355249102,-556.7448,224.7714,68.0148734666,"POLYGON((0.666764 69.968304,0.564415 66.252477,0.566308 65.606313,0.668056 69.406166,0.666764 69.968304))",,POINT(0.61734950700649 68.0148734666137),0.617349507006
8,11621.0,,HMI SHARP,HMI,SDO,11621,HMI,,,4.99999987369e-05,SDO,,cm,1.47971403599,15.5533037186,-10.2782850266,8.57246112823,"POLYGON((0.266036 41.167402,0.247963 323.842492,0.353778 336.514127,0.365789 27.475584,0.266036 41.167402))",,POINT(0.256565965994266 354.410082612929),"POLYGON((2.958926 12.314718,21.809672 12.314718,21.809672 19.666044,2.958926 19.666044,2.958926 12.314718))",,POINT(14.716925 15.553304),14.716925,15.553304,"POLYGON((-10.278285 12.314718,8.572461 12.314718,8.572461 19.666044,-10.278285 19.666044,-10.278285 12.314718))",,POINT(1.479714 15.553304),1.479714,15.553304,"POLYGON((-170.3196 194.778,142.2882 194.715,137.1228 315.5736,-164.1366 315.6318,-170.3196 194.778))",,POINT(24.30624 248.3442),01030000000100000005000000A779C7293A4A65C037894160E5586840A1D634EF38C961407B14AE47E15668405DFE43FAED236140C58F31772DB973404694F6065F8464C0CE1951DA1BBA7340A779C7293A4A65C037894160E5586840,249.530829711636244,24.30624,248.3442,354.410082613,"POLYGON((0.266036 41.167402,0.247963 323.842492,0.353778 336.514127,0.365789 27.475584,0.266036 41.167402))",,POINT(0.256565965994266 354.410082612929),0.256565965994
9,11622.0,,HMI SHARP,HMI,SDO,11622,HMI,,,4.99999987369e-05,SDO,,cm,36.8893470764,-29.1095199585,34.6694374084,38.513923645,"POLYGON((0.710705 224.134736,0.743631 226.753604,0.731987 228.885326,0.697226 226.274596,0.710705 224.134736))",,POINT(0.724583527676133 226.566263305662),"POLYGON((47.90665 -29.875341,51.751136 -29.875341,51.751136 -28.023739,47.90665 -28.023739,47.90665 -29.875341))",,POINT(50.126558 -29.10952),50.126558,-29.10952,"POLYGON((34.669439 -29.875341,38.513925 -29.875341,38.513925 -28.023739,34.669439 -28.023739,34.669439 -29.875341))",,POINT(36.889347 -29.10952),36.889347,-29.10952,"POLYGON((481.3278 -496.0896,526.8186 -495.519,536.3538 -468.1332,490.0416 -468.7098,481.3278 -496.0896))",,POINT(511.743 -484.5024),01030000000100000005000000107A36AB3E157E408CDB68006F017FC00B24287E8C768040FCA9F1D24DF87EC0992A1895D4C280403CBD529621427DC038F8C264AAA07E4036AB3E575B4B7DC0107A36AB3E157E408CDB68006F017FC0,704.715172005513068,511.743,-484.5024,226.566263306,"POLYGON((0.710705 224.134736,0.743631 226.753604,0.731987 228.885326,0.697226 226.274596,0.710705 224.134736))",,POINT(0.724583527676133 226.566263305662),0.724583527676
