,end_time,event_date,goes_class,goes_location,noaa_active_region,peak_time,start_time,flux
0,2015-12-01 04:32:00,2015-12-01,C1.0,"(42, 11)",12458,2015-12-01 04:08:00,2015-12-01 04:03:00,1e-06 W / m2
1,2015-12-01 06:39:00,2015-12-01,B4.1,"(0, 0)",12458,2015-12-01 06:31:00,2015-12-01 06:17:00,4.1e-07 W / m2
2,2015-12-01 08:18:00,2015-12-01,C3.6,"(0, 0)",12458,2015-12-01 08:10:00,2015-12-01 07:57:00,3.6e-06 W / m2
3,2015-12-01 14:46:00,2015-12-01,B3.4,"(0, 0)",12458,2015-12-01 14:34:00,2015-12-01 14:23:00,3.4e-07 W / m2
4,2015-12-02 05:04:00,2015-12-02,C2.2,"(53, 10)",12458,2015-12-02 04:46:00,2015-12-02 04:25:00,2.2e-06 W / m2
5,2015-12-02 18:55:00,2015-12-02,B8.1,"(60, 10)",12458,2015-12-02 18:35:00,2015-12-02 18:23:00,8.1e-07 W / m2
6,2015-12-03 06:45:00,2015-12-03,C1.2,"(0, 0)",12458,2015-12-03 06:28:00,2015-12-03 06:01:00,1.2e-06 W / m2
7,2015-12-03 17:51:00,2015-12-03,B3.3,"(0, 0)",12459,2015-12-03 17:38:00,2015-12-03 17:12:00,3.3e-07 W / m2
8,2015-12-03 22:18:00,2015-12-03,B7.5,"(0, 0)",12458,2015-12-03 22:00:00,2015-12-03 21:03:00,7.5e-07 W / m2
9,2015-12-04 02:50:00,2015-12-04,B5.0,"(0, 0)",12458,2015-12-04 02:48:00,2015-12-04 02:37:00,5e-07 W / m2
10,2015-12-04 05:45:00,2015-12-04,C1.0,"(0, 0)",12463,2015-12-04 05:34:00,2015-12-04 05:26:00,1e-06 W / m2
11,2015-12-04 14:51:00,2015-12-04,B5.9,"(0, 0)",12463,2015-12-04 14:36:00,2015-12-04 14:23:00,5.9e-07 W / m2
12,2015-12-04 17:38:00,2015-12-04,C4.0,"(-58, 9)",12462,2015-12-04 17:10:00,2015-12-04 16:53:00,4e-06 W / m2
13,2015-12-04 19:32:00,2015-12-04,B5.6,"(-67, -10)",12463,2015-12-04 19:30:00,2015-12-04 19:27:00,5.6e-07 W / m2
14,2015-12-04 23:05:00,2015-12-04,B7.7,"(-64, -10)",12463,2015-12-04 23:02:00,2015-12-04 22:56:00,7.7e-07 W / m2
15,2015-12-05 08:03:00,2015-12-05,B3.9,"(0, 0)",12463,2015-12-05 07:59:00,2015-12-05 07:52:00,3.9e-07 W / m2
16,2015-12-05 10:49:00,2015-12-05,B4.4,"(0, 0)",12463,2015-12-05 10:47:00,2015-12-05 10:43:00,4.4e-07 W / m2
17,2015-12-05 13:22:00,2015-12-05,B4.1,"(0, 0)",12463,2015-12-05 13:19:00,2015-12-05 13:16:00,4.1e-07 W / m2
18,2015-12-05 15:26:00,2015-12-05,C1.9,"(0, 0)",12464,2015-12-05 15:21:00,2015-12-05 15:14:00,1.9e-06 W / m2
19,2015-12-05 16:32:00,2015-12-05,C1.9,"(0, 0)",12463,2015-12-05 16:23:00,2015-12-05 16:16:00,1.9e-06 W / m2
20,2015-12-05 23:33:00,2015-12-05,B8.3,"(-54, -10)",12463,2015-12-05 23:17:00,2015-12-05 23:06:00,8.3e-07 W / m2
21,2015-12-06 03:28:00,2015-12-06,B7.4,"(-50, -10)",12463,2015-12-06 03:26:00,2015-12-06 03:23:00,7.4e-07 W / m2
22,2015-12-06 07:22:00,2015-12-06,B7.5,"(0, 0)",12463,2015-12-06 06:51:00,2015-12-06 06:43:00,7.5e-07 W / m2
23,2015-12-06 07:05:00,2015-12-06,B8.1,"(0, 0)",12463,2015-12-06 06:51:00,2015-12-06 06:44:00,8.1e-07 W / m2
24,2015-12-06 21:21:00,2015-12-06,C1.1,"(-41, -9)",12463,2015-12-06 21:08:00,2015-12-06 20:49:00,1.1e-06 W / m2
25,2015-12-07 03:37:00,2015-12-07,B7.6,"(0, 0)",12463,2015-12-07 03:30:00,2015-12-07 03:23:00,7.6e-07 W / m2
26,2015-12-07 04:47:00,2015-12-07,C1.1,"(0, 0)",12465,2015-12-07 04:19:00,2015-12-07 03:49:00,1.1e-06 W / m2
27,2015-12-07 07:39:00,2015-12-07,B3.9,"(0, 0)",12465,2015-12-07 07:33:00,2015-12-07 07:29:00,3.9e-07 W / m2
28,2015-12-07 09:10:00,2015-12-07,B3.7,"(0, 0)",12465,2015-12-07 09:04:00,2015-12-07 09:01:00,3.7e-07 W / m2
29,2015-12-07 11:55:00,2015-12-07,B3.4,"(0, 0)",12465,2015-12-07 11:49:00,2015-12-07 11:39:00,3.4e-07 W / m2
30,2015-12-07 14:49:00,2015-12-07,B3.4,"(0, 0)",12465,2015-12-07 14:41:00,2015-12-07 14:34:00,3.4e-07 W / m2
31,2015-12-07 18:32:00,2015-12-07,B4.2,"(0, 0)",12462,2015-12-07 18:26:00,2015-12-07 18:19:00,4.2e-07 W / m2
32,2015-12-07 23:13:00,2015-12-07,C1.0,"(-25, -9)",12463,2015-12-07 22:50:00,2015-12-07 22:39:00,1e-06 W / m2
33,2015-12-08 09:22:00,2015-12-08,B3.6,"(0, 0)",12463,2015-12-08 09:16:00,2015-12-08 09:12:00,3.6e-07 W / m2
34,2015-12-08 13:22:00,2015-12-08,B4.1,"(0, 0)",0,2015-12-08 13:17:00,2015-12-08 13:13:00,4.1e-07 W / m2
35,2015-12-08 17:35:00,2015-12-08,C1.0,"(0, 0)",12463,2015-12-08 17:24:00,2015-12-08 17:05:00,1e-06 W / m2
36,2015-12-08 19:28:00,2015-12-08,C6.7,"(0, 0)",12463,2015-12-08 19:14:00,2015-12-08 18:59:00,6.7e-06 W / m2
37,2015-12-08 23:05:00,2015-12-08,C4.5,"(-20, -13)",12466,2015-12-08 22:55:00,2015-12-08 22:40:00,4.5e-06 W / m2
38,2015-12-09 03:52:00,2015-12-09,C1.4,"(0, 0)",12466,2015-12-09 03:40:00,2015-12-09 03:17:00,1.4e-06 W / m2
39,2015-12-09 09:01:00,2015-12-09,B6.7,"(-15, -12)",12466,2015-12-09 08:58:00,2015-12-09 08:54:00,6.7e-07 W / m2
40,2015-12-09 09:30:00,2015-12-09,B4.7,"(0, 0)",12466,2015-12-09 09:24:00,2015-12-09 09:19:00,4.7e-07 W / m2
41,2015-12-09 09:38:00,2015-12-09,B6.4,"(0, 0)",12466,2015-12-09 09:35:00,2015-12-09 09:32:00,6.4e-07 W / m2
42,2015-12-09 11:04:00,2015-12-09,C1.2,"(0, 0)",12466,2015-12-09 11:00:00,2015-12-09 10:49:00,1.2e-06 W / m2
43,2015-12-09 12:14:00,2015-12-09,C1.2,"(0, 0)",12466,2015-12-09 12:12:00,2015-12-09 12:07:00,1.2e-06 W / m2
44,2015-12-09 12:27:00,2015-12-09,B8.3,"(0, 0)",12468,2015-12-09 12:22:00,2015-12-09 12:19:00,8.3e-07 W / m2
45,2015-12-10 00:41:00,2015-12-10,B5.4,"(0, 0)",12468,2015-12-10 00:36:00,2015-12-10 00:31:00,5.4e-07 W / m2
46,2015-12-10 07:32:00,2015-12-10,B6.9,"(0, 0)",12468,2015-12-10 07:25:00,2015-12-10 07:19:00,6.9e-07 W / m2
47,2015-12-10 07:57:00,2015-12-10,C3.9,"(-76, -14)",12468,2015-12-10 07:50:00,2015-12-10 07:41:00,3.9e-06 W / m2
48,2015-12-10 17:12:00,2015-12-10,B5.7,"(0, 0)",12465,2015-12-10 17:05:00,2015-12-10 16:47:00,5.7e-07 W / m2
49,2015-12-11 00:43:00,2015-12-11,B7.8,"(0, 0)",12467,2015-12-11 00:36:00,2015-12-11 00:29:00,7.8e-07 W / m2
50,2015-12-11 02:55:00,2015-12-11,B5.7,"(0, 0)",12468,2015-12-11 02:51:00,2015-12-11 02:47:00,5.7e-07 W / m2
51,2015-12-11 03:12:00,2015-12-11,B8.1,"(-24, -6)",12465,2015-12-11 03:07:00,2015-12-11 03:01:00,8.1e-07 W / m2
52,2015-12-11 05:15:00,2015-12-11,C1.4,"(0, 0)",12468,2015-12-11 04:47:00,2015-12-11 04:22:00,1.4e-06 W / m2
53,2015-12-11 11:21:00,2015-12-11,B8.8,"(0, 0)",0,2015-12-11 11:16:00,2015-12-11 11:10:00,8.8e-07 W / m2
54,2015-12-11 17:28:00,2015-12-11,C5.6,"(-16, -6)",12465,2015-12-11 17:16:00,2015-12-11 16:48:00,5.6e-06 W / m2
55,2015-12-12 03:21:00,2015-12-12,C2.0,"(0, 0)",12465,2015-12-12 03:16:00,2015-12-12 03:09:00,2e-06 W / m2
56,2015-12-12 05:06:00,2015-12-12,C1.8,"(0, 0)",12463,2015-12-12 04:31:00,2015-12-12 04:03:00,1.8e-06 W / m2
57,2015-12-12 05:40:00,2015-12-12,C5.2,"(0, 0)",12468,2015-12-12 05:28:00,2015-12-12 05:05:00,5.2e-06 W / m2
58,2015-12-12 06:22:00,2015-12-12,C4.2,"(0, 0)",12469,2015-12-12 06:13:00,2015-12-12 06:05:00,4.2e-06 W / m2
59,2015-12-12 07:47:00,2015-12-12,C1.6,"(0, 0)",12469,2015-12-12 07:41:00,2015-12-12 07:36:00,1.6e-06 W / m2
60,2015-12-12 09:32:00,2015-12-12,C1.3,"(0, 0)",12466,2015-12-12 09:25:00,2015-12-12 09:18:00,1.3e-06 W / m2
61,2015-12-12 11:53:00,2015-12-12,C2.1,"(0, 0)",12468,2015-12-12 11:45:00,2015-12-12 11:39:00,2.1e-06 W / m2
62,2015-12-12 13:57:00,2015-12-12,C7.8,"(0, 0)",12470,2015-12-12 13:46:00,2015-12-12 13:36:00,7.8e-06 W / m2
63,2015-12-12 15:30:00,2015-12-12,C1.0,"(0, 0)",12470,2015-12-12 15:22:00,2015-12-12 15:19:00,1e-06 W / m2
64,2015-12-12 17:16:00,2015-12-12,B9.4,"(0, 0)",12470,2015-12-12 17:12:00,2015-12-12 17:09:00,9.4e-07 W / m2
