,ar_noaanum,event_starttime,event_peaktime,event_endtime,fl_goescls,obs_instrument,obs_title,event_coord1,event_coord2,event_coord3,event_coordsys,event_coordunit,event_description,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r,fl_efoldtime,fl_efoldtimeunit,fl_fluence,fl_fluenceunit,fl_halphaclass,fl_peakem,fl_peakemunit,fl_peakflux,fl_peakfluxunit,fl_peaktemp,fl_peaktempunit,flux
0,12268,2015-02-01T03:24:00,2015-02-01T04:36:00,2015-02-01T05:14:00,C2.8,GOES,,47,-13,,UTC-HGS-TOPO,degrees,,46.5,47.5,"POLYGON((0.726101 257.051469,0.737668 257.154999,0.736878 258.51273,0.725233 258.430463,0.726101 257.051469))",,POINT(0.731469436144335 257.788028132987),"POLYGON((48.32526 -13.5,49.32526 -13.5,49.32526 -12.5,48.32526 -12.5,48.32526 -13.5))",,POINT(48.8252596 -13),48.8252596,-13,"POLYGON((46.5 -13.5,47.5 -13.5,47.5 -12.5,46.5 -12.5,46.5 -13.5))",,POINT(47 -13),47,-13,"POLYGON((688.746 -158.358,700.008 -159.6162,702.84 -142.8318,691.53 -141.5676,688.746 -158.358))",,POINT(695.832 -150.5964),010300000001000000050000002EB29DEFA7BE8440B3EA73B515D366C02EB29DEFA7BE844066D5E76A2BA65DC02EB29DEFA7BE864066D5E76A2BA65DC02EB29DEFA7BE8640B3EA73B515D366C02EB29DEFA7BE8440B3EA73B515D366C0,711.94202567130435,695.832,-150.5964,257.788028133,"POLYGON((0.726101 257.051469,0.737668 257.154999,0.736878 258.51273,0.725233 258.430463,0.726101 257.051469))",,POINT(0.731469436144335 257.788028132987),0.731469436144,,,,,,,,,,,,2.8e-06 W / m2
1,12277,2015-02-01T06:39:00,2015-02-01T06:45:00,2015-02-01T06:47:00,C2.2,GOES,,-20,6,,UTC-HGS-TOPO,degrees,,-20.5,-19.5,"POLYGON((0.40018 61.031759,0.386242 59.77248,0.394634 57.575027,0.408209 58.880743,0.40018 61.031759))",,POINT(0.397248560031879 59.315386532063),"POLYGON((-20.457672 5.5,-19.457672 5.5,-19.457672 6.5,-20.457672 6.5,-20.457672 5.5))",,POINT(-19.957672163 6),-19.957672163,6,"POLYGON((-20.5 5.5,-19.5 5.5,-19.5 6.5,-20.5 6.5,-20.5 5.5))",,POINT(-20 6),-20,6,"POLYGON((-340.7598 188.6394,-324.8106 189.2532,-324.21 205.9482,-340.1292 205.335,-340.7598 188.6394))",,POINT(-332.5032 197.3052),010300000001000000050000008E75711B0DB076C0A757CA32C4D964408E75711B0DB076C0A757CA32C4796C408E75711B0DE072C0A757CA32C4796C408E75711B0DE072C0A757CA32C4D964408E75711B0DB076C0A757CA32C4D96440,386.636418301845936,-332.5032,197.3052,59.3153865321,"POLYGON((0.40018 61.031759,0.386242 59.77248,0.394634 57.575027,0.408209 58.880743,0.40018 61.031759))",,POINT(0.397248560031879 59.315386532063),0.397248560032,,,,,,,,,,,,2.2e-06 W / m2
2,12275,2015-02-01T08:41:00,2015-02-01T08:46:00,2015-02-01T08:51:00,C1.8,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-89.9000015259,89.9000015259,"POLYGON((0.994981 179.899443,0.994981 180.100557,0.993994 359.899447,0.993994 0.100553,0.994981 179.899443))",,POINT(0.105343960536358 0),"POLYGON((-90.97315 -89.9,88.82685 -89.9,88.82685 89.9,-90.97315 89.9,-90.97315 -89.9))",,POINT(-1.07315 0),-1.07315,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.699578 -968.388,1.699578 -968.388,1.697826 967.428,-1.697826 967.428,-1.699578 -968.388))",,POINT(0 102.5286),,102.528599999999997,0.0,102.5286,0.0,"POLYGON((0.994981 179.899443,0.994981 180.100557,0.993994 359.899447,0.993994 0.100553,0.994981 179.899443))",,POINT(0.105343960536358 0),0.105343960536,,,,,,,,,,,,1.8e-06 W / m2
3,12268,2015-02-01T11:26:00,2015-02-01T11:33:00,2015-02-01T11:45:00,C3.2,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-89.9000015259,89.9000015259,"POLYGON((0.994966 179.899441,0.994966 180.100559,0.993979 359.899445,0.993979 0.100555,0.994966 179.899441))",,POINT(0.10548679604124 0),"POLYGON((-92.48178 -89.9,87.31822 -89.9,87.31822 89.9,-92.48178 89.9,-92.48178 -89.9))",,POINT(-2.58177999999998 0),-2.58178,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.699554 -968.358,1.699554 -968.358,1.697802 967.398,-1.697802 967.398,-1.699554 -968.358))",,POINT(0 102.666),,102.665999999999997,0.0,102.666,0.0,"POLYGON((0.994966 179.899441,0.994966 180.100559,0.993979 359.899445,0.993979 0.100555,0.994966 179.899441))",,POINT(0.10548679604124 0),0.105486796041,,,,,,,,,,,,3.2e-06 W / m2
4,12277,2015-02-01T19:25:00,2015-02-01T19:30:00,2015-02-01T19:32:00,C1.5,GOES,,-12,6,,UTC-HGS-TOPO,degrees,,-12.5,-11.5,"POLYGON((0.293761 47.453181,0.281697 45.047438,0.293812 42.629522,0.305334 45.031167,0.293761 47.453181))",,POINT(0.293540547116798 45.0405882866924),"POLYGON((-19.4614 5.5,-18.4614 5.5,-18.4614 6.5,-19.4614 6.5,-19.4614 5.5))",,POINT(-18.9614 6),-18.9614,6,"POLYGON((-12.5 5.5,-11.5 5.5,-11.5 6.5,-12.5 6.5,-12.5 5.5))",,POINT(-12 6),-12,6,"POLYGON((-210.624 193.3182,-194.0148 193.6938,-193.6554 210.381,-210.2346 210.006,-210.624 193.3182))",,POINT(-202.1478 201.8616),010300000001000000050000002ACB10C7BADC6CC07AC7293A92A365402ACB10C7BADC6CC07AC7293A92D36C402ACB10C7BAAC65C07AC7293A92D36C402ACB10C7BAAC65C07AC7293A92A365402ACB10C7BADC6CC07AC7293A92A36540,285.677858083891408,-202.1478,201.8616,45.0405882867,"POLYGON((0.293761 47.453181,0.281697 45.047438,0.293812 42.629522,0.305334 45.031167,0.293761 47.453181))",,POINT(0.293540547116798 45.0405882866924),0.293540547117,,,,,,,,,,,,1.5e-06 W / m2
5,12268,2015-02-01T21:13:00,2015-02-01T21:26:00,2015-02-01T21:36:00,C3.0,GOES,,54,-14,,UTC-HGS-TOPO,degrees,,53.5,54.5,"POLYGON((0.802963 256.403201,0.81293 256.469163,0.812463 257.701777,0.802434 257.651,0.802963 256.403201))",,POINT(0.807712944980013 257.056948716858),"POLYGON((45.55113 -14.5,46.55113 -14.5,46.55113 -13.5,45.55113 -13.5,45.55113 -14.5))",,POINT(46.05113 -14),46.05113,-14,"POLYGON((53.5 -14.5,54.5 -14.5,54.5 -13.5,53.5 -13.5,53.5 -14.5))",,POINT(54 -14),54,-14,"POLYGON((759.546 -183.7086,769.188 -185.1036,772.548 -168.4176,762.864 -167.0148,759.546 -183.7086))",,POINT(766.098 -176.0658),01030000000100000005000000105839B4C8EC864075029A081B126AC0105839B4C8EC864075029A081BF261C0105839B4C8F4884075029A081BF261C0105839B4C8F4884075029A081B126AC0105839B4C8EC864075029A081B126AC0,786.069533523364498,766.098,-176.0658,257.056948717,"POLYGON((0.802963 256.403201,0.81293 256.469163,0.812463 257.701777,0.802434 257.651,0.802963 256.403201))",,POINT(0.807712944980013 257.056948716858),0.80771294498,,,,,,,,,,,,3e-06 W / m2
6,12277,2015-02-02T06:21:00,2015-02-02T06:24:00,2015-02-02T06:27:00,C1.0,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-89.9000015259,89.9000015259,"POLYGON((0.994866 179.89943,0.994866 180.10057,0.993873 359.899435,0.993873 0.100565,0.994866 179.89943))",,POINT(0.106458423431478 0),"POLYGON((-102.85937 -89.9,76.94063 -89.9,76.94063 89.9,-102.85937 89.9,-102.85937 -89.9))",,POINT(-12.95937 0),-12.95937,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.699374 -968.154,1.699374 -968.154,1.697604 967.188,-1.697604 967.188,-1.699374 -968.154))",,POINT(0 103.6002),,103.600200000000001,0.0,103.6002,0.0,"POLYGON((0.994866 179.89943,0.994866 180.10057,0.993873 359.899435,0.993873 0.100565,0.994866 179.89943))",,POINT(0.106458423431478 0),0.106458423431,,,,,,,,,,,,1e-06 W / m2
7,12280,2015-02-02T14:26:00,2015-02-02T14:37:00,2015-02-02T14:44:00,C1.7,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-89.9000015259,89.9000015259,"POLYGON((0.994828 179.899426,0.994828 180.100574,0.993829 359.89943,0.993829 0.10057,0.994828 179.899426))",,POINT(0.106866810658018 0),"POLYGON((-107.29385 -89.9,72.50615 -89.9,72.50615 89.9,-107.29385 89.9,-107.29385 -89.9))",,POINT(-17.39385 0),-17.39385,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.699296 -968.07,1.699296 -968.07,1.69752 967.098,-1.69752 967.098,-1.699296 -968.07))",,POINT(0 103.9926),,103.992599999999996,0.0,103.9926,0.0,"POLYGON((0.994828 179.899426,0.994828 180.100574,0.993829 359.89943,0.993829 0.10057,0.994828 179.899426))",,POINT(0.106866810658018 0),0.106866810658,,,,,,,,,,,,1.7e-06 W / m2
8,12277,2015-02-02T23:02:00,2015-02-02T23:12:00,2015-02-02T23:24:00,C2.6,GOES,,-14,10,,UTC-HGS-TOPO,degrees,,-14.5,-13.5,"POLYGON((0.36462 42.864328,0.353766 40.823157,0.366227 39.015441,0.376636 41.035366,0.36462 42.864328))",,POINT(0.365232091884347 40.9347534612494),"POLYGON((-36.61178 9.5,-35.61178 9.5,-35.61178 10.5,-36.61178 10.5,-36.61178 9.5))",,POINT(-36.11178 10),-36.11178,10,"POLYGON((-14.5 9.5,-13.5 9.5,-13.5 10.5,-14.5 10.5,-14.5 9.5))",,POINT(-14 10),-14,10,"POLYGON((-241.3548 260.0532,-225.0348 260.4924,-224.3382 276.882,-240.6078 276.4428,-241.3548 260.0532))",,POINT(-232.8516 268.482),0103000000010000000500000061545227A08570C08295438B6C9F6D4061545227A08570C0C1CAA145B6BF7240C2A8A44E402B69C0C1CAA145B6BF7240C2A8A44E402B69C08295438B6C9F6D4061545227A08570C08295438B6C9F6D40,355.390562545715341,-232.8516,268.482,40.9347534612,"POLYGON((0.36462 42.864328,0.353766 40.823157,0.366227 39.015441,0.376636 41.035366,0.36462 42.864328))",,POINT(0.365232091884347 40.9347534612494),0.365232091884,,,,,,,,,,,,2.6e-06 W / m2
9,12277,2015-02-03T09:06:00,2015-02-03T09:12:00,2015-02-03T09:17:00,C1.4,GOES,,2,7,,UTC-HGS-TOPO,degrees,,1.5,2.5,"POLYGON((0.221673 353.230693,0.224328 348.808509,0.241078 349.617805,0.238626 353.727237,0.221673 353.230693))",,POINT(0.231275234404779 351.345991903391),"POLYGON((-26.13432 6.5,-25.13432 6.5,-25.13432 7.5,-26.13432 7.5,-26.13432 6.5))",,POINT(-25.63432 7),-25.63432,7,"POLYGON((1.5 6.5,2.5 6.5,2.5 7.5,1.5 7.5,1.5 6.5))",,POINT(2 7),2,7,"POLYGON((25.42344 214.1832,42.36366 214.119,42.27222 230.727,25.36854 230.7912,25.42344 214.1832))",,POINT(33.85956 222.4674),010300000001000000050000008CCC237F30701540D044D8F0F43E68408CCC237F30701540D044D8F0F45E6F409279E40F062E4F40D044D8F0F45E6F409279E40F062E4F40D044D8F0F43E68408CCC237F30701540D044D8F0F43E6840,225.02936223113997,33.85956,222.4674,351.345991903,"POLYGON((0.221673 353.230693,0.224328 348.808509,0.241078 349.617805,0.238626 353.727237,0.221673 353.230693))",,POINT(0.231275234404779 351.345991903391),0.231275234405,,,,,,,,,,,,1.4e-06 W / m2
