,ar_noaanum,event_starttime,event_peaktime,event_endtime,fl_goescls,obs_instrument,obs_title,event_coord1,event_coord2,event_coord3,event_coordsys,event_coordunit,event_description,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r,fl_efoldtime,fl_efoldtimeunit,fl_fluence,fl_fluenceunit,fl_halphaclass,fl_peakem,fl_peakemunit,fl_peakflux,fl_peakfluxunit,fl_peaktemp,fl_peaktempunit,flux
0,0,2004-09-01T18:03:00,2004-09-01T18:06:00,2004-09-01T18:09:00,B3.4,GOES,,-81,-12,,UTC-HGS-TOPO,degrees,,-81.5,-80.5,"POLYGON((0.993782 103.557327,0.991763 103.712119,0.991403 102.715718,0.993473 102.562488,0.993782 103.557327))",,POINT(0.992641209308218 103.136458884308),"POLYGON((91.30112 -12.5,92.30112 -12.5,92.30112 -11.5,91.30112 -11.5,91.30112 -12.5))",,POINT(91.80112 -12),91.80112,-12,"POLYGON((-81.5 -12.5,-80.5 -12.5,-80.5 -11.5,-81.5 -11.5,-81.5 -12.5))",,POINT(-81 -12),-81,-12,"POLYGON((-918.234 -221.4204,-915.768 -223.4454,-919.182 -207.4116,-921.654 -205.3806,-918.234 -221.4204))",,POINT(-918.78 -214.4232),010300000001000000050000000BD7A3703D7E8DC059F5B9DA8AED6DC00BD7A3703D7E8DC059F5B9DA8AAD67C00BD7A3703DEE8BC059F5B9DA8AAD67C00BD7A3703DEE8BC059F5B9DA8AED6DC00BD7A3703D7E8DC059F5B9DA8AED6DC0,943.469128852788685,-918.78,-214.4232,103.136458884,"POLYGON((0.993782 103.557327,0.991763 103.712119,0.991403 102.715718,0.993473 102.562488,0.993782 103.557327))",,POINT(0.992641209308218 103.136458884308),0.992641209308,,,,,,,,,,,,3.4e-07 W / m2
1,0,2004-09-02T02:32:00,2004-09-02T02:56:00,2004-09-02T03:43:00,B6.0,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.991518 180.000005,0.991518 179.999995,0.99266 0,0.99266 0,0.991518 180.000005))",,POINT(0.126118075911108 180),"POLYGON((78.23221 -89.9,-101.96779 -89.9,-101.96779 89.9,78.23221 89.9,78.23221 -89.9))",,POINT(168.13221 0),168.13221,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.3e-05 -942.48,-8.3e-05 -942.48,0 943.566,-0 943.566,8.3e-05 -942.48))",,POINT(0 -119.8806),,119.880600000000001,0.0,-119.8806,180.0,"POLYGON((0.991518 180.000005,0.991518 179.999995,0.99266 0,0.99266 0,0.991518 180.000005))",,POINT(0.126118075911108 180),0.126118075911,,,,,,,,,,,,6e-07 W / m2
2,0,2004-09-02T13:56:00,2004-09-02T14:01:00,2004-09-02T14:05:00,B5.7,GOES,,90,-18,,UTC-HGS-TOPO,degrees,,89.5,90.5,"POLYGON((0.999352 251.579378,0.998624 251.692595,0.998731 252.686855,0.999428 252.572354,0.999352 251.579378))",,POINT(0.999068484015167 252.133429052743),"POLYGON((-108.64183 -18.5,-107.64183 -18.5,-107.64183 -17.5,-108.64183 -17.5,-108.64183 -18.5))",,POINT(-108.14183 -18),-108.14183,-18,"POLYGON((89.5 -18.5,90.5 -18.5,90.5 -17.5,89.5 -17.5,89.5 -18.5))",,POINT(90 -18),90,-18,"POLYGON((901.356 -300.2016,901.29 -298.2024,906.426 -282.5484,906.492 -284.5578,901.356 -300.2016))",,POINT(903.96 -291.3888),,949.763715018340804,903.96,-291.3888,252.133429053,"POLYGON((0.999352 251.579378,0.998624 251.692595,0.998731 252.686855,0.999428 252.572354,0.999352 251.579378))",,POINT(0.999068484015167 252.133429052743),0.999068484015,,,,,,,,,,,,5.7e-07 W / m2
3,0,2004-09-02T18:25:00,2004-09-02T18:43:00,2004-09-02T19:01:00,B6.4,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.991495 180.000005,0.991495 179.999995,0.992644 0,0.992644 0,0.991495 180.000005))",,POINT(0.126254861843641 180),"POLYGON((69.49079 -89.9,-110.70921 -89.9,-110.70921 89.9,69.49079 89.9,69.49079 -89.9))",,POINT(159.39079 0),159.39079,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.3e-05 -942.606,-8.3e-05 -942.606,0 943.698,-0 943.698,8.3e-05 -942.606))",,POINT(0 -120.0294),,120.02940000000001,0.0,-120.0294,180.0,"POLYGON((0.991495 180.000005,0.991495 179.999995,0.992644 0,0.992644 0,0.991495 180.000005))",,POINT(0.126254861843641 180),0.126254861844,,,,,,,,,,,,6.4e-07 W / m2
4,10667,2004-09-06T02:29:00,2004-09-06T02:49:00,2004-09-06T03:07:00,B6.9,GOES,,-27,-14,,UTC-HGS-TOPO,degrees,,-27.5,-26.5,"POLYGON((0.574079 128.586118,0.562984 129.622786,0.554178 128.192996,0.565577 127.164483,0.574079 128.586118))",,POINT(0.564175776894644 128.391177431924),"POLYGON((87.82937 -14.5,88.82937 -14.5,88.82937 -13.5,87.82937 -13.5,87.82937 -14.5))",,POINT(88.32937 -14),88.32937,-14,"POLYGON((-27.5 -14.5,-26.5 -14.5,-26.5 -13.5,-27.5 -13.5,-27.5 -14.5))",,POINT(-27 -14),-27,-14,"POLYGON((-426.9558 -340.665,-412.5912 -341.6016,-414.402 -326.0202,-428.8296 -325.0806,-426.9558 -340.665))",,POINT(-420.7272 -333.3588),010300000001000000050000006C9A779CA2DB7BC0E09C11A5BD6576C06C9A779CA2DB7BC0E09C11A5BD4573C06C9A779CA2BB78C0E09C11A5BD4573C06C9A779CA2BB78C0E09C11A5BD6576C06C9A779CA2DB7BC0E09C11A5BD6576C0,536.786238979055838,-420.7272,-333.3588,128.391177432,"POLYGON((0.574079 128.586118,0.562984 129.622786,0.554178 128.192996,0.565577 127.164483,0.574079 128.586118))",,POINT(0.564175776894644 128.391177431924),0.564175776895,,,,,,,,,,,,6.9e-07 W / m2
5,10667,2004-09-06T15:30:00,2004-09-06T15:39:00,2004-09-06T15:49:00,B8.2,GOES,,-19,-14,,UTC-HGS-TOPO,degrees,,-19.5,-18.5,"POLYGON((0.488371 138.362013,0.478408 139.853442,0.466926 138.4327,0.477244 136.929588,0.488371 138.362013))",,POINT(0.477689161718446 138.394208294811),"POLYGON((88.66671 -14.5,89.66671 -14.5,89.66671 -13.5,88.66671 -13.5,88.66671 -14.5))",,POINT(89.16671 -14),89.16671,-14,"POLYGON((-19.5 -14.5,-18.5 -14.5,-18.5 -13.5,-19.5 -13.5,-19.5 -14.5))",,POINT(-19 -14),-19,-14,"POLYGON((-308.772 -347.3142,-293.5152 -347.9862,-294.8034 -332.427,-310.1274 -331.7526,-308.772 -347.3142))",,POINT(-301.8276 -339.8874),01030000000100000005000000B6627FD93D6D74C087A757CA32CE76C0B6627FD93D6D74C087A757CA32AE73C0B6627FD93D4D71C087A757CA32AE73C0B6627FD93D4D71C087A757CA32CE76C0B6627FD93D6D74C087A757CA32CE76C0,454.55840636877457,-301.8276,-339.8874,138.394208295,"POLYGON((0.488371 138.362013,0.478408 139.853442,0.466926 138.4327,0.477244 136.929588,0.488371 138.362013))",,POINT(0.477689161718446 138.394208294811),0.477689161718,,,,,,,,,,,,8.2e-07 W / m2
6,10669,2004-09-07T07:06:00,2004-09-07T07:38:00,2004-09-07T08:03:00,C1.1,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.991429 180.000005,0.991429 179.999995,0.992583 0,0.992583 0,0.991429 180.000005))",,POINT(0.126767766280438 180),"POLYGON((9.682725 -89.9,-170.517275 -89.9,-170.517275 89.9,9.682725 89.9,9.682725 -89.9))",,POINT(99.582725 0),99.582725,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.3e-05 -943.572,-8.3e-05 -943.572,0 944.67,-0 944.67,8.3e-05 -943.572))",,POINT(0 -120.6486),,120.648600000000016,0.0,-120.6486,180.0,"POLYGON((0.991429 180.000005,0.991429 179.999995,0.992583 0,0.992583 0,0.991429 180.000005))",,POINT(0.126767766280438 180),0.12676776628,,,,,,,,,,,,1.1e-06 W / m2
7,0,2004-09-07T13:40:00,2004-09-07T15:29:00,2004-09-07T16:43:00,C2.8,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.991432 180.000005,0.991432 179.999995,0.992585 0,0.992585 0,0.991432 180.000005))",,POINT(0.126774993959298 180),"POLYGON((6.069443 -89.9,-174.130557 -89.9,-174.130557 89.9,6.069443 89.9,6.069443 -89.9))",,POINT(95.969444 0),95.969444,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.3e-05 -943.638,-8.3e-05 -943.638,0 944.736,-0 944.736,8.3e-05 -943.638))",,POINT(0 -120.6636),,120.663600000000002,0.0,-120.6636,180.0,"POLYGON((0.991432 180.000005,0.991432 179.999995,0.992585 0,0.992585 0,0.991432 180.000005))",,POINT(0.126774993959298 180),0.126774993959,,,,,,,,,,,,2.8e-06 W / m2
8,0,2004-09-08T00:59:00,2004-09-08T01:10:00,2004-09-08T01:26:00,C1.5,GOES,,-85,5,,UTC-HGS-TOPO,degrees,,-85.5,-84.5,"POLYGON((0.996569 86.088104,0.994988 86.20786,0.994779 85.209267,0.996395 85.091343,0.996569 86.088104))",,POINT(0.995717066567949 85.6492884178953),"POLYGON((4.242582 4.5,5.242582 4.5,5.242582 5.5,4.242582 5.5,4.242582 4.5))",,POINT(4.742582 5),4.742582,5,"POLYGON((-85.5 4.5,-84.5 4.5,-84.5 5.5,-85.5 5.5,-85.5 4.5))",,POINT(-85 5),-85,5,"POLYGON((-946.428 64.7184,-945.06 62.6406,-943.626 79.0848,-944.994 81.1584,-946.428 64.7184))",,POINT(-945.096 71.9034),0103000000010000000500000054E3A59BC46E8EC06C9A779CA293454054E3A59BC46E8EC036CD3B4ED129594054E3A59BC4A28CC036CD3B4ED129594054E3A59BC4A28CC06C9A779CA293454054E3A59BC46E8EC06C9A779CA2934540,947.827277592051587,-945.096,71.9034,85.6492884179,"POLYGON((0.996569 86.088104,0.994988 86.20786,0.994779 85.209267,0.996395 85.091343,0.996569 86.088104))",,POINT(0.995717066567949 85.6492884178953),0.995717066568,,,,,,,,,,,,1.5e-06 W / m2
9,10669,2004-09-08T03:41:00,2004-09-08T03:49:00,2004-09-08T03:57:00,B9.0,GOES,,-2,-5,,UTC-HGS-TOPO,degrees,,-2.5,-1.5,"POLYGON((0.225829 168.864299,0.223194 173.265331,0.206198 172.69597,0.209062 167.939463,0.225829 168.864299))",,POINT(0.215907370213801 170.691149492957),"POLYGON((85.756955 -5.5,86.756955 -5.5,86.756955 -4.5,85.756955 -4.5,85.756955 -5.5))",,POINT(86.256955 -5),86.256955,-5,"POLYGON((-2.5 -5.5,-1.5 -5.5,-1.5 -4.5,-2.5 -4.5,-2.5 -5.5))",,POINT(-2 -5),-2,-5,"POLYGON((-41.5185 -210.9258,-24.9162 -210.9996,-24.95472 -194.6934,-41.58264 -194.6196,-41.5185 -210.9258))",,POINT(-33.24558 -202.8222),010300000001000000050000009D465A2A6F1F4DC0AED85F764F7A6CC09D465A2A6F1F4DC0AED85F764F3A66C0741A69A9BC7D20C0AED85F764F3A66C0741A69A9BC7D20C0AED85F764F7A6CC09D465A2A6F1F4DC0AED85F764F7A6CC0,205.528862699077877,-33.24558,-202.8222,170.691149493,"POLYGON((0.225829 168.864299,0.223194 173.265331,0.206198 172.69597,0.209062 167.939463,0.225829 168.864299))",,POINT(0.215907370213801 170.691149492957),0.215907370214,,,,,,,,,,,,9e-07 W / m2
