,ar_noaanum,event_starttime,event_peaktime,event_endtime,fl_goescls,obs_instrument,obs_title,event_coord1,event_coord2,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r,flux
0,0,2005-11-02T13:52:00,2005-11-02T14:06:00,2005-11-02T14:16:00,B1.7,GOES,,-90,-81,-90.5,-89.5,"POLYGON((0.996918 171.476785,0.997114 171.478371,0.997144 170.476036,0.996923 170.474052,0.996918 171.476785))",,POINT(0.99702510020607 170.975981630566),"POLYGON((-151.09703 -81.5,-150.09703 -81.5,-150.09703 -80.5,-151.09703 -80.5,-151.09703 -81.5))",,POINT(-150.59703 -81),-150.59703,-81,"POLYGON((-90.5 -81.5,-89.5 -81.5,-89.5 -80.5,-90.5 -80.5,-90.5 -81.5))",,POINT(-90 -81),-90,-81,"POLYGON((-142.8114 -952.932,-142.8132 -953.124,-159.4692 -950.508,-159.4668 -950.292,-142.8114 -952.932))",,POINT(-151.1514 -951.75),,963.67775123324293,-151.1514,-951.75,170.975981631,"POLYGON((0.996918 171.476785,0.997114 171.478371,0.997144 170.476036,0.996923 170.474052,0.996918 171.476785))",,POINT(0.99702510020607 170.975981630566),0.997025100206,1.7e-07 W / m2
1,10818,2005-11-02T14:43:00,2005-11-02T14:48:00,2005-11-02T14:52:00,B2.0,GOES,,-9,-7,-9.5,-8.5,"POLYGON((0.261104 140.982306,0.250815 144.059785,0.237305 141.559633,0.248214 138.418593,0.261104 140.982306))",,POINT(0.249222585045147 141.254919055195),"POLYGON((-70.56403 -7.5,-69.56403 -7.5,-69.56403 -6.5,-70.56403 -6.5,-70.56403 -7.5))",,POINT(-70.06403 -7),-70.06403,-7,"POLYGON((-9.5 -7.5,-8.5 -7.5,-8.5 -6.5,-9.5 -6.5,-9.5 -7.5))",,POINT(-9 -7),-9,-7,"POLYGON((-158.8842 -196.0818,-142.2912 -196.2774,-142.599 -179.655,-159.2274 -179.4594,-158.8842 -196.0818))",,POINT(-150.762 -187.8786),01030000000100000005000000AAF1D24D62F865C08048BF7D1D9C6AC0AAF1D24D62F865C08048BF7D1D5C64C054E3A59BC4705FC08048BF7D1D5C64C054E3A59BC4705FC08048BF7D1D9C6AC0AAF1D24D62F865C08048BF7D1D9C6AC0,240.88908024640719,-150.762,-187.8786,141.254919055,"POLYGON((0.261104 140.982306,0.250815 144.059785,0.237305 141.559633,0.248214 138.418593,0.261104 140.982306))",,POINT(0.249222585045147 141.254919055195),0.249222585045,2e-07 W / m2
2,10819,2005-11-03T04:26:00,2005-11-03T04:46:00,2005-11-03T05:01:00,B9.1,GOES,,6,-8,5.5,6.5,"POLYGON((0.23942 203.436979,0.246667 207.126949,0.231682 209.120962,0.2239 205.236958,0.23942 203.436979))",,POINT(0.235269823473104 206.230578186405),"POLYGON((-63.10008 -8.5,-62.10008 -8.5,-62.10008 -7.5,-63.10008 -7.5,-63.10008 -8.5))",,POINT(-62.60008 -8),-62.60008,-8,"POLYGON((5.5 -8.5,6.5 -8.5,6.5 -7.5,5.5 -7.5,5.5 -8.5))",,POINT(6 -8),6,-8,"POLYGON((92.0562 -212.3532,108.7266 -212.2242,108.9954 -195.6576,92.2842 -195.786,92.0562 -212.3532))",,POINT(100.5234 -204.0156),010300000001000000050000007DAEB6627FE15240293A92CB7FA06CC07DAEB6627FE15240293A92CB7F6066C07DAEB6627F615F40293A92CB7F6066C07DAEB6627F615F40293A92CB7FA06CC07DAEB6627FE15240293A92CB7FA06CC0,227.436406476447786,100.5234,-204.0156,206.230578186,"POLYGON((0.23942 203.436979,0.246667 207.126949,0.231682 209.120962,0.2239 205.236958,0.23942 203.436979))",,POINT(0.235269823473104 206.230578186405),0.235269823473,9.1e-07 W / m2
3,10819,2005-11-03T07:08:00,2005-11-03T07:20:00,2005-11-03T07:36:00,B3.0,GOES,,7,-10,6.5,7.5,"POLYGON((0.276975 203.809056,0.284176 206.97912,0.26933 208.695781,0.261663 205.38127,0.276975 203.809056))",,POINT(0.27291365949101 206.21629324512),"POLYGON((-63.58347 -10.5,-62.58347 -10.5,-62.58347 -9.5,-63.58347 -9.5,-63.58347 -10.5))",,POINT(-63.08347 -10),-63.08347,-10,"POLYGON((6.5 -10.5,7.5 -10.5,7.5 -9.5,6.5 -9.5,6.5 -10.5))",,POINT(7 -10),7,-10,"POLYGON((108.0924 -244.9734,124.632 -244.8246,125.019 -228.3918,108.4278 -228.5412,108.0924 -244.9734))",,POINT(116.5518 -236.6946),01030000000100000005000000B37BF2B050E35640D4BCE3141D5B70C0B37BF2B050E35640A779C7293A766AC0DA3D7958A8B16140A779C7293A766AC0DA3D7958A8B16140D4BCE3141D5B70C0B37BF2B050E35640D4BCE3141D5B70C0,263.834523427848637,116.5518,-236.6946,206.216293245,"POLYGON((0.276975 203.809056,0.284176 206.97912,0.26933 208.695781,0.261663 205.38127,0.276975 203.809056))",,POINT(0.27291365949101 206.21629324512),0.272913659491,3e-07 W / m2
4,10820,2005-11-05T16:14:00,2005-11-05T16:19:00,2005-11-05T16:30:00,B1.2,GOES,,26,-15,25.5,26.5,"POLYGON((0.529475 231.874252,0.541173 232.908138,0.532979 234.463973,0.520965 233.444108,0.529475 231.874252))",,POINT(0.531112326798609 233.173061082341),"POLYGON((-75.95372 -15.5,-74.95372 -15.5,-74.95372 -14.5,-75.95372 -14.5,-75.95372 -15.5))",,POINT(-75.45372 -15),-75.45372,-15,"POLYGON((25.5 -15.5,26.5 -15.5,26.5 -14.5,25.5 -14.5,25.5 -15.5))",,POINT(26 -15),26,-15,"POLYGON((402.9048 -316.2102,417.5712 -315.7134,419.5392 -299.6526,404.8038 -300.1506,402.9048 -316.2102))",,POINT(411.2364 -307.9458),0103000000010000000500000064CC5D4BC8237840E9482EFF21CF74C064CC5D4BC8237840E9482EFF21AF71C064CC5D4BC8437B40E9482EFF21AF71C064CC5D4BC8437B40E9482EFF21CF74C064CC5D4BC8237840E9482EFF21CF74C0,513.756744405949462,411.2364,-307.9458,233.173061082,"POLYGON((0.529475 231.874252,0.541173 232.908138,0.532979 234.463973,0.520965 233.444108,0.529475 231.874252))",,POINT(0.531112326798609 233.173061082341),0.531112326799,1.2e-07 W / m2
5,10820,2005-11-05T17:24:00,2005-11-05T17:28:00,2005-11-05T17:33:00,B1.2,GOES,,26,-15,25.5,26.5,"POLYGON((0.529427 231.880909,0.541127 232.914623,0.532934 234.470687,0.520919 233.450954,0.529427 231.880909))",,POINT(0.531065854092508 233.179702669278),"POLYGON((-76.59466 -15.5,-75.59466 -15.5,-75.59466 -14.5,-76.59466 -14.5,-76.59466 -15.5))",,POINT(-76.09466 -15),-76.09466,-15,"POLYGON((25.5 -15.5,26.5 -15.5,26.5 -14.5,25.5 -14.5,25.5 -15.5))",,POINT(26 -15),26,-15,"POLYGON((402.9102 -316.1388,417.5766 -315.6432,419.544 -299.5818,404.8086 -300.0792,402.9102 -316.1388))",,POINT(411.2412 -307.875),01030000000100000005000000B9FC87F4DB2378400000000000CE74C0B9FC87F4DB2378400000000000AE71C0B9FC87F4DB437B400000000000AE71C0B9FC87F4DB437B400000000000CE74C0B9FC87F4DB2378400000000000CE74C0,513.71815249457552,411.2412,-307.875,233.179702669,"POLYGON((0.529427 231.880909,0.541127 232.914623,0.532934 234.470687,0.520919 233.450954,0.529427 231.880909))",,POINT(0.531065854092508 233.179702669278),0.531065854093,1.2e-07 W / m2
6,0,2005-11-05T18:17:00,2005-11-05T18:23:00,2005-11-05T18:31:00,B2.0,GOES,,0,0,-90.0,90.0,"POLYGON((0.997396 180.000005,0.997396 179.999995,0.998028 0,0.998028 0,0.997396 180.000005))",,POINT(0.0679527155221553 180),"POLYGON((167.52005 -89.9,-12.67995 -89.9,-12.67995 89.9,167.52005 89.9,167.52005 -89.9))",,POINT(-102.57995 0),-102.57995,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -964.824,-8.5e-05 -964.824,0 965.436,-0 965.436,8.5e-05 -964.824))",,POINT(0 -65.7336),,65.7336000000000098,0.0,-65.7336,180.0,"POLYGON((0.997396 180.000005,0.997396 179.999995,0.998028 0,0.998028 0,0.997396 180.000005))",,POINT(0.0679527155221553 180),0.0679527155222,2e-07 W / m2
7,10820,2005-11-05T20:55:00,2005-11-05T21:03:00,2005-11-05T21:08:00,B6.4,GOES,,28,-15,27.5,28.5,"POLYGON((0.552743 233.916935,0.56453 234.851886,0.556944 236.37803,0.54486 235.45883,0.552743 233.916935))",,POINT(0.554738069019801 235.151887423302),"POLYGON((-76.52664 -15.5,-75.52664 -15.5,-75.52664 -14.5,-76.52664 -14.5,-76.52664 -15.5))",,POINT(-76.02664 -15),-76.02664,-15,"POLYGON((27.5 -15.5,28.5 -15.5,28.5 -14.5,27.5 -14.5,27.5 -15.5))",,POINT(28 -15),28,-15,"POLYGON((432.1308 -314.9196,446.5356 -314.391,448.6398 -298.3236,434.1666 -298.854,432.1308 -314.9196))",,POINT(440.4018 -306.636),010300000001000000050000008638D6C56DF679401804560E2DBA74C08638D6C56DF679401804560E2D9A71C08638D6C56D167D401804560E2D9A71C08638D6C56D167D401804560E2DBA74C08638D6C56DF679401804560E2DBA74C0,536.637104512201972,440.4018,-306.636,235.151887423,"POLYGON((0.552743 233.916935,0.56453 234.851886,0.556944 236.37803,0.54486 235.45883,0.552743 233.916935))",,POINT(0.554738069019801 235.151887423302),0.55473806902,6.4e-07 W / m2
8,10820,2005-11-05T21:50:00,2005-11-05T21:54:00,2005-11-05T21:58:00,B3.0,GOES,,29,-16,28.5,29.5,"POLYGON((0.572298 233.37159,0.583813 234.275119,0.576302 235.746709,0.564497 234.856809,0.572298 233.37159))",,POINT(0.57419925177974 234.563059147093),"POLYGON((-76.03024 -16.5,-75.03024 -16.5,-75.03024 -15.5,-76.03024 -15.5,-76.03024 -16.5))",,POINT(-75.53024 -16),-75.53024,-16,"POLYGON((28.5 -16.5,29.5 -16.5,29.5 -15.5,28.5 -15.5,28.5 -16.5))",,POINT(29 -16),29,-16,"POLYGON((444.2994 -330.3078,458.496 -329.7648,460.8078 -313.7916,446.5404 -314.337,444.2994 -330.3078))",,POINT(452.5704 -322.0644),01030000000100000005000000371AC05B20B97A40CD5D4BC807B175C0371AC05B20B97A40CD5D4BC8079172C0371AC05B20D97D40CD5D4BC8079172C0371AC05B20D97D40CD5D4BC807B175C0371AC05B20B97A40CD5D4BC807B175C0,555.468671216946404,452.5704,-322.0644,234.563059147,"POLYGON((0.572298 233.37159,0.583813 234.275119,0.576302 235.746709,0.564497 234.856809,0.572298 233.37159))",,POINT(0.57419925177974 234.563059147093),0.57419925178,3e-07 W / m2
9,10820,2005-11-05T22:49:00,2005-11-05T23:03:00,2005-11-05T23:10:00,B3.2,GOES,,29,-16,28.5,29.5,"POLYGON((0.57226 233.37667,0.583776 234.280148,0.576266 235.751931,0.564459 234.862108,0.57226 233.37667))",,POINT(0.574162791041349 234.568187233136),"POLYGON((-76.57046 -16.5,-75.57046 -16.5,-75.57046 -15.5,-76.57046 -15.5,-76.57046 -16.5))",,POINT(-76.07046 -16),-76.07046,-16,"POLYGON((28.5 -16.5,29.5 -16.5,29.5 -15.5,28.5 -15.5,28.5 -16.5))",,POINT(29 -16),29,-16,"POLYGON((444.3042 -330.2502,458.5008 -329.7072,460.8126 -313.7334,446.5446 -314.2782,444.3042 -330.2502))",,POINT(452.5752 -322.0068),010300000001000000050000008C4AEA0434B97A40CE1951DA1BB075C08C4AEA0434B97A40CE1951DA1B9072C08C4AEA0434D97D40CE1951DA1B9072C08C4AEA0434D97D40CE1951DA1BB075C08C4AEA0434B97A40CE1951DA1BB075C0,555.439187401537197,452.5752,-322.0068,234.568187233,"POLYGON((0.57226 233.37667,0.583776 234.280148,0.576266 235.751931,0.564459 234.862108,0.57226 233.37667))",,POINT(0.574162791041349 234.568187233136),0.574162791041,3.2e-07 W / m2
