,ar_noaanum,event_starttime,event_peaktime,event_endtime,fl_goescls,obs_instrument,obs_title,event_coord1,event_coord2,event_coord3,event_coordsys,event_coordunit,event_description,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r,fl_efoldtime,fl_efoldtimeunit,fl_fluence,fl_fluenceunit,fl_halphaclass,fl_peakem,fl_peakemunit,fl_peakflux,fl_peakfluxunit,fl_peaktemp,fl_peaktempunit,flux
0,0,2006-12-01T08:17:00,2006-12-01T08:24:00,2006-12-01T08:30:00,B1.1,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.999812 180.000005,0.999812 179.999995,0.99996 0,0.99996 0,0.999812 180.000005))",,POINT(0.0151577760751634 180),"POLYGON((52.71965 -89.9,-127.48035 -89.9,-127.48035 89.9,52.71965 89.9,52.71965 -89.9))",,POINT(142.61965 0),142.61965,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -972.348,-8.5e-05 -972.348,0 972.492,-0 972.492,8.5e-05 -972.348))",,POINT(0 -14.7414),,14.7413999999999987,0.0,-14.7414,180.0,"POLYGON((0.999812 180.000005,0.999812 179.999995,0.99996 0,0.99996 0,0.999812 180.000005))",,POINT(0.0151577760751634 180),0.0151577760752,,,,,,,,,,,,1.1e-07 W / m2
1,10926,2006-12-01T21:57:00,2006-12-01T22:29:00,2006-12-01T22:49:00,B5.0,GOES,,5,-9,,UTC-HGS-TOPO,degrees,,4.5,5.5,"POLYGON((0.195572 203.423154,0.203016 207.891433,0.188054 210.42574,0.179943 205.673667,0.195572 203.423154))",,POINT(0.191458557434967 206.853351827207),"POLYGON((139.61512 -9.5,140.61512 -9.5,140.61512 -8.5,139.61512 -8.5,139.61512 -9.5))",,POINT(140.11512 -9),140.11512,-9,"POLYGON((4.5 -9.5,5.5 -9.5,5.5 -8.5,4.5 -8.5,4.5 -9.5))",,POINT(5 -9),5,-9,"POLYGON((75.615 -174.5424,92.3706 -174.5208,92.6274 -157.7172,75.825 -157.7382,75.615 -174.5424))",,POINT(84.1158 -166.1364),010300000001000000050000003A70CE88D28E4D40956588635DE467C03A70CE88D28E4D40956588635DA461C01D38674469475B40956588635DA461C01D38674469475B40956588635DE467C03A70CE88D28E4D40956588635DE467C0,186.217000337240961,84.1158,-166.1364,206.853351827,"POLYGON((0.195572 203.423154,0.203016 207.891433,0.188054 210.42574,0.179943 205.673667,0.195572 203.423154))",,POINT(0.191458557434967 206.853351827207),0.191458557435,,,,,,,,,,,,5e-07 W / m2
2,10926,2006-12-02T00:18:00,2006-12-02T00:35:00,2006-12-02T00:50:00,C1.0,GOES,,7,-8,,UTC-HGS-TOPO,degrees,,6.5,7.5,"POLYGON((0.197151 214.787108,0.207429 218.699379,0.194423 221.967336,0.183359 217.949118,0.197151 214.787108))",,POINT(0.195407258965722 218.350715726329),"POLYGON((140.32471 -8.5,141.32471 -8.5,141.32471 -7.5,140.32471 -7.5,140.32471 -8.5))",,POINT(140.82471 -8),140.82471,-8,"POLYGON((6.5 -8.5,7.5 -8.5,7.5 -7.5,6.5 -7.5,6.5 -8.5))",,POINT(7 -8),7,-8,"POLYGON((109.4028 -157.4856,126.1434 -157.4562,126.4548 -140.6034,109.6734 -140.6328,109.4028 -157.4856))",,POINT(117.9276 -149.0508),0103000000010000000500000041F163CC5D9B564060545227A01166C041F163CC5D9B5640C0A8A44E40635EC0A1F831E6AE2D6240C0A8A44E40635EC0A1F831E6AE2D624060545227A01166C041F163CC5D9B564060545227A01166C0,190.060674055418389,117.9276,-149.0508,218.350715726,"POLYGON((0.197151 214.787108,0.207429 218.699379,0.194423 221.967336,0.183359 217.949118,0.197151 214.787108))",,POINT(0.195407258965722 218.350715726329),0.195407258966,,,,,,,,,,,,1e-06 W / m2
3,10926,2006-12-02T07:00:00,2006-12-02T07:15:00,2006-12-02T07:31:00,C1.0,GOES,,11,-8,,UTC-HGS-TOPO,degrees,,10.5,11.5,"POLYGON((0.2424 228.327738,0.255335 230.875417,0.245167 234.090792,0.231592 231.605364,0.2424 228.327738))",,POINT(0.243482746556069 231.225075858765),"POLYGON((140.6457 -8.5,141.6457 -8.5,141.6457 -7.5,140.6457 -7.5,140.6457 -8.5))",,POINT(141.1457 -8),141.1457,-8,"POLYGON((10.5 -8.5,11.5 -8.5,11.5 -7.5,10.5 -7.5,10.5 -8.5))",,POINT(11 -8),11,-8,"POLYGON((176.1174 -156.762,192.672 -156.7176,193.1478 -139.863,176.5524 -139.9068,176.1174 -156.762))",,POINT(184.6368 -148.3188),01030000000100000005000000F8C264AA60A46340DFBE0E9C33FA65C0F8C264AA60A46340BE7D1D3867345EC0F8C264AA60846A40BE7D1D3867345EC0F8C264AA60846A40DFBE0E9C33FA65C0F8C264AA60A46340DFBE0E9C33FA65C0,236.831616022185671,184.6368,-148.3188,231.225075859,"POLYGON((0.2424 228.327738,0.255335 230.875417,0.245167 234.090792,0.231592 231.605364,0.2424 228.327738))",,POINT(0.243482746556069 231.225075858765),0.243482746556,,,,,,,,,,,,1e-06 W / m2
4,10927,2006-12-02T09:55:00,2006-12-02T09:59:00,2006-12-02T10:04:00,B1.7,GOES,,-1,8,,UTC-HGS-TOPO,degrees,,-1.5,-0.5,"POLYGON((0.121303 12.413161,0.118782 4.196745,0.136133 3.652036,0.138328 10.838397,0.121303 12.413161))",,POINT(0.128346716381662 7.77534543567924),"POLYGON((127.04414 7.5,128.04414 7.5,128.04414 8.5,127.04414 8.5,127.04414 7.5))",,POINT(127.54414 8),127.54414,8,"POLYGON((-1.5 7.5,-0.5 7.5,-0.5 8.5,-1.5 8.5,-1.5 7.5))",,POINT(-1 8),-1,8,"POLYGON((-25.3635 115.2336,-8.45538 115.23,-8.43456 132.1482,-25.3011 132.1518,-25.3635 115.2336))",,POINT(-16.88994 123.6954),010300000001000000050000007CB3CD8DE9F144C0DB68006F81AC58407CB3CD8DE9F144C06E3480B7409662400E32C9C8593820406E3480B7409662400E32C9C859382040DB68006F81AC58407CB3CD8DE9F144C0DB68006F81AC5840,124.843189859774085,-16.88994,123.6954,7.77534543568,"POLYGON((0.121303 12.413161,0.118782 4.196745,0.136133 3.652036,0.138328 10.838397,0.121303 12.413161))",,POINT(0.128346716381662 7.77534543567924),0.128346716382,,,,,,,,,,,,1.7e-07 W / m2
5,10926,2006-12-02T14:38:00,2006-12-02T15:04:00,2006-12-02T15:28:00,B3.4,GOES,,12,-9,,UTC-HGS-TOPO,degrees,,11.5,12.5,"POLYGON((0.26571 228.023504,0.278481 230.358444,0.268265 233.282999,0.254903 230.99511,0.26571 228.023504))",,POINT(0.266713533647417 230.665264340234),"POLYGON((137.45421 -9.5,138.45421 -9.5,138.45421 -8.5,137.45421 -8.5,137.45421 -9.5))",,POINT(137.95421 -9),137.95421,-9,"POLYGON((11.5 -9.5,12.5 -9.5,12.5 -8.5,11.5 -8.5,11.5 -9.5))",,POINT(12 -9),12,-9,"POLYGON((192.1476 -172.8678,208.5972 -172.8216,209.1774 -156.0126,192.6822 -156.0582,192.1476 -172.8678))",,POINT(200.6664 -164.4468),01030000000100000005000000BEC1172653F565404A7B832F4CAE67C0BEC1172653F565404A7B832F4C6E61C0BEC1172653356C404A7B832F4C6E61C0BEC1172653356C404A7B832F4CAE67C0BEC1172653F565404A7B832F4CAE67C0,259.441234423520257,200.6664,-164.4468,230.66526434,"POLYGON((0.26571 228.023504,0.278481 230.358444,0.268265 233.282999,0.254903 230.99511,0.26571 228.023504))",,POINT(0.266713533647417 230.665264340234),0.266713533647,,,,,,,,,,,,3.4e-07 W / m2
6,10926,2006-12-02T15:46:00,2006-12-02T16:07:00,2006-12-02T16:24:00,B5.9,GOES,,16,-9,,UTC-HGS-TOPO,degrees,,15.5,16.5,"POLYGON((0.318699 236.175961,0.332597 237.77834,0.324394 240.435029,0.310043 238.905718,0.318699 236.175961))",,POINT(0.32133586985967 238.324200682647),"POLYGON((140.83189 -9.5,141.83189 -9.5,141.83189 -8.5,140.83189 -8.5,140.83189 -9.5))",,POINT(141.33189 -9),141.33189,-9,"POLYGON((15.5 -9.5,16.5 -9.5,16.5 -8.5,15.5 -8.5,15.5 -9.5))",,POINT(16 -9),16,-9,"POLYGON((257.5422 -172.566,273.7044 -172.5054,274.4658 -155.6964,258.2586 -155.7564,257.5422 -172.566))",,POINT(266.013 -164.1378),0103000000010000000500000024DBF97E6A206E4071AC8BDB68A467C024DBF97E6A206E4071AC8BDB686461C092ED7C3F3530724071AC8BDB686461C092ED7C3F3530724071AC8BDB68A467C024DBF97E6A206E4071AC8BDB68A467C0,312.57660430339314,266.013,-164.1378,238.324200683,"POLYGON((0.318699 236.175961,0.332597 237.77834,0.324394 240.435029,0.310043 238.905718,0.318699 236.175961))",,POINT(0.32133586985967 238.324200682647),0.32133586986,,,,,,,,,,,,5.9e-07 W / m2
7,10926,2006-12-02T17:22:00,2006-12-02T17:32:00,2006-12-02T17:46:00,B7.2,GOES,,16,-11,,UTC-HGS-TOPO,degrees,,15.5,16.5,"POLYGON((0.337622 231.178924,0.350598 232.878201,0.341298 235.273241,0.327857 233.61526,0.337622 231.178924))",,POINT(0.339253585859538 233.236732016124),"POLYGON((139.95333 -11.5,140.95333 -11.5,140.95333 -10.5,139.95333 -10.5,139.95333 -11.5))",,POINT(140.45333 -11),140.45333,-11,"POLYGON((15.5 -11.5,16.5 -11.5,16.5 -10.5,15.5 -10.5,15.5 -11.5))",,POINT(16 -11),16,-11,"POLYGON((255.876 -205.8846,271.9338 -205.8246,272.862 -189.1272,256.7496 -189.1866,255.876 -205.8846))",,POINT(264.3756 -197.514),01030000000100000005000000148C4AEA04EC6D409CC420B072D06BC0148C4AEA04EC6D409CC420B0729065C00A462575021672409CC420B0729065C00A462575021672409CC420B072D06BC0148C4AEA04EC6D409CC420B072D06BC0,330.009451487923286,264.3756,-197.514,233.236732016,"POLYGON((0.337622 231.178924,0.350598 232.878201,0.341298 235.273241,0.327857 233.61526,0.337622 231.178924))",,POINT(0.339253585859538 233.236732016124),0.33925358586,,,,,,,,,,,,7.2e-07 W / m2
8,10926,2006-12-02T21:58:00,2006-12-02T22:07:00,2006-12-02T22:14:00,C1.1,GOES,,20,-8,,UTC-HGS-TOPO,degrees,,19.5,20.5,"POLYGON((0.367884 244.338175,0.382594 245.40412,0.376507 247.857056,0.36147 246.871167,0.367884 244.338175))",,POINT(0.372036774616045 246.118178974301),"POLYGON((141.42748 -8.5,142.42748 -8.5,142.42748 -7.5,141.42748 -7.5,141.42748 -8.5))",,POINT(141.92748 -8),141.92748,-8,"POLYGON((19.5 -8.5,20.5 -8.5,20.5 -7.5,19.5 -7.5,19.5 -8.5))",,POINT(20 -8),20,-8,"POLYGON((322.572 -154.9788,338.4114 -154.9074,339.246 -138.0498,323.3682 -138.1206,322.572 -154.9788))",,POINT(330.9246 -146.52),010300000001000000050000001B9E5E29CBF27240713D0AD7A3C865C01B9E5E29CBF27240E27A14AE47B15DC01B9E5E29CB6A7640E27A14AE47B15DC01B9E5E29CB6A7640713D0AD7A3C865C01B9E5E29CBF27240713D0AD7A3C865C0,361.910487945790294,330.9246,-146.52,246.118178974,"POLYGON((0.367884 244.338175,0.382594 245.40412,0.376507 247.857056,0.36147 246.871167,0.367884 244.338175))",,POINT(0.372036774616045 246.118178974301),0.372036774616,,,,,,,,,,,,1.1e-06 W / m2
9,10926,2006-12-03T02:27:00,2006-12-03T02:31:00,2006-12-03T02:35:00,B1.2,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.999882 180.000005,0.999882 179.999995,0.999987 0,0.999987 0,0.999882 180.000005))",,POINT(0.0112385918042475 180),"POLYGON((29.56569 -89.9,-150.63431 -89.9,-150.63431 89.9,29.56569 89.9,29.56569 -89.9))",,POINT(119.46569 0),119.46569,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -972.696,-8.5e-05 -972.696,0 972.798,-0 972.798,8.5e-05 -972.696))",,POINT(0 -10.93302),,10.9330199999999991,0.0,-10.93302,180.0,"POLYGON((0.999882 180.000005,0.999882 179.999995,0.999987 0,0.999987 0,0.999882 180.000005))",,POINT(0.0112385918042475 180),0.0112385918042,,,,,,,,,,,,1.2e-07 W / m2
