,ar_noaanum,event_starttime,event_peaktime,event_endtime,fl_goescls,obs_instrument,obs_title,event_coord1,event_coord2,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r,flux
10,12149,2014-09-03T01:31:00,2014-09-03T01:37:00,2014-09-03T01:40:00,C2.4,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.991504 179.899198,0.991504 180.100802,0.992653 359.899202,0.992653 0.100798,0.991504 179.899198))",,POINT(0.126202972844958 180),"POLYGON((103.61581 -89.9,-76.58419 -89.9,-76.58419 89.9,103.61581 89.9,103.61581 -89.9))",,POINT(-166.48419 0),-166.48419,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.658178 -942.51,1.658178 -942.51,1.660032 943.602,-1.660032 943.602,-1.658178 -942.51))",,POINT(0 -119.967),,119.966999999999999,0.0,-119.967,180.0,"POLYGON((0.991504 179.899198,0.991504 180.100802,0.992653 359.899202,0.992653 0.100798,0.991504 179.899198))",,POINT(0.126202972844958 180),0.126202972845,2.4e-06 W / m2
11,0,2014-09-03T02:44:00,2014-09-03T02:53:00,2014-09-03T03:00:00,C4.0,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.991504 179.899198,0.991504 180.100802,0.992653 359.899202,0.992653 0.100798,0.991504 179.899198))",,POINT(0.126213394708211 180),"POLYGON((102.94622 -89.9,-77.25378 -89.9,-77.25378 89.9,102.94622 89.9,102.94622 -89.9))",,POINT(-167.15378 0),-167.15378,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.658202 -942.522,1.658202 -942.522,1.660056 943.614,-1.660056 943.614,-1.658202 -942.522))",,POINT(0 -119.9784),,119.978400000000008,0.0,-119.9784,180.0,"POLYGON((0.991504 179.899198,0.991504 180.100802,0.992653 359.899202,0.992653 0.100798,0.991504 179.899198))",,POINT(0.126213394708211 180),0.126213394708,4e-06 W / m2
12,0,2014-09-03T08:40:00,2014-09-03T09:20:00,2014-09-03T09:36:00,C1.3,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.991494 179.899197,0.991494 180.100803,0.992643 359.899202,0.992643 0.100798,0.991494 179.899197))",,POINT(0.126262530369381 180),"POLYGON((99.68083 -89.9,-80.51917 -89.9,-80.51917 89.9,99.68083 89.9,99.68083 -89.9))",,POINT(-170.41917 0),-170.41917,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.658304 -942.57,1.658304 -942.57,1.660152 943.662,-1.660152 943.662,-1.658304 -942.57))",,POINT(0 -120.0324),,120.032399999999996,0.0,-120.0324,180.0,"POLYGON((0.991494 179.899197,0.991494 180.100803,0.992643 359.899202,0.992643 0.100798,0.991494 179.899197))",,POINT(0.126262530369381 180),0.126262530369,1.3e-06 W / m2
13,12155,2014-09-03T12:44:00,2014-09-03T12:50:00,2014-09-03T12:55:00,C1.6,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.991491 179.899197,0.991491 180.100803,0.99264 359.899201,0.99264 0.100799,0.991491 179.899197))",,POINT(0.126294498944401 180),"POLYGON((97.44277 -89.9,-82.75723 -89.9,-82.75723 89.9,97.44277 89.9,97.44277 -89.9))",,POINT(-172.65723 0),-172.65723,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.65837 -942.606,1.65837 -942.606,1.660224 943.698,-1.660224 943.698,-1.65837 -942.606))",,POINT(0 -120.0678),,120.067799999999991,0.0,-120.0678,180.0,"POLYGON((0.991491 179.899197,0.991491 180.100803,0.99264 359.899201,0.99264 0.100799,0.991491 179.899197))",,POINT(0.126294498944401 180),0.126294498944,1.6e-06 W / m2
14,12155,2014-09-03T13:20:00,2014-09-03T13:54:00,2014-09-03T14:23:00,M2.5,GOES,,18,-14,17.5,18.5,"POLYGON((0.468387 218.616307,0.478108 220.17665,0.466631 221.59929,0.45655 220.022972,0.468387 218.616307))",,POINT(0.467368399514175 220.104034783769),"POLYGON((-155.48744 -14.5,-154.48744 -14.5,-154.48744 -13.5,-155.48744 -13.5,-155.48744 -14.5))",,POINT(-154.98744 -14),-154.98744,-14,"POLYGON((17.5 -14.5,18.5 -14.5,18.5 -13.5,17.5 -13.5,17.5 -14.5))",,POINT(18 -14),18,-14,"POLYGON((277.9104 -347.9292,293.244 -347.2944,294.5316 -331.7472,279.1308 -332.3844,277.9104 -347.9292))",,POINT(286.2264 -339.8562),01030000000100000005000000107A36AB3E476C405D6DC5FEB2FD78C0107A36AB3E476C405D6DC5FEB27D71C0083D9B559FA375405D6DC5FEB27D71C0083D9B559FA375405D6DC5FEB2FD78C0107A36AB3E476C405D6DC5FEB2FD78C0,444.328469418064628,286.2264,-339.8562,220.104034784,"POLYGON((0.468387 218.616307,0.478108 220.17665,0.466631 221.59929,0.45655 220.022972,0.468387 218.616307))",,POINT(0.467368399514175 220.104034783769),0.467368399514,2.5e-05 W / m2
15,12149,2014-09-03T21:13:00,2014-09-03T21:24:00,2014-09-03T21:49:00,C5.2,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.991486 179.899197,0.991486 180.100803,0.992635 359.899201,0.992635 0.100799,0.991486 179.899197))",,POINT(0.126358578057069 180),"POLYGON((92.77407 -89.9,-87.42593 -89.9,-87.42593 89.9,92.77407 89.9,92.77407 -89.9))",,POINT(-177.32593 0),-177.32593,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.658514 -942.684,1.658514 -942.684,1.660368 943.776,-1.660368 943.776,-1.658514 -942.684))",,POINT(0 -120.1392),,120.139200000000002,0.0,-120.1392,180.0,"POLYGON((0.991486 179.899197,0.991486 180.100803,0.992635 359.899201,0.992635 0.100799,0.991486 179.899197))",,POINT(0.126358578057069 180),0.126358578057,5.2e-06 W / m2
16,12149,2014-09-04T02:24:00,2014-09-04T02:28:00,2014-09-04T02:31:00,C2.4,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.991478 179.899196,0.991478 180.100804,0.992626 359.8992,0.992626 0.1008,0.991478 179.899196))",,POINT(0.126395369304012 180),"POLYGON((89.92152 -89.9,-90.27848 -89.9,-90.27848 89.9,89.92152 89.9,89.92152 -89.9))",,POINT(179.82152 0),179.82152,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.658604 -942.726,1.658604 -942.726,1.660458 943.818,-1.660458 943.818,-1.658604 -942.726))",,POINT(0 -120.1806),,120.180600000000013,0.0,-120.1806,180.0,"POLYGON((0.991478 179.899196,0.991478 180.100804,0.992626 359.8992,0.992626 0.1008,0.991478 179.899196))",,POINT(0.126395369304012 180),0.126395369304,2.4e-06 W / m2
17,12152,2014-09-04T06:38:00,2014-09-04T06:43:00,2014-09-04T06:49:00,C1.6,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.991472 179.899195,0.991472 180.100805,0.992627 359.8992,0.992627 0.1008,0.991472 179.899195))",,POINT(0.126424549888025 180),"POLYGON((87.59181 -89.9,-92.60819 -89.9,-92.60819 89.9,87.59181 89.9,87.59181 -89.9))",,POINT(177.49181 0),177.49181,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.658676 -942.762,1.658676 -942.762,1.66053 943.86,-1.66053 943.86,-1.658676 -942.762))",,POINT(0 -120.2136),,120.213599999999985,0.0,-120.2136,180.0,"POLYGON((0.991472 179.899195,0.991472 180.100805,0.992627 359.8992,0.992627 0.1008,0.991472 179.899195))",,POINT(0.126424549888025 180),0.126424549888,1.6e-06 W / m2
18,12157,2014-09-04T10:00:00,2014-09-04T10:11:00,2014-09-04T10:24:00,C3.1,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.991469 179.899195,0.991469 180.100805,0.992624 359.899199,0.992624 0.100801,0.991469 179.899195))",,POINT(0.126446651573752 180),"POLYGON((85.73905 -89.9,-94.46095 -89.9,-94.46095 89.9,85.73905 89.9,85.73905 -89.9))",,POINT(175.63905 0),175.63905,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.65873 -942.792,1.65873 -942.792,1.66059 943.89,-1.66059 943.89,-1.65873 -942.792))",,POINT(0 -120.2388),,120.238799999999998,0.0,-120.2388,180.0,"POLYGON((0.991469 179.899195,0.991469 180.100805,0.992624 359.899199,0.992624 0.100801,0.991469 179.899195))",,POINT(0.126446651573752 180),0.126446651574,3.1e-06 W / m2
19,12152,2014-09-04T11:10:00,2014-09-04T11:22:00,2014-09-04T11:26:00,C2.2,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.99147 179.899195,0.99147 180.100805,0.992625 359.8992,0.992625 0.1008,0.99147 179.899195))",,POINT(0.126453959948801 180),"POLYGON((85.09701 -89.9,-95.10299 -89.9,-95.10299 89.9,85.09701 89.9,85.09701 -89.9))",,POINT(174.99701 0),174.99701,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.658754 -942.804,1.658754 -942.804,1.660608 943.902,-1.660608 943.902,-1.658754 -942.804))",,POINT(0 -120.2472),,120.247199999999992,0.0,-120.2472,180.0,"POLYGON((0.99147 179.899195,0.99147 180.100805,0.992625 359.8992,0.992625 0.1008,0.99147 179.899195))",,POINT(0.126453959948801 180),0.126453959949,2.2e-06 W / m2
20,12153,2014-09-04T11:44:00,2014-09-04T11:47:00,2014-09-04T11:49:00,C1.8,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.99147 179.899195,0.99147 180.100805,0.992619 359.899199,0.992619 0.100801,0.99147 179.899195))",,POINT(0.126457634682754 180),"POLYGON((84.78516 -89.9,-95.41484 -89.9,-95.41484 89.9,84.78516 89.9,84.78516 -89.9))",,POINT(174.68516 0),174.68516,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.65876 -942.81,1.65876 -942.81,1.66062 943.902,-1.66062 943.902,-1.65876 -942.81))",,POINT(0 -120.2514),,120.25139999999999,0.0,-120.2514,180.0,"POLYGON((0.99147 179.899195,0.99147 180.100805,0.992619 359.899199,0.992619 0.100801,0.99147 179.899195))",,POINT(0.126457634682754 180),0.126457634683,1.8e-06 W / m2
