,ar_noaanum,event_starttime,event_peaktime,event_endtime,fl_goescls,obs_instrument,obs_title,event_coord1,event_coord2,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r,flux
0,0,2011-11-01T00:22:00,2011-11-01T00:28:00,2011-11-01T00:33:00,C2.7,GOES,,0,0,-90.0,90.0,"POLYGON((0.996659 180.000005,0.996659 179.999995,0.997379 0,0.997379 0,0.996659 180.000005))",,POINT(0.0775405426730333 180),"POLYGON((111.5549 -89.9,-68.6451 -89.9,-68.6451 89.9,111.5549 89.9,111.5549 -89.9))",,POINT(-158.5451 0),-158.5451,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.4e-05 -962.778,-8.4e-05 -962.778,0 963.474,-0 963.474,8.4e-05 -962.778))",,POINT(0 -74.9046),,74.9046000000000021,0.0,-74.9046,180.0,"POLYGON((0.996659 180.000005,0.996659 179.999995,0.997379 0,0.997379 0,0.996659 180.000005))",,POINT(0.0775405426730333 180),0.077540542673,2.7e-06 W / m2
1,11339,2011-11-01T06:26:00,2011-11-01T06:29:00,2011-11-01T06:33:00,C1.9,GOES,,0,0,-90.0,90.0,"POLYGON((0.996691 180.000005,0.996691 179.999995,0.997411 0,0.997411 0,0.996691 180.000005))",,POINT(0.0770968115513819 180),"POLYGON((108.22168 -89.9,-71.97832 -89.9,-71.97832 89.9,108.22168 89.9,108.22168 -89.9))",,POINT(-161.87832 0),-161.87832,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.4e-05 -962.874,-8.4e-05 -962.874,0 963.57,-0 963.57,8.4e-05 -962.874))",,POINT(0 -74.481),,74.4809999999999945,0.0,-74.481,180.0,"POLYGON((0.996691 180.000005,0.996691 179.999995,0.997411 0,0.997411 0,0.996691 180.000005))",,POINT(0.0770968115513819 180),0.0770968115514,1.9e-06 W / m2
2,11338,2011-11-01T10:22:00,2011-11-01T10:32:00,2011-11-01T10:41:00,C4.3,GOES,,0,0,-90.0,90.0,"POLYGON((0.996715 180.000005,0.996715 179.999995,0.997429 0,0.997429 0,0.996715 180.000005))",,POINT(0.0768083683088658 180),"POLYGON((106.06059 -89.9,-74.13941 -89.9,-74.13941 89.9,106.06059 89.9,106.06059 -89.9))",,POINT(-164.03941 0),-164.03941,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.4e-05 -962.94,-8.4e-05 -962.94,0 963.63,-0 963.63,8.4e-05 -962.94))",,POINT(0 -74.2056),,74.205600000000004,0.0,-74.2056,180.0,"POLYGON((0.996715 180.000005,0.996715 179.999995,0.997429 0,0.997429 0,0.996715 180.000005))",,POINT(0.0768083683088658 180),0.0768083683089,4.3e-06 W / m2
3,0,2011-11-01T18:20:00,2011-11-01T18:26:00,2011-11-01T18:36:00,C4.1,GOES,,0,0,-90.0,90.0,"POLYGON((0.996763 180.000005,0.996763 179.999995,0.997471 0,0.997471 0,0.996763 180.000005))",,POINT(0.0762227889583394 180),"POLYGON((101.68348 -89.9,-78.51652 -89.9,-78.51652 89.9,101.68348 89.9,101.68348 -89.9))",,POINT(-168.41652 0),-168.41652,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.4e-05 -963.072,-8.4e-05 -963.072,0 963.756,-0 963.756,8.4e-05 -963.072))",,POINT(0 -73.6464),,73.6463999999999999,0.0,-73.6464,180.0,"POLYGON((0.996763 180.000005,0.996763 179.999995,0.997471 0,0.997471 0,0.996763 180.000005))",,POINT(0.0762227889583394 180),0.0762227889583,4.1e-06 W / m2
4,0,2011-11-01T19:55:00,2011-11-01T20:08:00,2011-11-01T20:19:00,C2.7,GOES,,0,0,-90.0,90.0,"POLYGON((0.996771 180.000005,0.996771 179.999995,0.997479 0,0.997479 0,0.996771 180.000005))",,POINT(0.0761059441920998 180),"POLYGON((100.81356 -89.9,-79.38644 -89.9,-79.38644 89.9,100.81356 89.9,100.81356 -89.9))",,POINT(-169.28644 0),-169.28644,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.4e-05 -963.096,-8.4e-05 -963.096,0 963.78,-0 963.78,8.4e-05 -963.096))",,POINT(0 -73.5348),,73.53479999999999,0.0,-73.5348,180.0,"POLYGON((0.996771 180.000005,0.996771 179.999995,0.997479 0,0.997479 0,0.996771 180.000005))",,POINT(0.0761059441920998 180),0.0761059441921,2.7e-06 W / m2
5,11339,2011-11-01T21:32:00,2011-11-01T21:52:00,2011-11-01T22:23:00,C4.7,GOES,,0,0,-90.0,90.0,"POLYGON((0.996784 180.000005,0.996784 179.999995,0.997492 0,0.997492 0,0.996784 180.000005))",,POINT(0.0759865913588621 180),"POLYGON((99.92532 -89.9,-80.27468 -89.9,-80.27468 89.9,99.92532 89.9,99.92532 -89.9))",,POINT(-170.17468 0),-170.17468,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.4e-05 -963.126,-8.4e-05 -963.126,0 963.81,-0 963.81,8.4e-05 -963.126))",,POINT(0 -73.4208),,73.4207999999999998,0.0,-73.4208,180.0,"POLYGON((0.996784 180.000005,0.996784 179.999995,0.997492 0,0.997492 0,0.996784 180.000005))",,POINT(0.0759865913588621 180),0.0759865913589,4.7e-06 W / m2
6,0,2011-11-02T02:45:00,2011-11-02T02:52:00,2011-11-02T03:02:00,C5.1,GOES,,0,0,-90.0,90.0,"POLYGON((0.996813 180.000005,0.996813 179.999995,0.997515 0,0.997515 0,0.996813 180.000005))",,POINT(0.0756009339435644 180),"POLYGON((97.05916 -89.9,-83.14084 -89.9,-83.14084 89.9,97.05916 89.9,97.05916 -89.9))",,POINT(-173.04084 0),-173.04084,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.4e-05 -963.21,-8.4e-05 -963.21,0 963.888,-0 963.888,8.4e-05 -963.21))",,POINT(0 -73.0524),,73.0524000000000058,0.0,-73.0524,180.0,"POLYGON((0.996813 180.000005,0.996813 179.999995,0.997515 0,0.997515 0,0.996813 180.000005))",,POINT(0.0756009339435644 180),0.0756009339436,5.1e-06 W / m2
7,11339,2011-11-02T06:46:00,2011-11-02T06:50:00,2011-11-02T06:59:00,C2.2,GOES,,0,0,-90.0,90.0,"POLYGON((0.996837 180.000005,0.996837 179.999995,0.997538 0,0.997538 0,0.996837 180.000005))",,POINT(0.0753026341144421 180),"POLYGON((94.85232 -89.9,-85.34768 -89.9,-85.34768 89.9,94.85232 89.9,94.85232 -89.9))",,POINT(-175.24768 0),-175.24768,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.4e-05 -963.276,-8.4e-05 -963.276,0 963.954,-0 963.954,8.4e-05 -963.276))",,POINT(0 -72.7674),,72.7674000000000092,0.0,-72.7674,180.0,"POLYGON((0.996837 180.000005,0.996837 179.999995,0.997538 0,0.997538 0,0.996837 180.000005))",,POINT(0.0753026341144421 180),0.0753026341144,2.2e-06 W / m2
8,11339,2011-11-02T08:31:00,2011-11-02T08:43:00,2011-11-02T08:54:00,C3.4,GOES,,0,0,-90.0,90.0,"POLYGON((0.996848 180.000005,0.996848 179.999995,0.997544 0,0.997544 0,0.996848 180.000005))",,POINT(0.0751726483618569 180),"POLYGON((93.89084 -89.9,-86.30916 -89.9,-86.30916 89.9,93.89084 89.9,93.89084 -89.9))",,POINT(-176.20917 0),-176.20917,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.4e-05 -963.306,-8.4e-05 -963.306,0 963.978,-0 963.978,8.4e-05 -963.306))",,POINT(0 -72.6432),,72.6432000000000073,0.0,-72.6432,180.0,"POLYGON((0.996848 180.000005,0.996848 179.999995,0.997544 0,0.997544 0,0.996848 180.000005))",,POINT(0.0751726483618569 180),0.0751726483619,3.4e-06 W / m2
9,11339,2011-11-02T10:39:00,2011-11-02T10:48:00,2011-11-02T10:55:00,C3.2,GOES,,0,0,-90.0,90.0,"POLYGON((0.996862 180.000005,0.996862 179.999995,0.997558 0,0.997558 0,0.996862 180.000005))",,POINT(0.0750144097888031 180),"POLYGON((92.71874 -89.9,-87.48126 -89.9,-87.48126 89.9,92.71874 89.9,92.71874 -89.9))",,POINT(-177.38126 0),-177.38126,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.4e-05 -963.342,-8.4e-05 -963.342,0 964.014,-0 964.014,8.4e-05 -963.342))",,POINT(0 -72.492),,72.4919999999999902,0.0,-72.492,180.0,"POLYGON((0.996862 180.000005,0.996862 179.999995,0.997558 0,0.997558 0,0.996862 180.000005))",,POINT(0.0750144097888031 180),0.0750144097888,3.2e-06 W / m2
